Experiment 3: Galerkin-Leverage Surgery

checkpoint=/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt
episodes=8, n_causal=32, eps=0.001
layer_rule=sweep, k_remove_list=[1, 2, 4]

Final-layer or layer-sweep summary by control:
control                    k    state      drift        rho  task_damage   delta_task
random_A                   2      7.0    0.06951      1.446      0.08122      0.03698
random_A                   2      8.0    0.00000      1.000      0.00000      0.00000
random_A                   4      0.0 473862.64004 11341425.048 41884921.02520 41884920.92137
random_A                   4      1.0 493236.50429 10930376.350 86877150.59325 86877150.48152
random_A                   4      2.0 503123.83639 9230165.373 56846213.96920 56846213.86305
random_A                   4      3.0 69545.54888 1579801.109 2235372.75533 2235372.65791
random_A                   4      4.0 3962.66658  91517.863  26124.58315  26124.49683
random_A                   4      5.0  136.12799   3231.833    634.00876    633.91094
random_A                   4      6.0    0.54479     12.174      1.68334      1.61256
random_A                   4      7.0    0.06479      1.351      0.08798      0.03897
random_A                   4      8.0    0.00000      1.000      0.00000      0.00000
random_Q                   1      0.0    0.40483      4.662      0.15334      0.05763
random_Q                   1      1.0    0.38311      4.369      0.15186      0.05690
random_Q                   1      2.0    0.35878      4.236      0.15307      0.06268
random_Q                   1      3.0    0.28894      3.410      0.10951      0.02974
random_Q                   1      4.0    0.18527      2.329      0.07396      0.01271
random_Q                   1      5.0    0.11542      1.606      0.07456      0.02237
random_Q                   1      6.0    0.06637      1.195      0.02834      0.00103
random_Q                   1      7.0    0.02267      1.025      0.01537     -0.00022
random_Q                   1      8.0    0.00000      1.000      0.00000      0.00000
random_Q                   2      0.0    0.45938      4.740      0.20485      0.10076
random_Q                   2      1.0    0.44031      4.464      0.19973      0.09686
random_Q                   2      2.0    0.42644      4.314      0.19906      0.09851
random_Q                   2      3.0    0.36264      3.455      0.15128      0.05797
random_Q                   2      4.0    0.26402      2.439      0.11119      0.02538
random_Q                   2      5.0    0.21163      1.823      0.10443      0.02697
random_Q                   2      6.0    0.14228      1.381      0.07239      0.00824
random_Q                   2      7.0    0.06821      1.040      0.04668      0.00088
random_Q                   2      8.0    0.00000      1.000      0.00000      0.00000
random_Q                   4      0.0    0.54621      5.557      0.32875      0.19970
random_Q                   4      1.0    0.54183      5.481      0.33384      0.20646
random_Q                   4      2.0    0.56428      5.195      0.33768      0.22556
random_Q                   4      3.0    0.42481      4.178      0.26346      0.15019
random_Q                   4      4.0    0.33991      3.389      0.21159      0.10514
random_Q                   4      5.0    0.31980      2.815      0.25057      0.15785
random_Q                   4      6.0    0.22560      1.870      0.11157      0.03079
random_Q                   4      7.0    0.11120      1.298      0.07459      0.01323
random_Q                   4      8.0    0.00000      1.000      0.00000      0.00000
