checkpoint,probe_kind,n,B_nat_mean,B_nat_std,E_F_T_mean,E_F_T_std,E_F_TQ_mean,E_F_TQ_std,E_TQ_T_mean,E_TQ_T_std,E_pointwise_F_T_mean,E_pointwise_F_T_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,d_model_mean,d_model_std,d_x_mean,d_x_std,dim_R_nat_mean,dim_R_nat_std,dim_over_nctx_mean,dim_over_nctx_std,max_closure_mean,max_closure_std,max_refinement_mean,max_refinement_std,mean_closure_mean,mean_closure_std,mean_refinement_mean,mean_refinement_std,mse_krr_mean,mse_krr_std,mse_model_mean,mse_model_std,mse_ratio_mean,mse_ratio_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,r_eff_T_task_mean,r_eff_T_task_std,smax_mean,smax_std,sweep_val_mean,sweep_val_std,tau_sv_mean,tau_sv_std,suite_exp,suite_smax
H8,iso,16,90.0,0.0,0.2720125841777433,0.051813566013006275,0.27201258417653384,0.051813566014063915,5.503647657052003e-11,9.362396616653749e-11,0.010369244936375418,0.004518387746898759,1.0,0.0,0.9289716138420365,0.026437795039326955,128.0,0.0,5.0,0.0,5.0,0.0,0.10638297872340426,0.0,0.41932492972479024,0.058868064174884535,0.9999899861263497,6.509699229748977e-06,0.06399133106335078,0.008702078150421115,0.8856829906962298,0.0016218315365080823,0.009165728781800922,0.006019594025080068,0.01074237228163186,0.005954737226778496,1.6253934193315427,1.5357144966967298,8.0,0.0,8.0,0.0,5.0,0.0,2.0,0.0,8.0,0.0,0.001,0.0,2a,2
H8,task,16,90.0,0.0,0.009090269182886437,0.002215213128836753,0.009090269182874321,0.002215213128875633,1.1914511232781876e-12,1.6866734478292366e-12,0.010369244936375418,0.004518387746898759,1.0,0.0,0.9999127674531754,4.435639088098297e-05,128.0,0.0,5.0,0.0,5.0,0.0,0.10638297872340426,0.0,0.41932492972479024,0.058868064174884535,0.9999899861263497,6.509699229748977e-06,0.06399133106335078,0.008702078150421115,0.8856829906962298,0.0016218315365080823,0.009165728781800922,0.006019594025080068,0.01074237228163186,0.005954737226778496,1.6253934193315427,1.5357144966967298,8.0,0.0,8.0,0.0,5.0,0.0,2.0,0.0,8.0,0.0,0.001,0.0,2a,2
L12,iso,16,182.0,0.0,0.26500298618615303,0.07438832803081405,0.33904587756210147,0.18757397176601573,0.13591387315471234,0.24385548324142134,0.00918455573695948,0.004359062969506582,0.9257785159215067,0.1343763488577739,0.862765962726037,0.15050993230183735,128.0,0.0,5.0,0.0,4.75,0.4472135954999579,0.10106382978723405,0.00951518288297783,0.40794965735254674,0.07111822365910742,0.9999961049122632,2.5494584265759672e-06,0.05683369908780152,0.016568808290507664,0.9210344378317019,0.0012699525066097819,0.009240878541032182,0.004347645156707016,0.010372666011141209,0.004465490685687344,1.2165074272768641,0.5007514461844469,4.0,0.0,12.0,0.0,5.0,0.0,2.0,0.0,12.0,0.0,0.001,0.0,2a,2
L12,task,16,182.0,0.0,0.00930412023042281,0.002149683522800907,0.12027290735470662,0.2056260607437086,0.11350162170895241,0.20918067887623013,0.00918455573695948,0.004359062969506582,0.9460956102303701,0.10890244571901231,0.9458285692093871,0.10910844249565897,128.0,0.0,5.0,0.0,4.75,0.4472135954999579,0.10106382978723405,0.00951518288297783,0.40794965735254674,0.07111822365910742,0.9999961049122632,2.5494584265759672e-06,0.05683369908780152,0.016568808290507664,0.9210344378317019,0.0012699525066097819,0.009240878541032182,0.004347645156707016,0.010372666011141209,0.004465490685687344,1.2165074272768641,0.5007514461844469,4.0,0.0,12.0,0.0,5.0,0.0,2.0,0.0,12.0,0.0,0.001,0.0,2a,2
L2,iso,16,12.0,0.0,1.5261009894762854,0.4299306051042998,1.5261011332579666,0.4299308060427915,4.7749277404084275e-06,1.717872777685516e-05,0.10387804376466968,0.04649495711528384,0.9999999997005357,1.1840553686359213e-09,0.3136728381384286,0.1497826913850018,128.0,0.0,5.0,0.0,10.75,0.5773502691896257,0.22872340425531915,0.012284048280630337,0.41713853933373946,0.08780501192182569,0.9997187596565472,0.0001675273623538169,0.14785519528728397,0.03063405316315101,0.653403534439186,0.01208200606438669,0.016275505647053462,0.017324716448286336,0.2822779307688677,0.19477745665287366,29.934848563697493,24.74883345902299,4.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,0.001,0.0,2a,2
L2,task,16,12.0,0.0,0.19447347251380176,0.2000145711154363,0.1944734633788044,0.20001453500727132,1.2545979374668345e-07,4.6004331068700627e-07,0.10387804376466968,0.04649495711528384,0.9999999999997858,8.499834800101808e-13,0.951960893454201,0.10061388201000519,128.0,0.0,5.0,0.0,10.75,0.5773502691896257,0.22872340425531915,0.012284048280630337,0.41713853933373946,0.08780501192182569,0.9997187596565472,0.0001675273623538169,0.14785519528728397,0.03063405316315101,0.653403534439186,0.01208200606438669,0.016275505647053462,0.017324716448286336,0.2822779307688677,0.19477745665287366,29.934848563697493,24.74883345902299,4.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,0.001,0.0,2a,2
L4,iso,16,30.0,0.0,0.4706562030803873,0.12215226555868954,0.47065620264843855,0.12215226551409217,1.4767375726022781e-08,2.9579403927419596e-08,0.027170855402517312,0.030300506932832136,0.9999999999999989,2.6746929420445724e-15,0.8116405955928896,0.08025702883439843,128.0,0.0,5.0,0.0,5.75,2.04939015319192,0.1223404255319149,0.043604045812594035,0.4205745524519479,0.07592521036936631,0.9999730192677995,1.0112875871502822e-05,0.09102246178460828,0.015109577177993966,0.7921086473740409,0.0051662962615737,0.011710062680361179,0.009500379844744772,0.05029880279179247,0.11293734761912474,3.8416397068923276,6.031821878842419,4.0,0.0,4.0,0.0,5.0,0.0,2.0,0.0,4.0,0.0,0.001,0.0,2a,2
L4,task,16,30.0,0.0,0.027902640979709514,0.02258899609484876,0.027902641006943955,0.022588996087753947,3.8307710209837e-10,8.282981806983098e-10,0.027170855402517312,0.030300506932832136,1.0,0.0,0.9986513108643351,0.003309806893886499,128.0,0.0,5.0,0.0,5.75,2.04939015319192,0.1223404255319149,0.043604045812594035,0.4205745524519479,0.07592521036936631,0.9999730192677995,1.0112875871502822e-05,0.09102246178460828,0.015109577177993966,0.7921086473740409,0.0051662962615737,0.011710062680361179,0.009500379844744772,0.05029880279179247,0.11293734761912474,3.8416397068923276,6.031821878842419,4.0,0.0,4.0,0.0,5.0,0.0,2.0,0.0,4.0,0.0,0.001,0.0,2a,2
L6,iso,16,56.0,0.0,0.3443045520180901,0.0963519966814233,0.34430455201818,0.09635199668154519,4.1544724466437744e-12,3.796055923312725e-12,0.011087063331848565,0.00727646712336782,1.0,0.0,0.8899551210290404,0.0553811501181542,128.0,0.0,5.0,0.0,5.0,0.0,0.10638297872340426,0.0,0.4225754615499546,0.05323015694761051,0.9999753155848755,1.1788506422985967e-05,0.07447180666348506,0.00834455172309565,0.8515863408196223,0.0031379859762121036,0.012752882732199248,0.012209647616808332,0.020210127738426238,0.020086863674944975,6.0115845018113845,18.230854019810348,4.0,0.0,6.0,0.0,5.0,0.0,2.0,0.0,6.0,0.0,0.001,0.0,2a,2
L6,task,16,56.0,0.0,0.012843906389578476,0.004218717674376048,0.012843906389569417,0.00421871767438699,2.464487044119145e-13,1.1672939878359429e-13,0.011087063331848565,0.00727646712336782,1.0,0.0,0.9998174847563517,0.00013638339430368444,128.0,0.0,5.0,0.0,5.0,0.0,0.10638297872340426,0.0,0.4225754615499546,0.05323015694761051,0.9999753155848755,1.1788506422985967e-05,0.07447180666348506,0.00834455172309565,0.8515863408196223,0.0031379859762121036,0.012752882732199248,0.012209647616808332,0.020210127738426238,0.020086863674944975,6.0115845018113845,18.230854019810348,4.0,0.0,6.0,0.0,5.0,0.0,2.0,0.0,6.0,0.0,0.001,0.0,2a,2
