episode,lambda,basis,operator_kind,rank,point_model_to_T,point_operator_to_T,point_model_to_operator,E_model_to_T,E_model_to_operator,E_operator_to_T,E_model_to_zero,E_zero_to_T,R_use,R_sub,X_use,X_sub,cos_res,rho_operator_to_T
0,0.9,matched_response,actLR,20,0.008509888746080706,0.08638703077298397,0.0790406419302279,0.1478537343906407,0.284970808691519,0.22568317476468167,1.0081395402782423,0.9999999999999981,0.2826700048017019,0.2256831747644564,0.9200976683854059,0.9490671046282358,-0.8573719938986099,12.004052887970774
0,1.0,matched_response,galerkin,20,0.008509888746080706,0.030820446284283463,0.03722529728873798,0.43401072701175764,1.5483780688529862,1.3172369940188364,1.0642953083494715,0.9999999999999861,1.4548387620469587,1.3172369940175375,-1.1165558235543274,-0.7351132984083579,-0.9669198911230233,1.705500021177547
0,1.0,matched_response,actLR,20,0.008509888746080706,0.6296968048112497,0.6212927845531331,0.43401072701175764,0.7083496545567154,0.7460509382972267,1.0642953083494715,0.9999999999999861,0.6655574341059262,0.746050938296491,0.5570333019063358,0.4434079974669253,-0.8231255134205917,305.1918352040912
1,0.0,matched_response,galerkin,6,0.022689503301952747,0.00042645210132456914,0.022715142159617837,0.017226733110223075,0.01766463298573526,0.002176979708566566,1.0041668325338675,0.9999999999999997,0.017591332847693805,0.0021769797085643898,0.9996905450086416,0.9999952607593485,-0.26027669330356845,0.0029927203591882455
1,0.0,matched_response,actLR,6,0.022689503301952747,0.018158063977126916,0.005034559056993336,0.017226733110223075,0.008855822747394139,0.015360398778765315,1.0041668325338675,0.9999999999999997,0.008819075138180924,0.01536039877874996,0.9999222239137071,0.9997640581493578,-0.0647182495962764,0.18848213152792162
1,0.1,matched_response,galerkin,6,0.022689503301952747,0.000899360776334693,0.022076890535698074,0.02276238632525709,0.0248211275377469,0.005142157379555033,1.0028061064483207,0.9999999999999996,0.02475167171212404,0.005142157379549893,0.9993873547474552,0.9999735582174839,-0.48734578188777533,0.006243647377295712
1,0.1,matched_response,actLR,6,0.022689503301952747,0.02438758154609257,0.0032866078157772734,0.02276238632525709,0.014450063837991132,0.019398463200311297,1.0028061064483207,0.9999999999999996,0.01440962888544337,0.019398463200291906,0.9997923625953838,0.9996236996254669,-0.1194725832633197,0.2655913358389304
1,0.25,matched_response,galerkin,6,0.022689503301952747,0.0008052085314680747,0.0226378357357485,0.0321718513601994,0.038297267036931655,0.011360291522587137,1.0023887006841852,0.9999999999999994,0.03820600432821466,0.011360291522575783,0.9985403012332724,0.9998709437765221,-0.6443920420267749,0.01398330306378776
1,0.25,matched_response,actLR,6,0.022689503301952747,0.031309929967076315,0.009187960620544531,0.0321718513601994,0.024291176050747074,0.02732891525073112,1.0023887006841852,0.9999999999999994,0.024233289974380977,0.027328915250703807,0.9994127476570176,0.9992531303912199,-0.22738731973386783,0.43725684470252996
1,0.5,matched_response,galerkin,9,0.022689503301952747,0.0018643880489252465,0.021109575724475648,0.05161128968265677,0.06693680028071194,0.026844371720902656,1.0022570199285499,0.9999999999999992,0.06678606280594275,0.026844371720875834,0.9955396218148806,0.9992793797069115,-0.7060670324526851,0.037533050122182825
