selection_rank,bank_index,name,replicate,state_idx,basis_layer,n_ctx,n_tgt,r_T,rank_Q,candidate_dim,rank_to_alpha,best_rank,rho_TQ,best_rho,reach_alpha,krr_mse,base_mse,mse,mse_ratio,mse_repair_factor,point_err,point_drift,E_F_T,E_F_TQ,damage_vs_base
2,184,zero_context,zero_context,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.015220188678352824,1.7308740462674483,3.9479581711590557,0.7176180233610355,0.9231811988497113,,,
2,184,keep_response_svd,keep_response_svd,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.018428580636274165,2.0957395868712623,3.260623780271454,0.8378138085300435,0.9563754223262702,,,
2,184,keep_krr_oracle,keep_krr_oracle,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.008948763558291464,1.017673493841794,6.714745324074466,0.16308680843742693,0.8826409729719376,,,
2,184,keep_random_A,keep_random_A_00,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.009153661409862058,1.0409749377932682,6.564440781537614,0.1636997312894886,0.8759663426847145,,,
2,184,keep_random_A,keep_random_A_01,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.010091470190914022,1.1476246590147419,5.954401798995269,0.4548705631339044,0.888019360255598,,,
2,184,keep_random_A,keep_random_A_02,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.009544561423619185,1.0854289654532607,6.295592389461587,0.18556439497017846,0.8835935002393924,,,
2,184,keep_random_A,keep_random_A_03,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.009139772831627577,1.0393954974779318,6.57441594733654,0.2731979176009865,0.8731657636584877,,,
2,184,keep_random_A,keep_random_A_04,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.009091407228270534,1.0338952524184315,6.609391346197161,0.14567801255818685,0.8828856753018154,,,
2,184,keep_random_A,keep_random_A_05,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.010174534799184221,1.157070952858835,5.905790234665412,0.08763010628110653,0.8890508457210587,,,
2,184,keep_random_A,keep_random_A_06,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.010394960178497713,1.1821382221453856,5.78055781142681,0.09826600106819026,0.8909771322577786,,,
2,184,keep_random_A,keep_random_A_07,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.009347037042906181,1.0629660491710566,6.428632729650851,0.38897484097752677,0.8847730909429871,,,
2,184,keep_random_A,keep_random_A_08,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.008567484552518026,0.9743135888217912,7.013571823905446,0.23154346245191917,0.8852065132923471,,,
2,184,keep_random_A,keep_random_A_09,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.008807522794436511,1.0016112769009995,6.822425517563471,0.28754218469339743,0.8808401903193483,,,
2,184,keep_random_A,keep_random_A_10,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.010343675002587956,1.1763059567368293,5.809218507373016,0.0923488362837734,0.8917899395508087,,,
2,184,keep_random_A,keep_random_A_11,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.010954516053446403,1.2457721731990055,5.485287343239693,0.12475067576118512,0.9054187867967067,,,
2,184,keep_random_A,keep_random_A_12,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.015191767096993481,1.727641880190642,3.955344225305916,0.7165334554457257,0.9231185647932855,,,
2,184,keep_random_A,keep_random_A_13,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.009656846958913428,1.0981983287587547,6.222390032164977,0.39621095821659463,0.8802655830665285,,,
2,184,keep_random_A,keep_random_A_14,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.008592391846784838,0.9771461022761406,6.9932411522607625,0.18535990085299686,0.8805649795002729,,,
2,184,keep_random_A,keep_random_A_15,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.00999038410877882,1.136128922680308,6.014650448373056,0.12567401900198874,0.878564450973981,,,
2,184,keep_random_A,keep_random_A_16,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.00984081953386146,1.1191201032473612,6.106063428205889,0.4428337513276705,0.8935891715133514,,,
2,184,keep_random_A,keep_random_A_17,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.009290032050584004,1.05648331339141,6.468079758186431,0.35641770281395263,0.8832508977247789,,,
2,184,keep_random_A,keep_random_A_18,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.008501692262281365,0.9668315417840238,7.067847953739182,0.19247110350419225,0.8823519980968593,,,
2,184,keep_random_A,keep_random_A_19,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.008981122418915521,1.0213534161610638,6.690552188970312,0.3750122901825503,0.889188699051781,,,
