basis,rank,n,E_model_to_T_mean,E_model_to_T_std,E_model_to_operator_mean,E_model_to_operator_std,E_model_to_zero_mean,E_model_to_zero_std,E_operator_to_T_mean,E_operator_to_T_std,E_zero_to_T_mean,E_zero_to_T_std,R_sub_mean,R_sub_std,R_use_mean,R_use_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,cos_res_mean,cos_res_std,excess_risk_frac_mean,excess_risk_frac_std,kernel_lengthscale_mean,kernel_lengthscale_std,kernel_signal_var_mean,kernel_signal_var_std,krr_risk_over_signal_mean,krr_risk_over_signal_std,krr_risk_per_tgt_mean,krr_risk_per_tgt_std,krr_risk_total_mean,krr_risk_total_std,krr_signal_per_tgt_mean,krr_signal_per_tgt_std,krr_signal_total_mean,krr_signal_total_std,point_model_to_T_mean,point_model_to_T_std,point_model_to_operator_mean,point_model_to_operator_std,point_operator_to_T_mean,point_operator_to_T_std,r_eff_T_task_mean,r_eff_T_task_std,r_eff_T_task_strict_mean,r_eff_T_task_strict_std,rank_mean,rank_std,rank_tau_task_mean,rank_tau_task_std,selected_rank_mean,selected_rank_std
response,104,8,0.034217680775058726,0.005854330490271511,0.03584025779739329,0.00564580028714594,0.9827963914672706,0.008641111935342862,0.011104398563263555,0.0014678231458380463,0.9999999999999998,1.1102230246251565e-16,0.011104398563252451,0.001467823145836579,0.0364997205626842,0.006028692874228862,0.9998748071408594,3.35593181590035e-05,0.9986359684032957,0.00050053358143536,-0.295794498726837,0.07633859671636001,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.04907449187466908,0.0085212326345571,0.0010184328668100323,0.00032867902228027687,28.625,0.9161253813129043,51.25,0.8864052604279183,104.0,0.0,0.04326769123700365,0.0014421926437458755,44.375,1.3024701806293193
response,105,8,0.034217680775058726,0.005854330490271511,0.035624851250515774,0.005609914507548422,0.9827963914672706,0.008641111935342862,0.010458890959036418,0.0013263870966161234,0.9999999999999998,1.1102230246251565e-16,0.010458890959025961,0.0013263870966147974,0.03628048880389663,0.0059925176465832715,0.9998890722100184,2.9209532884117357e-05,0.9986523046478738,0.00049641067674065,-0.2777693092854714,0.07404643311785158,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.049027418593983296,0.008455819294279278,0.0009362798843293365,0.0002402646524004123,28.625,0.9161253813129043,51.25,0.8864052604279183,105.0,0.0,0.04326769123700365,0.0014421926437458755,44.375,1.3024701806293193
response,106,8,0.034217680775058726,0.005854330490271511,0.03554123838871861,0.005534211592887881,0.9827963914672706,0.008641111935342862,0.010042928049265192,0.0013655940394831456,0.9999999999999998,1.1102230246251565e-16,0.010042928049255148,0.0013655940394817802,0.03619516532530255,0.005915396175765207,0.9998975078550019,2.8896034492241748e-05,0.9986592920841473,0.000488488267254847,-0.2695393482609585,0.07551081857143582,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.04897724089641994,0.008408962897618806,0.0008740669279513524,0.0002465832107138719,28.625,0.9161253813129043,51.25,0.8864052604279183,106.0,0.0,0.04326769123700365,0.0014421926437458755,44.375,1.3024701806293193
response,107,8,0.034217680775058726,0.005854330490271511,0.0353931616184026,0.005596583139421743,0.9827963914672706,0.008641111935342862,0.009562811464079488,0.0011329247178042618,0.9999999999999998,1.1102230246251565e-16,0.009562811464069926,0.001132924717803129,0.03604497191838042,0.005979273964826028,0.9999074295582885,2.229024295417684e-05,0.9986694772469,0.0004920710214961711,-0.25472437073918797,0.07205645061744281,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.048972551608957846,0.00841169200147073,0.0008355720863132144,0.00023211507780569217,28.625,0.9161253813129043,51.25,0.8864052604279183,107.0,0.0,0.04326769123700365,0.0014421926437458755,44.375,1.3024701806293193
response,108,8,0.034217680775058726,0.005854330490271511,0.03529522138135614,0.0057136088319586715,0.9827963914672706,0.008641111935342862,0.009012172052921995,0.001020692308646655,0.9999999999999998,1.1102230246251565e-16,0.009012172052912985,0.0010206923086456346,0.03594595760941128,0.006099311399388449,0.9999178691686984,1.9050228192102413e-05,0.998675336731939,0.0005024250674417917,-0.24521165470635956,0.06314321182445876,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.048927183882468916,0.008386915806504929,0.0007631141206179276,0.00020226840007845246,28.625,0.9161253813129043,51.25,0.8864052604279183,108.0,0.0,0.04326769123700365,0.0014421926437458755,44.375,1.3024701806293193
response,109,8,0.034217680775058726,0.005854330490271511,0.03521020468117799,0.005675518361063642,0.9827963914672706,0.008641111935342862,0.008574020035647249,0.0009558301292155913,0.9999999999999998,1.1102230246251565e-16,0.008574020035638678,0.0009558301292146354,0.035859646099831596,0.006062181647929955,0.999925686770597,1.711509409312897e-05,0.9986819294910538,0.0004978867209903155,-0.23588266642763303,0.06141367240018939,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.04891640048217409,0.00839451769776381,0.0006906577836568422,0.0001966667607386067,28.625,0.9161253813129043,51.25,0.8864052604279183,109.0,0.0,0.04326769123700365,0.0014421926437458755,44.375,1.3024701806293193
response,11,8,0.034217680775058726,0.005854330490271511,0.218022414235426,0.023990656616615747,0.9827963914672706,0.008641111935342862,0.22491979272951518,0.023834503597203842,0.9999999999999998,1.1102230246251565e-16,0.22491979272929025,0.02383450359718001,0.22177682815764108,0.023456863124101286,0.9489140137221046,0.011175673239440482,0.9503335921181661,0.01081061771508127,-0.9882830507162181,0.0036530621787791025,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.25986664817785365,0.029757504637732857,0.2713681812310678,0.028921492841625845,28.625,0.9161253813129043,51.25,0.8864052604279183,11.0,0.0,0.04326769123700365,0.0014421926437458755,44.375,1.3024701806293193
response,110,8,0.034217680775058726,0.005854330490271511,0.03507608818424007,0.005781982715713041,0.9827963914672706,0.008641111935342862,0.008083174343503068,0.0008609938434632813,0.9999999999999998,1.1102230246251565e-16,0.008083174343494984,0.0008609938434624206,0.03572420323332151,0.006173473601290859,0.999934013645934,1.4203901056019538e-05,0.9986904334990767,0.0005063368629826793,-0.22103827549905966,0.05175456105013925,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.04886831360897342,0.00838424752602635,0.0006349582814253262,0.00020707913824868153,28.625,0.9161253813129043,51.25,0.8864052604279183,110.0,0.0,0.04326769123700365,0.0014421926437458755,44.375,1.3024701806293193
response,111,8,0.034217680775058726,0.005854330490271511,0.035014337383852574,0.005801256326854339,0.9827963914672706,0.008641111935342862,0.007779551555217737,0.0008653158704050101,0.9999999999999998,1.1102230246251565e-16,0.007779551555209959,0.0008653158704041449,0.035661529733072614,0.006193287984768016,0.9999388234024886,1.3719543785984232e-05,0.9986946930830427,0.0005074040165432342,-0.21239762432188297,0.053441140951221607,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.048867371813677174,0.008386462459608963,0.0005889851426102502,0.00021306943763337792,28.625,0.9161253813129043,51.25,0.8864052604279183,111.0,0.0,0.04326769123700365,0.0014421926437458755,44.375,1.3024701806293193
response,112,8,0.034217680775058726,0.005854330490271511,0.03491103927466163,0.005748736836241155,0.9827963914672706,0.008641111935342862,0.007396455157269503,0.0009822208346807893,0.9999999999999998,1.1102230246251565e-16,0.0073964551572621075,0.0009822208346798073,0.03555611169854418,0.006138974342370974,0.9999444482880595,1.4925145214813227e-05,0.9987027867906514,0.0005018281156588167,-0.19870078400430513,0.05839471814466204,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.048844401652274994,0.008377227347486312,0.0005555815378766151,0.0002081940610200142,28.625,0.9161253813129043,51.25,0.8864052604279183,112.0,0.0,0.04326769123700365,0.0014421926437458755,44.375,1.3024701806293193
response,113,8,0.034217680775058726,0.005854330490271511,0.0348978391101972,0.005764728036664366,0.9827963914672706,0.008641111935342862,0.007080485059405153,0.0010313469683507178,0.9999999999999998,1.1102230246251565e-16,0.0070804850593980725,0.0010313469683496867,0.03554275562810361,0.006155543064258791,0.9999489360143257,1.4950352222192597e-05,0.998703558150747,0.000503792544475658,-0.19536841200496213,0.05634632759721311,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.04883097962283548,0.008372026158884433,0.0005166386862283565,0.0002056170794057222,28.625,0.9161253813129043,51.25,0.8864052604279183,113.0,0.0,0.04326769123700365,0.0014421926437458755,44.375,1.3024701806293193
response,114,8,0.034217680775058726,0.005854330490271511,0.03486131991697919,0.005758860515031277,0.9827963914672706,0.008641111935342862,0.006727442242099265,0.0009551383496992026,0.9999999999999998,1.1102230246251565e-16,0.006727442242092539,0.0009551383496982477,0.03550574633014486,0.006150701485665001,0.9999539432677707,1.3225357628352492e-05,0.9987062397398694,0.0005033209403055843,-0.18956138623390995,0.05652069895371024,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.048830217566906045,0.008377118463337817,0.0005032494949774211,0.00020792145288434926,28.625,0.9161253813129043,51.25,0.8864052604279183,114.0,0.0,0.04326769123700365,0.0014421926437458755,44.375,1.3024701806293193
response,115,8,0.034217680775058726,0.005854330490271511,0.03476309122626861,0.005809434343642628,0.9827963914672706,0.008641111935342862,0.006328362208353619,0.000899318783431265,0.9999999999999998,1.1102230246251565e-16,0.006328362208347291,0.0008993187834303657,0.03540632139417124,0.006203339728626693,0.99995924415427,1.1847153699775953e-05,0.9987127211595175,0.0005065572472234224,-0.17492525894149644,0.05183122458250382,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.048822895060711115,0.008375972339885417,0.00044098484524016427,0.00015869198510867495,28.625,0.9161253813129043,51.25,0.8864052604279183,115.0,0.0,0.04326769123700365,0.0014421926437458755,44.375,1.3024701806293193
response,116,8,0.034217680775058726,0.005854330490271511,0.03468946673177194,0.005864775308516397,0.9827963914672706,0.008641111935342862,0.005920465781879776,0.0008270867297666007,0.9999999999999998,1.1102230246251565e-16,0.005920465781873857,0.0008270867297657737,0.035331584819953944,0.0062590798424372405,0.9999643495215245,1.0136074589350813e-05,0.9987174000436956,0.0005108705480630632,-0.16221617347616796,0.056120308916844795,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.04880809034071912,0.008368724050898859,0.00041076997039808086,0.0001624575781882549,28.625,0.9161253813129043,51.25,0.8864052604279183,116.0,0.0,0.04326769123700365,0.0014421926437458755,44.375,1.3024701806293193
response,117,8,0.034217680775058726,0.005854330490271511,0.034669933771196926,0.005847161520843694,0.9827963914672706,0.008641111935342862,0.005583121757788365,0.0007213049046912617,0.9999999999999998,1.1102230246251565e-16,0.005583121757782783,0.0007213049046905406,0.035311871244113335,0.00624279329401281,0.999968373505768,8.220264724188826e-06,0.9987189708396413,0.0005096954957704989,-0.15840302119993663,0.05869664831836202,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.048800283201803345,0.00836100356372536,0.0003990748585949905,0.00017531762827246525,28.625,0.9161253813129043,51.25,0.8864052604279183,117.0,0.0,0.04326769123700365,0.0014421926437458755,44.375,1.3024701806293193
response,118,8,0.034217680775058726,0.005854330490271511,0.03456131289461423,0.005883490673254326,0.9827963914672706,0.008641111935342862,0.005262655503613869,0.000611657440849664,0.9999999999999998,1.1102230246251565e-16,0.005262655503608607,0.0006116574408490525,0.03520190387557491,0.006281514604758024,0.9999719770978286,6.6034471954210325e-06,0.9987263007160212,0.0005118962486139956,-0.13966552299477963,0.04840465393689951,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.04878378345316035,0.00836744220862389,0.000394080419392022,0.00017067313944088523,28.625,0.9161253813129043,51.25,0.8864052604279183,118.0,0.0,0.04326769123700365,0.0014421926437458755,44.375,1.3024701806293193
response,119,8,0.034217680775058726,0.005854330490271511,0.03454309353794473,0.005922687409923617,0.9827963914672706,0.008641111935342862,0.00474200928188934,0.0005766099828758538,0.9999999999999998,1.1102230246251565e-16,0.004742009281884598,0.0005766099828752771,0.035184056351877935,0.006324068256571215,0.9999772224287822,5.97029572553289e-06,0.9987270875692285,0.0005149720913849812,-0.13839950639075987,0.039684013664165144,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.048791596726463424,0.008383292386872389,0.0003643289657057616,0.00016387667429127746,28.625,0.9161253813129043,51.25,0.8864052604279183,119.0,0.0,0.04326769123700365,0.0014421926437458755,44.375,1.3024701806293193
response,12,8,0.034217680775058726,0.005854330490271511,0.20797142887258008,0.025315621647517918,0.9827963914672706,0.008641111935342862,0.21481680454405194,0.025132456099559965,0.9999999999999998,1.1102230246251565e-16,0.21481680454383714,0.02513245609953483,0.2115412683849901,0.024795918143082223,0.9533010551796792,0.011243286510298385,0.954712308908081,0.010917627619288118,-0.9870677198525781,0.004111770578162531,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.25620616397096085,0.02976119242495228,0.26847737111603437,0.02942717819285599,28.625,0.9161253813129043,51.25,0.8864052604279183,12.0,0.0,0.04326769123700365,0.0014421926437458755,44.375,1.3024701806293193
response,120,8,0.034217680775058726,0.005854330490271511,0.03451774908786463,0.005948489035581038,0.9827963914672706,0.008641111935342862,0.004472888050710653,0.0005571187062658048,0.9999999999999998,1.1102230246251565e-16,0.004472888050706181,0.0005571187062652478,0.03515838561498923,0.006350432166552278,0.9999797216888896,5.297383296372252e-06,0.9987286009308335,0.0005173275306345494,-0.13347263056053316,0.0466084248309899,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.04877012156354088,0.008415842996498129,0.00029621156067557015,0.00011374228196419228,28.625,0.9161253813129043,51.25,0.8864052604279183,120.0,0.0,0.04326769123700365,0.0014421926437458755,44.375,1.3024701806293193
