exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,selection_mode,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,ell,s,hidden_s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json,causal_max_damage,causal_mean_damage,causal_min_kept_damage,causal_sum_kept_damage,causal_selected_indices_json,causal_damages_json
2a,L4,model_L4.pt,1,5,4,4,causal,0.95,0.001,8,0.01,0,3.0,0.0,15.0,16.0,3.6379495663579196,5.778548583795817,3.8237876614852424,0.5187184006306893,0.9606746866091057,0.7082939806574681,0.6937446211461695,"[1.1149843173377203, 0.9246925442734508, 0.46700217956101675, 0.3943054123410523, 0.37260240776401155, 0.2646069404020656, 0.2132635379273364, 0.19047868491700626]",0.002566030229558581,0.0012992799789271754,0.0,0.0,[],"[0.0010640395292625718, 0.0014984689203288903, 0.002566030229558581, 0.0020327533115898203, 0.0011772316745297543, 0.001125069088048877, 0.0012045252953645903, 0.001188588943502249, 0.0010438846616895626, 0.000956201555537903, 0.0007964646928695782, 0.0011481370851725036, 0.0020098520220469757, 0.0007479012994673694, 0.0010858062818473037, 0.001143525072018274]"
2a,L4,model_L4.pt,1,5,4,4,causal,0.95,0.001,8,0.01,0,4.0,0.0,16.0,16.0,6.17149715264949,8.73249214082073,4.465907168518385,0.61068171027555,0.9999999999999178,0.6239537560784453,0.6239537560784453,"[1.2864288663928851, 1.1616473481925185, 1.0673455138830688, 0.9269648695997026, 0.57421703197128, 0.4789270899249892, 0.42063757651369554, 0.38769188490781464]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2a,L4,model_L4.pt,2,5,4,4,causal,0.95,0.001,8,0.01,0,0.0,5.0,5.0,8.0,2.6807742670047903,3.4580477923045594,706.615033864083,0.9999761892951545,0.9999969626201126,0.005181506770292482,0.004879621383417422,"[359.940007840458, 207.08798269064067, 175.2311732855039, 138.99179355965182, 96.06725879990545, 0.7295680032857792, 0.6736858180664203, 0.399378133622113]",0.4674889868427182,0.17206439604656407,0.14277173087543643,1.3624156082274737,"[0, 1, 2, 3, 4]","[0.4674889868427182, 0.25525661911323644, 0.28606810587738385, 0.21083016551869874, 0.14277173087543643, 0.008836520976475484, 0.003917538540095039, 0.001345500628468398]"
2a,L4,model_L4.pt,2,5,4,4,causal,0.95,0.001,8,0.01,0,1.0,6.0,13.0,16.0,2.7192437102942884,4.950981283701406,5.473184276283745,0.7912433499295008,0.9513460363266003,0.4972461918152045,0.4568989495177964,"[2.177293477711286, 1.0497281804431433, 0.7308780641959033, 0.6146230291595058, 0.5244898365740664, 0.5160815719365422, 0.49122005685383235, 0.38524646654711475]",0.24083935090981337,0.02356522624110371,0.010481499580167196,0.3207307993011385,"[0, 4, 5, 6, 8, 12]","[0.24083935090981337, 0.007146704686947274, 0.007643727089790118, 0.00852707550383695, 0.010481499580167196, 0.01463162611872315, 0.01914121754064267, 0.0036384043567986254, 0.01981699083955564, 0.004510511278684964, 0.009320241359202053, 0.001404507896230076, 0.015820114312236486, 0.0021511442134200046, 0.004532815123612531, 0.007437689047998293]"
2a,L4,model_L4.pt,2,5,4,4,causal,0.95,0.001,8,0.01,0,2.0,0.0,15.0,16.0,4.130227367249394,6.585211430197889,2.851563823902829,0.6965215416673992,0.9608464258243474,0.5751084820961816,0.5508887894416421,"[0.9973646800535154, 0.7095142358253373, 0.5981132853691606, 0.369481532926765, 0.28617058599533324, 0.25595884957555043, 0.2174594922121134, 0.19643273922288423]",0.003790380919606702,0.0016585032160666238,0.0,0.0,[],"[0.003790380919606702, 0.0022148557489007235, 0.0022336950451780696, 0.0013272161990695822, 0.0011602967955285917, 0.0023574155413944925, 0.0008702204077422396, 0.0018670094819188876, 0.0009284005390294616, 0.0018746904130445277, 0.0010704152784526057, 0.0013381891847900178, 0.0016054270602061727, 0.0016104399233486534, 0.001037752494721517, 0.0012496464241337393]"
2a,L4,model_L4.pt,2,5,4,4,causal,0.95,0.001,8,0.01,0,3.0,0.0,16.0,16.0,4.646902458358734,6.867057801399477,4.310474353754363,0.6491832299686892,0.9999999999999171,0.5922978727222116,0.5922978727222116,"[1.1888619418834683, 1.0017056054271076, 0.8914799058255293, 0.5164344915683349, 0.41279824745535154, 0.3009820799886431, 0.2785643775930918, 0.25464128722939966]",0.002910345525397866,0.0014835047321703197,0.0,0.0,[],"[0.001831850418649192, 0.0009238479467247153, 0.002910345525397866, 0.0006781880943026048, 0.0016344008511355633, 0.0020682496740571385, 0.0018173401021168714, 0.000935315347494683, 0.0008519352618409084, 0.0017299357328023801, 0.0013885223281505379, 0.0014811010276675873, 0.0016674039015341458, 0.0012134752002519883, 0.0017564389128150646, 0.0008477253897838666]"
2a,L4,model_L4.pt,2,5,4,4,causal,0.95,0.001,8,0.01,0,4.0,0.0,15.0,16.0,6.645981541369278,10.265622918200282,6.6446025640718585,0.7960578985328394,0.9733534362719106,0.47450427710571813,0.4515994923238266,"[2.240273854014461, 1.4939479288046233, 1.3786722159106348, 1.183281791542476, 1.076913941935803, 0.968145724937599, 0.914874708716159, 0.7376196650065835]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2a,L4,model_L4.pt,3,5,4,4,causal,0.95,0.001,8,0.01,0,0.0,5.0,5.0,5.0,2.6009080627730006,3.3228873279596414,2457.0199900472016,0.9999968232723581,1.0,0.001782337690177736,0.001782337690177736,"[1300.9724511065933, 778.0539237705628, 630.4020022498134, 465.701305467291, 282.9862363641193, 0.697947050178485, 0.639576177896395, 0.5056998195234821]",0.4884208182265297,0.3709790608228904,0.17535033447153853,1.854895304114452,"[0, 1, 2, 3, 4]","[0.4884208182265297, 0.45846811233543133, 0.354156726815271, 0.37849931226568156, 0.17535033447153853]"
2a,L4,model_L4.pt,3,5,4,4,causal,0.95,0.001,8,0.01,0,1.0,7.0,12.0,16.0,1.836538754753602,3.090095971736033,8.330537259036603,0.9108104773698742,0.9569901559118428,0.35827829861106014,0.29864614953170154,"[5.138992207480621, 2.075671286314052, 1.2541985986623116, 1.059025290673861, 0.7493928729193925, 0.7391392388573024, 0.6174969348240296, 0.6006652342139207]",0.2849840694303228,0.033913226888821105,0.010270843879257602,0.4913905497212151,"[0, 1, 2, 3, 6, 10, 11]","[0.2849840694303228, 0.037725869723206684, 0.050094934057553206, 0.012014096644422977, 0.00405405094789196, 0.005380540397577882, 0.010270843879257602, 0.0025972762618075413, 0.009696533716794312, 0.00834284269300313, 0.01268046801183198, 0.08362026797461984, 0.007254087575578843, 0.006200355415762618, 0.0039006393313809687, 0.0037947541601253613]"
2a,L4,model_L4.pt,3,5,4,4,causal,0.95,0.001,8,0.01,0,2.0,0.0,15.0,16.0,8.03208512910874,11.267910113882145,3.159537843460765,0.7681041237486251,0.9757663438462034,0.5005095877966917,0.4815556834378291,"[0.8246802478896378, 0.7616549555161641, 0.6288086263123308, 0.5806501465542783, 0.4945451432682831, 0.3859876198607414, 0.37629238565247103, 0.33361637596509325]",0.0030508972406014115,0.0017695707693078419,0.0,0.0,[],"[0.002123395310037098, 0.0026977242786602007, 0.0014676566247983738, 0.0018316623938347794, 0.0019138508266075107, 0.0019457721598292593, 0.0016006147491023162, 0.0013160965274262926, 0.001213669495739022, 0.0012479876036495525, 0.0030508972406014115, 0.002075796397464772, 0.0012409289415341734, 0.0019569057663689363, 0.0013663560631206138, 0.0012638179301511553]"
2a,L4,model_L4.pt,3,5,4,4,causal,0.95,0.001,8,0.01,0,3.0,0.0,15.0,16.0,7.18413615399721,10.703876471164905,4.81394475155714,0.7193562351489751,0.963265024620939,0.5541383387186922,0.5297582135757612,"[1.3454557397875357, 1.118131948493965, 0.9560361594272444, 0.8040546587405947, 0.6334502197343966, 0.570577956625319, 0.526470075165231, 0.4454574952773347]",0.0032144819352025863,0.00129987073702709,0.0,0.0,[],"[0.0014525195381907686, 0.0010225689888728436, 0.0032144819352025863, 0.001811450873540235, 0.001011626847183417, 0.001711467436386579, 0.0014712920368665575, 0.0011877173766660296, 0.0005872733000189447, 0.0008734427878103935, 0.0007280780295452049, 0.0010236107095950358, 0.0012910207813828915, 0.001840811779773003, 0.0009718258200803448, 0.000598743551318606]"
2a,L4,model_L4.pt,3,5,4,4,causal,0.95,0.001,8,0.01,0,4.0,0.0,15.0,16.0,8.245700552541361,13.035175193836379,7.53562703850152,0.7724469837188651,0.9501303563956094,0.5158242647088704,0.47702517363459684,"[2.6555886894814873, 1.8157668657202541, 1.5426065677824088, 1.484265253577946, 1.2753082818749608, 1.19185188085692, 1.0982253398898718, 1.0020877983853667]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2a,L6,model_L6.pt,0,5,6,4,causal,0.95,0.001,8,0.01,0,0.0,5.0,5.0,5.0,2.975057480171672,3.5863455143007705,2969.0402264452873,0.9999982324652121,1.0,0.0013294866633113207,0.0013294866633113207,"[1300.6511412381706, 850.4540309249572, 808.6960401427601, 479.9522540327535, 309.84025883009787, 0.8330161030326018, 0.7337261663446916, 0.6102254393224418]",0.5594843766748919,0.44457807040179126,0.2694815682980044,2.2228903520089562,"[0, 1, 2, 3, 4]","[0.5453404785741492, 0.4855210169882704, 0.5594843766748919, 0.3630629114736405, 0.2694815682980044]"
2a,L6,model_L6.pt,0,5,6,4,causal,0.95,0.001,8,0.01,0,1.0,3.0,9.0,16.0,1.422037232021086,2.236730730881931,8.41439977077086,0.9182645000850805,0.9506146947260857,0.3564888112883657,0.28589421105525253,"[5.7388078967416245, 1.2957792931276022, 1.2504227060475572, 0.8744035238805207, 0.7324946687328077, 0.6827851196853003, 0.5883908919884928, 0.5692558556257599]",0.3134771114513849,0.023649645882205615,0.012861044883354732,0.3392250272401089,"[0, 3, 8]","[0.3134771114513849, 0.004860159779512181, 0.0030075122931676563, 0.012861044883354732, 0.002387937432712762, 0.0040247413613638, 0.00374490836553121, 0.0010970575602586997, 0.012886870905369259, 0.0027006991115947772, 0.002756650378910639, 0.005125896425330102, 0.0031555958749274636, 0.0014943382418692462, 0.002463933415671753, 0.0023498766343306057]"
2a,L6,model_L6.pt,0,5,6,4,causal,0.95,0.001,8,0.01,0,2.0,0.0,14.0,16.0,5.807788196418764,8.325033652399993,3.6779499950275403,0.7781745148022599,0.9618155973485862,0.5015372510630424,0.4709835296458531,"[1.250246202707525, 1.1025889180661488, 0.8989459544300202, 0.6384930255204458, 0.6123200670627152, 0.5231242311748066, 0.4856429968680026, 0.3343254973121043]",0.003583848410202828,0.0013276185154919035,0.0,0.0,[],"[0.002300027957180385, 0.0021641260258484876, 0.003583848410202828, 0.000970285643053257, 0.0016637238211269958, 0.0008561610800986234, 0.0005259042595346243, 0.0013733933847224534, 0.0008785315848995083, 0.0016694082893631624, 0.0009680933546221593, 0.0011907805100079233, 0.0007573600791525203, 0.0006714921944330142, 0.0010629358758566035, 0.0006058237777679122]"
2a,L6,model_L6.pt,0,5,6,4,causal,0.95,0.001,8,0.01,0,3.0,0.0,14.0,16.0,5.6729603475074075,8.33143627655796,3.551404147234618,0.7604280669949214,0.9589778854363915,0.5203520926128501,0.4894608595230056,"[1.2415897616991591, 1.0474134354881797, 0.7522308935662797, 0.6272246714954803, 0.5946375438866078, 0.5399300097045215, 0.48305266925933815, 0.31567497059652466]",0.00319955336616711,0.0012559500431301943,0.0,0.0,[],"[0.0016228007507660242, 0.001750902793155892, 0.00319955336616711, 0.0014053288048937464, 0.0017337893343471113, 0.0010117949930845782, 0.0006121304542824519, 0.0012611289087472587, 0.001191243202601425, 0.0010682647470103492, 0.0011020268522532013, 0.001043611212451288, 0.000538653162498491, 0.0011076894884395308, 0.000717187658639449, 0.0007290949607452025]"
