exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,selection_mode,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,tau_sv,n_build,n_val,n_eval,B_nat,dim_R_nat,dim_over_nctx,dim_over_rT,r_eff_T_task,mean_s,mean_hidden_s,sum_candidate_rank,mean_candidate_rank,max_causal_damage,mean_causal_damage,sum_kept_causal_damage,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_val_closure,mean_val_closure,max_build_closure,mean_build_closure,max_val_refinement,mean_val_refinement,max_build_refinement,mean_build_refinement,s_list,candidate_ranks,mse_model,mse_krr,mse_ratio,E_pointwise_F_T
2a,L6,model_L6.pt,depth,6,5,128,6,4,2,task,causal,0.95,0.001,8,0.01,0,0.001,8,16,16,41,5,0.10638297872340426,1.0,5,0.8571428571428571,11.0,101,14.428571428571429,0.6092470772849343,0.06546680059309538,2.4505205777803045,0.01023623117683074,1.5754004480092252e-13,0.010236231176794213,0.9998948788960348,1.0,0.031189280008048163,0.015874633766017027,0.025697675540667018,0.013126797685304777,0.9999883586557392,0.8569877857490286,0.9999914290560482,0.8570362077035634,"[5, 1, 0, 0, 0, 0, 0]","[5, 16, 16, 16, 16, 16, 16]",0.05288715857355886,0.05578010094088627,0.9481366595160298,0.006088216767307767
2a,L6,model_L6.pt,depth,6,5,128,6,4,3,task,causal,0.95,0.001,8,0.01,0,0.001,8,16,16,48,5,0.10638297872340426,1.0,5,1.0,13.0,103,14.714285714285714,0.7941718060713213,0.04003888164285717,2.0441729681887395,0.010683406373571222,1.0826914537393742e-13,0.010683406373572802,0.9998859724911554,1.0,0.030338860112808314,0.014577347660624112,0.03524393977244881,0.014940652585060273,0.999991557280235,0.8570179301164353,0.9999892036121356,0.8570017894180568,"[6, 1, 0, 0, 0, 0, 0]","[7, 16, 16, 16, 16, 16, 16]",0.007607210413055898,0.008067430911933958,0.9429532767120117,0.009850022806467297
2a,L8,model_L8.pt,anchor,8,5,128,8,4,0,task,causal,0.95,0.001,8,0.01,0,0.001,8,16,16,70,5,0.10638297872340426,1.0,5,1.1111111111111112,7.444444444444445,133,14.777777777777779,111.96877612520152,5.029644109181948,227.4723708821095,0.011256515929142532,4.44797184929697e-13,0.011256515929211867,0.999873101464987,1.0,0.02345638689689413,0.013633659361013186,0.022418478489839487,0.012961573790800124,0.9999959550722597,0.888768800918308,0.9999957325617017,0.8887804837882752,"[5, 2, 0, 0, 0, 1, 1, 1, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.014547939613817285,0.022149372238674005,0.6568104710622811,0.010009455311116357
2a,L8,model_L8.pt,anchor,8,5,128,8,4,1,task,causal,0.95,0.001,8,0.01,0,0.001,8,16,16,60,5,0.10638297872340426,1.0,5,0.8888888888888888,8.11111111111111,133,14.777777777777779,87.01216972177366,3.27977597183361,148.2960082119842,0.00959085394501117,1.991224136818158e-13,0.009590853945037055,0.9999076795768473,1.0,0.029729659663231756,0.017269678963806812,0.023420099740560512,0.013911282181295016,0.9999951532257237,0.8886944967342641,0.9999967967496823,0.8887639230836889,"[5, 1, 0, 0, 0, 1, 1, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.02378264192409396,0.01659270551215232,1.433319111622623,0.017691815595380384
2a,L8,model_L8.pt,anchor,8,5,128,8,4,2,task,causal,0.95,0.001,8,0.01,0,0.001,8,16,16,92,5,0.10638297872340426,1.0,5,1.3333333333333333,12.666666666666666,133,14.777777777777779,50.42568360657587,2.7731830847347023,125.33329049228087,0.01103913273356202,2.4752729231007743e-13,0.011039132733653884,0.9998782051470791,1.0,0.01957811926571335,0.011406542538042994,0.02141607099710736,0.011994892242310868,0.9999978128718738,0.8888034859776179,0.9999984293031524,0.8887870076982245,"[5, 5, 0, 0, 0, 1, 1, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.024351062128681322,0.026505503524880486,0.9187172054974617,0.007383099672743627
2a,L8,model_L8.pt,anchor,8,5,128,8,4,3,task,causal,0.95,0.001,8,0.01,0,0.001,8,16,16,60,5,0.10638297872340426,1.0,5,0.8888888888888888,8.666666666666666,133,14.777777777777779,25.943812236457997,0.9493522066962254,43.22763378212744,0.008335137091379525,1.4034972862976205e-13,0.008335137091381456,0.9999305654723397,1.0,0.03777565493144543,0.021981578688421384,0.03525689217130248,0.02055037281880775,0.9999931990809541,0.8885719285766106,0.9999950477502156,0.8886077154584592,"[5, 1, 0, 0, 0, 1, 1, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.008037319843220567,0.00562952432838037,1.427708519297389,0.0072293704758428605
2a,L12,model_L12.pt,depth,12,5,128,12,4,0,task,causal,0.95,0.001,8,0.01,0,0.001,8,16,16,104,5,0.10638297872340426,1.0,5,0.9230769230769231,9.153846153846153,200,15.384615384615385,0.6395817506297905,0.020343458853139998,2.597832011522882,0.008640245723539181,1.6593693226045108e-12,0.008640245723537752,0.99992511446996,1.0,0.04146079115590159,0.023978142560103884,0.043340427702314874,0.025309129249664015,0.9999937815811101,0.9226816061442645,0.9999928236754219,0.9226385447247291,"[5, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]","[8, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",0.012314515118813596,0.009961713826133246,1.2361843889259383,0.007494490218548338
2a,L12,model_L12.pt,depth,12,5,128,12,4,1,task,causal,0.95,0.001,8,0.01,0,0.001,8,16,16,112,5,0.10638297872340426,1.0,5,1.0,8.615384615384615,197,15.153846153846153,0.7323611969398347,0.04646280486193981,4.215452693265618,0.009796014188897736,9.870957778396257e-13,0.009796014188761092,0.9999043234449294,1.0,0.018182746092880356,0.010916006179956243,0.022864579236940744,0.013564388876493451,0.9999983161965091,0.922996716541726,0.9999983674890389,0.9229501723165113,"[5, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",0.009988947038619314,0.008102771532203542,1.2327815240648687,0.007364626347423544
2a,L12,model_L12.pt,depth,12,5,128,12,4,2,task,causal,0.95,0.001,8,0.01,0,0.001,8,16,16,131,5,0.10638297872340426,1.0,5,1.1538461538461537,7.384615384615385,197,15.153846153846153,0.5200938914978006,0.04326973446553793,3.655388866586451,0.01005093587622614,1.5242305033887416e-12,0.010050935876166659,0.9998981102128625,1.0,0.023748736301241774,0.01376561833206281,0.025431017962371266,0.014833465339089958,0.9999978525841695,0.9229465265187701,0.999998329193771,0.9229237566767743,"[5, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",0.027982646496719197,0.024395726874648815,1.1470306517408089,0.009814225088619835
2a,L12,model_L12.pt,depth,12,5,128,12,4,3,task,causal,0.95,0.001,8,0.01,0,0.001,8,16,16,121,5,0.10638297872340426,1.0,5,1.0769230769230769,10.461538461538462,197,15.153846153846153,0.567961268044081,0.038160944973733284,3.198192773922566,0.006468381556727815,2.399756303570374e-12,0.006468381556669278,0.9999581006721684,1.0,0.021077297807431946,0.012594139195933753,0.027585738863169965,0.015737873359564704,0.9999976944819877,0.9229699226779944,0.999997915182829,0.9229021773842576,"[5, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",0.016768639632287974,0.01403699653149198,1.1946031043512446,0.010073945866119245
