exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,selection_mode,span_mode,kernel_family,kernel_lengthscale,kernel_signal_var,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,ell,s,hidden_s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json,causal_max_damage,causal_mean_damage,causal_min_kept_damage,causal_sum_kept_damage,causal_selected_indices_json,causal_damages_json
2b,dx3,model_dx3.pt,2,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,2.0,0.0,14.0,16.0,6.204580351451125,10.819494320403734,7.678768034286664,0.7186296738103569,0.9643485707609838,0.5540672352291884,0.5304435183783718,"[3.861438629569212, 3.3387311990689357, 1.8513450849729471, 1.6520427115937846, 1.4460849768791662, 1.4091574394907112, 1.277021033219168, 1.2185344419025785]",0.02161268523493013,0.002195192975006907,0.0,0.0,[],"[0.02161268523493013, 0.00336804012678211, 0.001198346112565536, 0.0009403157298936055, 0.0007365538515362704, 0.0007163593092320517, 0.0007676848838057861, 0.0005568248689890216, 0.000442892409696703, 0.0007080850323154837, 0.000666403576137783, 0.0009839039384748082, 0.000528592916559463, 0.0007989636491292919, 0.000647806565210369, 0.0004496293948520999]"
2b,dx3,model_dx3.pt,2,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,3.0,0.0,14.0,16.0,6.704667221766339,11.976749867433744,7.333966646792585,0.7098073151238238,0.9651310553367373,0.5611977520168548,0.5386953544222909,"[3.797291110922161, 2.777128468713741, 1.8193955426671398, 1.637887558734431, 1.4338107131177547, 1.381450418222157, 1.2953122349551456, 1.2205556134769573]",0.010576349939889935,0.001697688566757425,0.0,0.0,[],"[0.010576349939889935, 0.007789909963388698, 0.0010122761609987914, 0.0008825724349875777, 0.0005933768199552072, 0.0007217832905433922, 0.000648705843721082, 0.0005341979325896376, 0.00041305197493756454, 0.0006596773476826043, 0.0006930577385993024, 0.0005540895894987352, 0.0005192916744423647, 0.0007839241479036372, 0.0003878649141507333, 0.0003928872948295333]"
2b,dx3,model_dx3.pt,2,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,4.0,0.0,13.0,16.0,5.580161708889365,10.761020179248433,7.454347764160179,0.7307056910552833,0.9533609574527538,0.5507937206970716,0.5189357464510406,"[4.331793262412661, 2.874721056409287, 1.765673503278117, 1.6320141144451759, 1.454330462124577, 1.3831577085717586, 1.2922889882689006, 1.2455435449496624]",0.013291869993962145,0.0014149036849368263,0.0,0.0,[],"[0.013291869993962145, 0.0025278729671762315, 0.0006718337162353635, 0.0006774433023035577, 0.00037826154411855893, 0.0005203143566281021, 0.00043499498422340093, 0.0004762945640965428, 0.0003635303036779227, 0.00037790633546063964, 0.000754748642150838, 0.00033429882499809286, 0.00046692325048052093, 0.0005131740814010903, 0.00046436926490234204, 0.0003846228271738739]"
2b,dx3,model_dx3.pt,2,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,5.0,0.0,13.0,16.0,4.828879468595986,9.801762281268827,7.894981572851966,0.7623395899621971,0.9571051375382512,0.5199623658480927,0.4875042666867509,"[4.789499095604988, 2.9023630004677523, 1.7354748902743091, 1.6615655630233428, 1.4823638663726288, 1.4049148997685608, 1.3064563999185674, 1.2405275695754485]",0.013921647673307678,0.0012917169077864945,0.0,0.0,[],"[0.013921647673307678, 0.0012477009304548362, 0.0006442187415111997, 0.0004696849709828423, 0.0003161269657861097, 0.0003551125140997944, 0.0003300753078469154, 0.0005880325707980418, 0.0003013732022865803, 0.0004313149422739546, 0.00024446427123335545, 0.0003041340241941164, 0.0005123323105692156, 0.00038059507628440545, 0.0003289575156000817, 0.00029169950735478815]"
2b,dx3,model_dx3.pt,2,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,6.0,0.0,13.0,16.0,4.781229932070904,9.710370274074007,8.12699429994036,0.7656804347692487,0.9591219919921967,0.5153824368123512,0.4840656621066363,"[4.9372704811186185, 2.962604531221114, 1.7738357116590688, 1.7080831490642094, 1.532575368778841, 1.4391134365981386, 1.34077925920121, 1.2749875878003398]",0.014961258083267905,0.001339041610149787,0.0,0.0,[],"[0.014961258083267905, 0.001107702088799308, 0.00048212989876317855, 0.0004269775817251361, 0.00041746644602467977, 0.00023384600327645754, 0.000575697530126871, 0.0006647315983272626, 0.00023688776300157042, 0.0003466655015136582, 0.0002508487266755537, 0.00030390191661318886, 0.00037492640497072187, 0.00042241228007088575, 0.0003824649214205069, 0.00023674901781970995]"
2b,dx3,model_dx3.pt,2,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,7.0,0.0,14.0,16.0,8.247223547255704,13.738002464084236,7.930249281132522,0.671994502591839,0.9563190592245288,0.5977949895050026,0.57271764195644,"[3.9470264263608286, 2.8423666957000657, 1.9686904660091433, 1.9280558526448444, 1.7916950123770636, 1.6565290169750895, 1.5205758109240144, 1.4382886713010932]",0.002864249282355549,0.0005579015906968135,0.0,0.0,[],"[0.002864249282355549, 0.0012955111307550908, 0.0007467568514523809, 0.00027518670825269934, 0.00041322004973202086, 0.00027336922070061477, 0.00050852914741269, 0.0004380253856762033, 0.0002668602126428277, 0.00023464809821673735, 0.0002513742944891358, 0.00025019007783116915, 0.0002704706912827735, 0.0003300709617703202, 0.000248054017316803, 0.00025990932126200057]"
2b,dx3,model_dx3.pt,2,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,8.0,0.0,14.0,16.0,7.866720456535543,13.485944776205598,8.480301460136236,0.6794319864001124,0.968450355455353,0.5848109534396968,0.5661872601886003,"[4.3227225209394025, 3.0161967048239866, 2.065962133727999, 2.015096468116188, 1.8438185813023042, 1.746296895208888, 1.7158177652534248, 1.5902401647930506]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2b,dx3,model_dx3.pt,3,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.0,3.0,2.0,12.0,2.0355041614712883,2.2214146830211687,2079.8506427631596,0.9999888324054269,0.9607155767113736,0.19823004860688295,0.0033417951123715208,"[1248.4699925273144, 980.5135850863824, 310.2724340499022, 2.6120758610520203, 2.278568866008018, 1.9692921187187624, 1.8427464023835565, 1.8140780328479138]",1.8446445690804767,0.2554043769937157,0.1847240478479629,3.0467734710870364,"[0, 1, 2]","[1.017404854158597, 0.1847240478479629, 1.8446445690804767, 0.001473890859798498, 0.0023147244022441336, 0.0022400455303307966, 0.0008368911645418187, 0.0016574821390116924, 0.0007386808135229217, 0.0027137377897030993, 0.002530677238505545, 0.0035729228998936527]"
2b,dx3,model_dx3.pt,3,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,1.0,1.0,14.0,16.0,6.905202597498492,11.479259083287829,7.802195061955614,0.6714932719874895,0.9587710035758286,0.5968179971499734,0.5731550645440499,"[3.455538825300432, 2.272070543987109, 1.7728076388720984, 1.589129738621043, 1.5069276333299368, 1.3422232453219989, 1.2491411686358116, 1.224864117515288]",0.10226303139138392,0.009805025930602064,0.10226303139138392,0.10226303139138392,[0],"[0.10226303139138392, 0.0030153524216266453, 0.00447040605627332, 0.004219909098356997, 0.01335048264994143, 0.0016101257700074356, 0.0005420589215904891, 0.0024283562352022127, 0.006062026194675267, 0.0036269850599297197, 0.0030965373680428925, 0.004399658433691364, 0.00142477996380648, 0.0018683287551641387, 0.0033873263304643486, 0.0011150502394763875]"
2b,dx3,model_dx3.pt,3,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,2.0,1.0,13.0,16.0,5.448270344675295,9.808603952501105,7.778517008406543,0.7132709207716168,0.9593226040975928,0.5619102088930689,0.5354708948471117,"[3.7000623966082586, 2.1318378194282626, 1.716678823276213, 1.5221243500845254, 1.3330628349141072, 1.256193374286111, 1.1842073164557765, 1.1738727726127542]",0.08324643913249548,0.006321653670567794,0.08324643913249548,0.08324643913249548,[0],"[0.08324643913249548, 0.0021062853533188857, 0.0009985919404144298, 0.0014779426197765384, 0.0016736898967498219, 0.000823182573899859, 0.000838941783836436, 0.0006506112557490888, 0.0013917836746501456, 0.0012967895299481082, 0.001004437565385703, 0.001078480330743035, 0.0015497100439279936, 0.0006593684587638778, 0.0008426409194553385, 0.0015075636499699554]"
