selection_rank,bank_index,bank_batch_index,bank_batch_member,bank_batch_size,name,replicate,state_idx,basis_layer,certificate,sampling_mode,profile,tau_actual,log10_lambda1,gamma,n_ctx,n_tgt,r_T,rank_Q,candidate_dim,rank_to_alpha,best_rank,rho_TQ,best_rho,reach_alpha,krr_mse,base_mse,mse,mse_ratio,mse_repair_factor,point_err,point_drift,E_F_T,E_F_TQ,damage_vs_base
167,166,166,0,1,remove_Q,remove_Q,1,8,certified,fixed_target_rich,minimal_step,3.3743464946746826,-1.038049340248108,,47,40,25,25,47,25,47,0.04278997568053719,6.217001433679702e-29,1.0,0.07367599825502999,0.08724014432977553,0.16431183800819973,2.230194933218728,0.5309425382084884,0.9881664169787415,1.0047397433392364,0.9288661967072114,0.9337202529109075,0.9135526113506518
167,166,166,0,1,zero_context,zero_context,1,8,certified,fixed_target_rich,minimal_step,3.3743464946746826,-1.038049340248108,,47,40,25,25,47,25,47,0.04278997568053719,6.217001433679702e-29,1.0,0.07367599825502999,0.08724014432977553,0.13967384100437225,1.8957848459805084,0.624599020850616,0.96567856547752,0.9662103235847973,,,
167,166,166,0,1,keep_response_svd,keep_response_svd,1,8,certified,fixed_target_rich,minimal_step,3.3743464946746826,-1.038049340248108,,47,40,25,25,47,25,47,0.04278997568053719,6.217001433679702e-29,1.0,0.07367599825502999,0.08724014432977553,0.08862467281442474,1.2028974824019323,0.9843776180979722,0.4731929885596248,0.49143030329438997,,,
167,166,166,0,1,keep_krr_oracle,keep_krr_oracle,1,8,certified,fixed_target_rich,minimal_step,3.3743464946746826,-1.038049340248108,,47,40,25,25,47,25,47,0.04278997568053719,6.217001433679702e-29,1.0,0.07367599825502999,0.08724014432977553,0.12682583376939363,1.721399597876979,0.6878736116839064,0.4371654001634968,0.39114765055035094,,,
168,167,167,0,1,base,base,1,8,certified,fixed_target_rich,minimal_step,13.651700019836426,0.8289580345153809,,47,40,25,31,41,31,41,0.049553068230758404,0.04374040497042016,1.0,0.07993555481283135,0.20931377572738352,0.20931377572738352,2.6185315935754816,1.0,0.04213894236497893,0.0,0.03820332895187937,0.0373310316461975,0.0
168,167,167,0,1,keep_Q,keep_Q,1,8,certified,fixed_target_rich,minimal_step,13.651700019836426,0.8289580345153809,,47,40,25,31,41,31,41,0.049553068230758404,0.04374040497042016,1.0,0.07993555481283135,0.20931377572738352,0.20038643018409927,2.506849807364232,1.0445506491386793,0.04021897318000641,0.026136591540339548,0.046626754261907315,0.04545921153304269,0.034575316131536096
168,167,167,0,1,remove_Q,remove_Q,1,8,certified,fixed_target_rich,minimal_step,13.651700019836426,0.8289580345153809,,47,40,25,31,41,31,41,0.049553068230758404,0.04374040497042016,1.0,0.07993555481283135,0.20931377572738352,3.170695255918981,39.66564394709145,0.06601510357598744,0.22956341371052788,0.2251018895694838,0.5155933099485486,0.5145009793098203,0.5150491102228802
168,167,167,0,1,zero_context,zero_context,1,8,certified,fixed_target_rich,minimal_step,13.651700019836426,0.8289580345153809,,47,40,25,31,41,31,41,0.049553068230758404,0.04374040497042016,1.0,0.07993555481283135,0.20931377572738352,51.20185814158141,640.5392226459211,0.004088011320772717,0.9286224542768274,0.9268980145169127,,,
168,167,167,0,1,keep_response_svd,keep_response_svd,1,8,certified,fixed_target_rich,minimal_step,13.651700019836426,0.8289580345153809,,47,40,25,31,41,31,41,0.049553068230758404,0.04374040497042016,1.0,0.07993555481283135,0.20931377572738352,0.2038702741284369,2.5504329657284295,1.0267008107102327,0.040783099314380296,0.01052175244972559,,,
168,167,167,0,1,keep_krr_oracle,keep_krr_oracle,1,8,certified,fixed_target_rich,minimal_step,13.651700019836426,0.8289580345153809,,47,40,25,31,41,31,41,0.049553068230758404,0.04374040497042016,1.0,0.07993555481283135,0.20931377572738352,0.23054425144767832,2.8841264939925217,0.9079114938369521,0.047595137677377476,0.03409453787642684,,,
