bank_index,base_mse,krr_mse,base_mse_ratio,sampling_mode,profile,tau_actual,log10_lambda1,lambda1,gamma,n_ctx_actual,n_tgt_actual,spectrum_batch_size,bank_batch_index,bank_batch_member,bank_batch_size
34,0.14439600883056342,0.10193014213511895,1.4166173597516578,fixed_target_rich,minimal_step,7.021233081817627,-0.010951399803161621,0.9750987510994342,,47,40,1,34,0,1
35,83.53132377554259,0.004991201080462135,16735.715998804928,fixed_target_rich,minimal_step,0.1977003514766693,-1.803037703037262,0.015738462259382614,,47,40,1,35,0,1
36,0.09701748452870991,0.09865506957245794,0.9834009032597631,fixed_target_rich,minimal_step,1.336778998374939,-1.7170246243476868,0.019185599558969504,,47,40,1,36,0,1
37,0.3514010203369754,0.29379057879508197,1.1960935635790981,fixed_target_rich,minimal_step,11.836250305175781,-0.3449041247367859,0.45195570753480774,,47,40,1,37,0,1
38,0.2929570743071278,0.18057403707310937,1.622365424485236,fixed_target_rich,minimal_step,12.95910930633545,0.04809761047363281,1.1171142981789828,,47,40,1,38,0,1
39,0.22779034352569463,0.16803868785067136,1.3555827318059157,fixed_target_rich,minimal_step,5.153290748596191,0.472490131855011,2.9681792990040763,,47,40,1,39,0,1
40,0.1370298563498692,0.1335264199263766,1.0262377769539865,fixed_target_rich,minimal_step,2.955656051635742,-1.377372920513153,0.041939869954373536,,47,40,1,40,0,1
41,0.4729394432903269,0.44292901228719134,1.067754493769031,fixed_target_rich,minimal_step,13.725255966186523,-0.20074254274368286,0.6298794756116415,,47,40,1,41,0,1
42,0.30743493314799686,0.16024205814152023,1.9185658042190208,fixed_target_rich,minimal_step,4.799027442932129,0.2528020143508911,1.7897897408181398,,47,40,1,42,0,1
43,0.06087336354817343,0.04824565109029057,1.2617378390075078,fixed_target_rich,minimal_step,3.870126247406006,0.9916216731071472,9.808930854681648,,47,40,1,43,0,1
44,0.09386786175450998,0.07473031318342764,1.2560881622977906,fixed_target_rich,minimal_smooth,14.692123413085938,0.3422549366950989,2.199150424804369,,47,40,1,44,0,1
45,0.1506840387440455,0.14286775342774294,1.0547099336888206,fixed_target_rich,minimal_smooth,5.396180152893066,-1.797632873058319,0.01593555255463232,,47,40,1,45,0,1
46,0.18587326951742963,0.23798975645251302,0.7810137389443382,fixed_target_rich,minimal_smooth,11.590810775756836,-0.8255100250244141,0.14944795441919176,,47,40,1,46,0,1
47,0.21419654079510386,0.14130495893285946,1.5158458868869462,fixed_target_rich,minimal_smooth,14.685120582580566,-0.05432629585266113,0.8824166705067332,,47,40,1,47,0,1
48,0.2451806307651204,0.2191781014575663,1.1186365295375473,fixed_target_rich,minimal_smooth,11.381142616271973,-0.6783363223075867,0.2097315071269317,,47,40,1,48,0,1
49,0.2634030200690196,0.09364292430083909,2.8128448789446803,fixed_target_rich,minimal_smooth,14.17860221862793,0.8321341276168823,6.794134304330301,,47,40,1,49,0,1
50,0.04689072229134085,0.035946898797022994,1.3044441623772058,fixed_target_rich,minimal_smooth,9.325457572937012,0.5293751358985901,3.383569767919678,,47,40,1,50,0,1
51,0.3015462396579651,0.16317561449976575,1.847985929652485,fixed_target_rich,minimal_smooth,12.563116073608398,-1.1282953023910522,0.07442257589066555,,47,40,1,51,0,1
52,0.0458628540452647,0.04734330510870621,0.968729452664063,fixed_target_rich,minimal_step,0.8185776472091675,-1.8233116269111633,0.015020637772319509,,47,40,1,52,0,1
53,0.1740397088449031,0.09662098821557893,1.8012619417283229,fixed_target_rich,minimal_smooth,15.730887413024902,0.5993557572364807,3.9751704671837924,,47,40,1,53,0,1
54,0.23558695185026934,0.16849143553101867,1.3982132154539013,fixed_target_rich,minimal_smooth,14.296924591064453,-1.056814968585968,0.08773745474558618,,47,40,1,54,0,1
55,0.02059645303467402,0.018401599896126504,1.119275125583484,fixed_target_rich,minimal_smooth,8.2262601852417,0.47834593057632446,3.0084717002600927,,47,40,1,55,0,1
56,0.16028905179279276,0.11114721922740181,1.4421328118416454,fixed_target_rich,minimal_step,7.791069984436035,0.2778779864311218,1.896173122931708,,47,40,1,56,0,1
57,0.01943476988976852,0.01819134751333205,1.068352406303337,fixed_target_rich,minimal_step,1.094174861907959,0.6913279891014099,4.912787610137434,,47,40,1,57,0,1
58,0.057740807779099956,0.058114290667146296,0.9935733038507604,fixed_target_rich,minimal_step,1.9772999286651611,-1.467396080493927,0.0340881882454089,,47,40,1,58,0,1
59,0.0501650012721007,0.04807558897175567,1.0434609818628027,fixed_target_rich,minimal_step,3.211832284927368,-1.2661542296409607,0.054180844549390164,,47,40,1,59,0,1
60,0.08816106583410398,0.0804367184891603,1.0960301152263516,fixed_target_rich,minimal_step,11.263019561767578,-0.5767524838447571,0.2650010020590319,,47,40,1,60,0,1
61,0.10611636151701682,0.09515061869183246,1.1152461536871294,fixed_target_rich,minimal_smooth,9.826016426086426,0.8597673177719116,7.240479325205758,,47,40,1,61,0,1
62,0.30986462780277135,0.13289666634841643,2.3316207721147526,fixed_target_rich,minimal_step,11.18610954284668,0.8583561182022095,7.216990243795403,,47,40,1,62,0,1
63,0.10513107728805046,0.10654472495731522,0.9867318849447394,fixed_target_rich,minimal_smooth,4.292088031768799,-1.234661340713501,0.0582557314128522,,47,40,1,63,0,1
64,0.12897004083117652,0.12550292454016948,1.0276257808629576,fixed_target_rich,minimal_step,11.035393714904785,0.17718124389648438,1.5037694024812527,,47,40,1,64,0,1
65,0.1951664917013203,0.24133705092994315,0.8086884750985645,fixed_target_rich,minimal_smooth,14.636396408081055,-0.7766546607017517,0.16724199491041813,,47,40,1,65,0,1
66,0.44826110427382765,0.4436499227131529,1.0103937391276323,fixed_target_rich,minimal_smooth,13.634660720825195,-1.0479577779769897,0.08954518169652176,,47,40,1,66,0,1
67,0.10111071026436258,0.1277834628740056,0.7912660057120041,fixed_target_rich,minimal_smooth,5.24593448638916,-1.2748469114303589,0.05310716136966629,,47,40,1,67,0,1
68,0.1851069016941243,0.19035574430312166,0.9724261401818317,fixed_target_rich,minimal_smooth,4.774969577789307,-1.7322003841400146,0.018526765983511686,,47,40,1,68,0,1
69,0.2563078490814837,0.2324011313408337,1.1028683363231524,fixed_target_rich,minimal_step,9.352572441101074,0.531308114528656,3.3986630860192504,,47,40,1,69,0,1
70,0.020445172959287956,0.01360962775185658,1.5022580581969918,fixed_target_rich,minimal_step,0.35973113775253296,-1.5879703164100647,0.025824366915466725,,47,40,1,70,0,1
71,0.0727359262155535,0.053032537003866474,1.3715339737612495,fixed_target_rich,minimal_smooth,5.493785381317139,-0.26774126291275024,0.5398321393726191,,47,40,1,71,0,1
72,0.03744432014828268,0.03775977042375692,0.9916458635226295,fixed_target_rich,minimal_step,0.8637598156929016,-1.9280597567558289,0.011801582405885849,,47,40,1,72,0,1
73,0.23714016929627785,0.20413479792402903,1.1616841994010847,fixed_target_rich,minimal_step,11.489994049072266,-0.7631769180297852,0.172513498262937,,47,40,1,73,0,1
74,0.16465933568554614,0.13248935170139955,1.2428118454126813,fixed_target_rich,minimal_step,3.6664605140686035,-0.7852500677108765,0.16396453899412894,,47,40,1,74,0,1
75,0.378411759751428,0.3574704132487462,1.058582041272629,fixed_target_rich,minimal_smooth,10.364822387695312,-0.9276623129844666,0.11812387545037047,,47,40,1,75,0,1
76,0.10102885419487624,0.09053884013864608,1.115862032694105,fixed_target_rich,minimal_smooth,1.9680604934692383,-1.8055555820465088,0.015647480462120257,,47,40,1,76,0,1
77,0.07370758539056999,0.07801638593625264,0.9447705697466763,fixed_target_rich,minimal_step,0.9708077311515808,-1.599682092666626,0.025137258273423807,,47,40,1,77,0,1
78,0.027739660160461987,0.02001750052190334,1.3857704227412901,fixed_target_rich,minimal_step,0.5733361840248108,-1.7928705215454102,0.01611125896859344,,47,40,1,78,0,1
79,0.10441902997854977,0.09821770706322008,1.0631385429445839,fixed_target_rich,minimal_step,3.891425371170044,-0.9770957827568054,0.10541543791664174,,47,40,1,79,0,1
80,0.09869906104028561,0.06942767475058297,1.4216097744142995,fixed_target_rich,minimal_smooth,10.429729461669922,0.08490985631942749,1.215933591025783,,47,40,1,80,0,1
81,0.1596659620287028,0.1129170447872339,1.4140111648295124,fixed_target_rich,minimal_smooth,12.729949951171875,-0.05803936719894409,0.8749044647580463,,47,40,1,81,0,1
82,0.020491859104378816,0.016088707577881074,1.273679629341467,fixed_target_rich,minimal_step,0.2940046191215515,-1.6487675905227661,0.02245083041940583,,47,40,1,82,0,1
83,0.03403330493924613,0.032823459707361946,1.0368591624000205,fixed_target_rich,minimal_step,3.0218074321746826,-0.82370525598526,0.15007029768240898,,47,40,1,83,0,1
84,0.12723535274818293,0.10724662668981581,1.1863809303408632,fixed_target_rich,minimal_smooth,9.319306373596191,-1.4850249886512756,0.032732186072945056,,47,40,1,84,0,1
85,0.13514306673213553,0.11924017329644228,1.1333685870797685,fixed_target_rich,minimal_smooth,4.377588748931885,-1.8871798515319824,0.012966421898371888,,47,40,1,85,0,1
86,0.16412326356794624,0.14866788783099416,1.103959072550501,fixed_target_rich,minimal_smooth,5.237778663635254,-1.3331491947174072,0.0464355726056279,,47,40,1,86,0,1
