checkpoint,episode,basis,rank,selected_rank,r_eff_T_task,r_eff_T_task_strict,excess_risk_frac,kernel_lengthscale,kernel_signal_var,point_model_to_T,point_operator_to_T,point_model_to_operator,E_model_to_T,E_model_to_operator,E_operator_to_T,E_model_to_zero,E_zero_to_T,R_use,R_sub,X_use,X_sub,cos_res,rank_tau_task,krr_risk_total,krr_signal_total,krr_risk_per_tgt,krr_signal_per_tgt,krr_risk_over_signal
rbf_elbow_scratch_nctx47_ntgt64,15,raw,1,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.3263067660600376,0.32445938042281836,0.030371766679772115,0.5213264905410769,0.5257623483728682,0.998252788774966,0.9999999999999998,0.5222389523001635,0.5257623483723425,0.7272664767004275,0.7235739530339995,-0.9983531782823745,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,2,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.3241329449453582,0.3222501948440703,0.030371766679772115,0.4697777105552397,0.4735444801579661,0.998252788774966,0.9999999999999998,0.4705999480665314,0.4735444801574926,0.778535688879778,0.7757556253123701,-0.9979586149466056,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,3,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.2042326153230842,0.20379143833351296,0.030371766679772115,0.3962814158164201,0.39807825688027654,0.998252788774966,0.9999999999999998,0.3969750150183212,0.3980782568798785,0.8424108374512036,0.8415337013994775,-0.9970864987080079,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,4,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.21393519447066067,0.2132270075821417,0.030371766679772115,0.34651587416016716,0.3501168059916753,0.998252788774966,0.9999999999999998,0.34712237026160153,0.3501168059913252,0.8795060600639676,0.8774182221624327,-0.9962517731136459,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,5,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.19453562940492458,0.1929027966228651,0.030371766679772115,0.27979208638982433,0.283971853062057,0.998252788774966,0.9999999999999998,0.2802817978929954,0.2839718530617731,0.9214421137698701,0.9193599866686628,-0.9943049797867776,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,6,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.1863722759008412,0.1831236306916311,0.030371766679772115,0.22438913168780075,0.22882361745365354,0.998252788774966,0.9999999999999998,0.22478187309943948,0.22882361745342475,0.9494731095259075,0.9476397520955288,-0.9912087819768923,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,7,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.1424176079624125,0.14179233295020036,0.030371766679772115,0.21399218076793294,0.21850437822435428,0.998252788774966,0.9999999999999998,0.21436672471541512,0.21850437822413582,0.9540469073347855,0.9522558366968839,-0.9903537375541718,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,8,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.10241191898172734,0.0987595587065478,0.030371766679772115,0.20513872099572372,0.20967265358231382,0.998252788774966,0.9999999999999998,0.20549776900424188,0.20967265358210418,0.9577706669342793,0.9560373783398389,-0.9895158550374296,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,9,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.0566718222503994,0.07064749533475706,0.030371766679772115,0.19543091117267591,0.20012143294410717,0.998252788774966,0.9999999999999998,0.19577296789955245,0.20012143294390708,0.9616729450398008,0.9599514120764773,-0.9884882997045437,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,10,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.050145791450210586,0.06192995961492817,0.030371766679772115,0.18121913166396125,0.18536111613888914,0.998252788774966,0.9999999999999998,0.18153631394926317,0.18536111613870382,0.9670445667177145,0.965641256623814,-0.9865248325280999,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
