suite_exp,suite_smax,checkpoint,sweep,d_x,n_layers,n_heads,r_eff_T_task,dim_R_nat,dim_over_rT,task_E_F_T,task_E_TQ_T,task_E_F_TQ,task_X_use,task_X_sub,task_max_closure,task_mse_ratio,iso_E_F_T,iso_E_TQ_T,iso_E_F_TQ,iso_X_use,iso_X_sub,iso_mse_ratio,ood_gap_E_F_T,ood_gap_E_TQ_T
2a,4,L8,,5.0,8.0,4.0,5.0,5.0,1.0,0.009723866568848449,2.310791087622408e-13,0.009723866568848927,0.999888460776081,1.0,0.11912073995124811,1.358201977679538,0.29707037400716146,3.885322827198333e-12,0.2970703740077286,0.9130476957207423,1.0,1.358201977679538,30.550642782250982,3.885322827198333
2b,1,dx10,,10.0,8.0,4.0,10.0,5.375,0.5375,0.013449825742140913,0.6721628970486517,0.6731063632656425,0.5428190893674486,0.5427663491732273,0.7445896939727947,1.4734011626207972,0.4339653511076388,0.8066860915596497,0.9238439273528184,0.28563218173635185,0.34329375428440884,1.4734011626207972,32.2654998977378,1.2001348112216033
2b,1,dx15,,15.0,8.0,4.0,14.9375,5.8125,0.3891213389121339,0.016909196428543778,0.7734076416813614,0.773243427127642,0.3970223800850239,0.39715157257721706,0.743860150857068,1.558434328493776,0.3799038473455765,0.9151168298004655,0.9993340079275409,0.14017513124762557,0.1614092331169396,1.558434328493776,22.467291627429148,1.183227033820138
2b,1,dx3,,3.0,8.0,4.0,3.0,3.0,1.0,0.006230220745930678,3.1535769503085136e-12,0.006230220746633734,0.9999596664947985,1.0,0.590176835083476,1.2530060078235072,0.1990266803609499,1.3801740735672142e-10,0.19902668034604543,0.9601162732747117,1.0,1.2530060078235072,31.945365738596962,43.76535265556758
2b,1,dx5,,5.0,8.0,4.0,5.0,4.8125,0.9625,0.008590895228884208,0.09849087802114301,0.10566257317505282,0.9453163146668437,0.9455366654742291,0.6655381015160988,1.0645948415541913,0.25329189292969667,0.12537820147912057,0.3390009731077561,0.8581632440652185,0.9153000315430428,1.0645948415541913,29.483759978597064,1.2729930324329697
2b,1,dx8,,8.0,8.0,4.0,8.0,5.75,0.71875,0.013030204299853392,0.5187851305877229,0.5177255049562959,0.7130195244909849,0.712915936440979,0.7212232499837382,1.1403804638780968,0.34076839612018306,0.6509262062205904,0.7335304948827945,0.5007599557383077,0.5592478284069402,1.1403804638780968,26.15219134545858,1.2547125348083263
2b,2,dx10,,10.0,8.0,4.0,10.0,7.875,0.7875,0.013449825742140913,0.4467913442872432,0.4473208650068896,0.7900787894877798,0.7899206067508735,0.5438681805904692,1.4734011626207972,0.4339653511076388,0.6077128284514929,0.7603102483563677,0.5115519310344152,0.6151443410198597,1.4734011626207972,32.2654998977378,1.3601714451764153
2b,2,dx15,,15.0,8.0,4.0,14.9375,8.8125,0.5899581589958159,0.016909196428543778,0.6403840167783432,0.6407732043545779,0.583694173414163,0.5844980425455232,0.5669412187531825,1.558434328493776,0.3799038473455765,0.8264324439466864,0.9194358014992008,0.27043982225466623,0.3131220220898783,1.558434328493776,22.467291627429148,1.290526344027634
2b,2,dx3,,3.0,8.0,4.0,3.0,3.0,1.0,0.006230220745930678,1.3938192012550094e-13,0.006230220745935081,0.9999596664948087,1.0,0.27494019373699896,1.2530060078235072,0.1990266803609499,5.748274334453961e-13,0.19902668036094123,0.9601162732682262,1.0,1.2530060078235072,31.945365738596962,0.5748274334453961
2b,2,dx5,,5.0,8.0,4.0,5.0,5.0,1.0,0.008590895228884208,2.264899798519376e-12,0.008590895229084954,0.9999217139711204,1.0,0.4095525735089587,1.0645948415541913,0.25329189292969667,1.0693397340213849e-10,0.25329189293623616,0.9375307228689109,1.0,1.0645948415541913,29.483759978597064,47.21355596925039
2b,2,dx8,,8.0,8.0,4.0,8.0,7.4375,0.9296875,0.013030204299853392,0.17846653017943145,0.18433623082785178,0.9307041336829638,0.9307492535316592,0.5168702766888552,1.1403804638780968,0.34076839612018306,0.24317746060488207,0.4710125431205441,0.7779117269915992,0.8737419176158463,1.1403804638780968,26.15219134545858,1.3625942094598344
2b,4,dx10,,10.0,8.0,4.0,10.0,9.625,0.9625,0.013449825742140913,0.10520817356131336,0.1140927992690814,0.9696817624873065,0.9699037508485839,0.28376850483972543,1.4734011626207972,0.4339653511076388,0.1567620382009921,0.5038404273307895,0.7830993488910473,0.932683284008069,1.4734011626207972,32.2654998977378,1.4900176753817906
2b,4,dx15,,15.0,8.0,4.0,14.9375,12.0625,0.8075313807531381,0.016909196428543778,0.4375735697220602,0.4383066921075134,0.7997216631702717,0.8005392841699653,0.3174737814016262,1.558434328493776,0.3799038473455765,0.6440543909614982,0.75680988270232,0.4983013544777775,0.5714298393541295,1.558434328493776,22.467291627429148,1.4718768123280193
2b,4,dx3,,3.0,8.0,4.0,3.0,3.0,1.0,0.006230220745930678,1.412018746332946e-13,0.006230220745934519,0.9999596664948087,1.0,0.030427908258074378,1.2530060078235072,0.1990266803609499,7.44683933489386e-13,0.19902668036089716,0.9601162732682373,1.0,1.2530060078235072,31.945365738596962,0.744683933489386
2b,4,dx5,,5.0,8.0,4.0,5.0,5.0,1.0,0.008590895228884208,2.1771724018789308e-13,0.008590895228891567,0.9999217139711237,1.0,0.12546312309537122,1.0645948415541913,0.25329189292969667,2.8399278132026143e-12,0.25329189292976834,0.9375307228720055,1.0,1.0645948415541913,29.483759978597064,2.8399278132026144
2b,4,dx8,,8.0,8.0,4.0,8.0,8.0,1.0,0.013030204299853392,6.852381310338131e-13,0.013030204299809701,0.9998238390605996,1.0,0.23237364771546554,1.1403804638780968,0.34076839612018306,2.491546831716887e-11,0.34076839611846865,0.8928897015563765,1.0,1.1403804638780968,26.15219134545858,24.915468317168873
