basis,layer,n,best_model_excess_mean,best_model_excess_std,best_op_excess_mean,best_op_excess_std,best_op_signal_error_mean,best_op_signal_error_std,best_rank_mean,best_rank_std,candidate_dim_mean,candidate_dim_std,layer_mean,layer_std,model_excess_at_oracle_mean,model_excess_at_oracle_std,model_excess_at_strict_mean,model_excess_at_strict_std,op_excess_at_oracle_mean,op_excess_at_oracle_std,op_excess_at_strict_mean,op_excess_at_strict_std,op_signal_error_at_oracle_mean,op_signal_error_at_oracle_std,op_signal_error_at_strict_mean,op_signal_error_at_strict_std,r_eff_T_task_mean,r_eff_T_task_std,r_eff_T_task_strict_mean,r_eff_T_task_strict_std,rank_at_oracle_mean,rank_at_oracle_std,rank_at_strict_mean,rank_at_strict_std,reach_alpha_mean,reach_alpha_std,rank_to_alpha_mean,rank_to_alpha_std
raw,5,16,0.32541102991450166,0.036415769711056534,0.29893613840096606,0.036917435908738784,0.15643607196968132,0.013500116076456993,13.875,1.3102162671355697,13.875,1.3102162671355697,5.0,0.0,0.32541102991450166,0.036415769711056534,0.32541102991450166,0.036415769711056534,0.29893613840096606,0.036917435908738784,0.29893613840096606,0.036917435908738784,0.15643607196968132,0.013500116076456993,0.15643607196968132,0.013500116076456993,18.3125,0.6020797289396148,30.5625,1.5041608956491324,13.875,1.3102162671355697,13.875,1.3102162671355697,0.0,0.0,,
raw,6,16,0.3062631853124308,0.03960854830976481,0.27322880159544916,0.03658930310361984,0.149620182177745,0.014639986689279353,14.5625,1.547847968417226,14.5625,1.547847968417226,6.0,0.0,0.3062631853124308,0.03960854830976481,0.3062631853124308,0.03960854830976481,0.27322880159544916,0.03658930310361984,0.27322880159544916,0.03658930310361984,0.149620182177745,0.014639986689279353,0.149620182177745,0.014639986689279353,18.3125,0.6020797289396148,30.5625,1.5041608956491324,14.5625,1.547847968417226,14.5625,1.547847968417226,0.0,0.0,,
raw,7,16,0.25131746121036835,0.044778270298719176,0.1991442279054876,0.032547538620927,0.12753292690634493,0.013350560349009968,16.5625,1.4127396551853895,16.5625,1.4127396551853895,7.0,0.0,0.25131746121036835,0.044778270298719176,0.25131746121036835,0.044778270298719176,0.1991442279054876,0.032547538620927,0.1991442279054876,0.032547538620927,0.12753292690634493,0.013350560349009968,0.12753292690634493,0.013350560349009968,18.3125,0.6020797289396148,30.5625,1.5041608956491324,16.5625,1.4127396551853895,16.5625,1.4127396551853895,0.0,0.0,,
raw,8,16,0.2392404537844721,0.041322740987194545,0.17814247181835652,0.03932471543146458,0.12030562567765204,0.015604874575639225,17.1875,1.6007810593582121,17.1875,1.6007810593582121,8.0,0.0,0.2393901732328507,0.04145023746211257,0.2392404537844721,0.041322740987194545,0.178274838984845,0.039114371743847284,0.17814247181835652,0.03932471543146458,0.12036255379274369,0.01554039661943143,0.12030562567765204,0.015604874575639225,18.3125,0.6020797289396148,30.5625,1.5041608956491324,17.0625,1.4818344486930155,17.1875,1.6007810593582121,0.0,0.0,,
response,0,16,0.3852307832490135,0.06168157508680139,0.38400451239075484,0.059266560131620176,0.17666851260450336,0.010655059708545894,16.0,0.0,16.0,0.0,0.0,0.0,0.3852307832490135,0.06168157508680139,0.3852307832490135,0.06168157508680139,0.38400451239075484,0.059266560131620176,0.38400451239075484,0.059266560131620176,0.17666851260450336,0.010655059708545894,0.17666851260450336,0.010655059708545894,18.3125,0.6020797289396148,30.5625,1.5041608956491324,16.0,0.0,16.0,0.0,0.0,0.0,,
response,1,16,0.2830796055667253,0.052522582619242975,0.24664806648366225,0.04029538785881577,0.14172000976937887,0.012153173901134259,20.1875,1.6007810593582121,20.1875,1.6007810593582121,1.0,0.0,0.28664306257837596,0.04929371052285248,0.2830796055667253,0.052522582619242975,0.25088020836530156,0.03759826446646932,0.24664806648366225,0.04029538785881577,0.1429938403956116,0.01118209338401942,0.14172000976937887,0.012153173901134259,18.3125,0.6020797289396148,30.5625,1.5041608956491324,18.3125,0.6020797289396148,20.1875,1.6007810593582121,0.0,0.0,,
response,2,16,0.20310160617643874,0.04403692836132101,0.13258964345850383,0.02079030232644639,0.10401241189606136,0.009540910515191266,26.6875,1.8518009252256753,26.6875,1.8518009252256753,2.0,0.0,0.2201768736336015,0.042982644898851174,0.20310160617643874,0.04403692836132101,0.1513515916480875,0.017355161764381954,0.13258964345850383,0.02079030232644639,0.11132710907982915,0.008835941826753147,0.10401241189606136,0.009540910515191266,18.3125,0.6020797289396148,30.5625,1.5041608956491324,18.3125,0.6020797289396148,26.6875,1.8518009252256753,0.0,0.0,,
response,3,16,0.17959990611007387,0.04443543869471126,0.09504579836578307,0.019738321866615845,0.08791135116246754,0.010305456174874097,29.8125,1.8337120820892248,29.8125,1.8337120820892248,3.0,0.0,0.20169046629767837,0.042368432911012575,0.17963621202081465,0.044404549414818015,0.1179255183263326,0.01650099761110242,0.09505501910291253,0.019732085934840035,0.09822755240040441,0.009024366858703226,0.08791603264098947,0.010301600108834798,18.3125,0.6020797289396148,30.5625,1.5041608956491324,18.3125,0.6020797289396148,29.625,1.707825127659933,0.0,0.0,,
response,4,16,0.1695945715902481,0.044255326906077516,0.08092654481042186,0.01926006552769161,0.08101665972458101,0.011215494470547155,31.125,1.857417562100671,31.125,1.857417562100671,4.0,0.0,0.19162213971407946,0.041815655310577834,0.16965780011349282,0.044167039191668214,0.10522959125013118,0.01694178718318306,0.0809732503558834,0.019230446455396327,0.09276538694320671,0.009956529131812763,0.08104199804663162,0.011194988730505711,18.3125,0.6020797289396148,30.5625,1.5041608956491324,18.3125,0.6020797289396148,30.1875,1.558578412100805,0.0625,0.25,24.0,0.0
response,5,16,0.1436985124488594,0.04294186348768091,0.035624860706549265,0.01481139813136129,0.05293607145674391,0.011770589128340505,35.875,2.1252450839060106,35.875,2.1252450839060106,5.0,0.0,0.17379647410179674,0.043488693227867685,0.1443124111139175,0.04297066538158549,0.06830552100846302,0.012370041490715565,0.03593450078411402,0.014707245814351512,0.0746973215702026,0.008493819376675867,0.05320215915442427,0.011628669943691994,18.3125,0.6020797289396148,30.5625,1.5041608956491324,18.3125,0.6020797289396148,30.5625,1.5041608956491324,0.875,0.3415650255319866,20.642857142857142,2.060886398434602
response,6,16,0.13375835190155794,0.0446690810809846,0.02469525646980169,0.008316421978285297,0.04446676600087265,0.008446767632755689,37.625,1.707825127659933,37.625,1.707825127659933,6.0,0.0,0.16509933888134748,0.04409361891370113,0.13459675083211237,0.04467155490338105,0.06010382461805256,0.007536901229424672,0.02512584515840581,0.00822925974620798,0.07023377516642873,0.0069813852395173995,0.04488358541526013,0.008278374539577029,18.3125,0.6020797289396148,30.5625,1.5041608956491324,18.3125,0.6020797289396148,30.5625,1.5041608956491324,1.0,0.0,19.625,0.5
response,7,16,0.13152761921086384,0.045376420431760496,0.02180712623893825,0.007875766086211365,0.04174725630800542,0.008495515077783755,38.375,1.927865832122834,38.375,1.927865832122834,7.0,0.0,0.1639618001410074,0.04486734406970334,0.13248550814249935,0.045343550941446514,0.05779806308176819,0.008004778898841422,0.02228016159087136,0.007762864608342578,0.06885665036560806,0.007349121334885071,0.04223727095899074,0.008283439379856261,18.3125,0.6020797289396148,30.5625,1.5041608956491324,18.3125,0.6020797289396148,30.5625,1.5041608956491324,1.0,0.0,19.5,0.7302967433402214
response,8,16,0.130300754637935,0.04561056229785677,0.02056095047976201,0.008645396360479283,0.04027441540764432,0.009292227704950915,38.8125,2.0726392192886185,38.8125,2.0726392192886185,8.0,0.0,0.1629578094213045,0.044911281148284396,0.1313205690665911,0.045667577900063254,0.05690236340310454,0.00800794750216724,0.021061290905373342,0.008530142023885023,0.06830580938364622,0.007160714378732517,0.04082034567519135,0.00904738137971597,18.3125,0.6020797289396148,30.5625,1.5041608956491324,18.3125,0.6020797289396148,30.5625,1.5041608956491324,1.0,0.0,19.3125,0.6020797289396148
