checkpoint,ell,n,candidate_rank_mean,candidate_rank_std,d_x_mean,d_x_std,ell_mean,ell_std,entropy_rank_mean,entropy_rank_std,gamma_mean,gamma_std,min_explainable_frac_mean,min_explainable_frac_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,participation_rank_mean,participation_rank_std,s_mean,s_std,val_capture_mean,val_capture_std,val_explainable_frac_mean,val_explainable_frac_std,val_full_resid_ratio_mean,val_full_resid_ratio_std,val_resid_ratio_mean,val_resid_ratio_std,val_total_norm_mean,val_total_norm_std
dx15,1.0,4,32.25,7.88986691902975,15.0,0.0,1.0,0.0,3.6489661540412097,1.480413728909215,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,2.818524182048998,1.1699871552028291,6.75,0.9574271077563381,0.9821647524473158,0.013026374903191265,0.9999894536771599,1.557027491321697e-05,0.002194299943105675,0.0027643855495152725,0.11808768088336874,0.07211932050255285,1549.6510665022477,590.5539111168678
dx15,2.0,4,25.25,0.5,15.0,0.0,2.0,0.0,11.588316403087308,1.0703882224681038,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,7.728550545187919,0.8696676643336766,20.25,0.9574271077563381,0.9574110188388576,0.005218004915691666,0.9999999999999809,6.172480581730983e-15,5.615549734545512e-12,8.350334710368985e-13,0.20606701283630613,0.012928902085120425,7.448508343299335,1.1549988236086661
dx15,3.0,4,3.25,0.9574271077563381,15.0,0.0,3.0,0.0,3.132911804191396,0.8726124884580655,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,3.023997621117836,0.7969915590114602,3.25,0.9574271077563381,0.9999999999986252,7.328637015326769e-13,0.9999999999986252,7.328637015326769e-13,3.2991885436590564e-11,6.5862532242836474e-12,3.2991885436590564e-11,6.5862532242836474e-12,0.9344748578839973,0.2737387232314434
dx15,4.0,4,8.5,1.7320508075688772,15.0,0.0,4.0,0.0,2.4463351943459006,0.1195047908497534,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,1.6282831071202715,0.054464343682532036,5.0,0.816496580927726,0.9579572149015323,0.004974191996540617,0.9999999999999727,1.010851814705841e-14,2.9999507260104803e-12,7.295294354037385e-13,0.20478709599638686,0.01183387295335603,6.318020574652611,1.2201053228107412
dx15,5.0,4,32.0,0.0,15.0,0.0,5.0,0.0,6.375888848615294,0.8723137734254056,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,2.82161785808826,0.350450589636743,25.25,2.362907813126304,0.9553419416503359,0.004797016301132969,0.9999999999999813,6.842973790381891e-15,1.5344346022419884e-12,5.307787423354998e-13,0.21109554135920736,0.01135668777468178,7.628580378588476,1.4263284612977098
dx15,6.0,4,32.0,0.0,15.0,0.0,6.0,0.0,7.553620191082639,0.9635207090631488,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,3.387141438048313,0.4993667998517581,26.75,1.8929694486000912,0.9587279604090195,0.005204756847299579,0.9999999999999827,6.171482040823094e-15,1.4286536018721735e-12,4.683442289362506e-13,0.20286405182376355,0.01255473714624433,7.853978405279565,1.4108474874578785
dx15,7.0,4,32.0,0.0,15.0,0.0,7.0,0.0,9.959258530769825,1.0643472814785775,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,4.883734551659189,0.9654970041395153,28.0,0.816496580927726,0.9572131746087031,0.003768105710209565,0.9999999999999822,5.872999348772239e-15,1.4453175207410954e-12,4.923897564838429e-13,0.2067053190270106,0.008924608467288772,7.716367510290111,1.2787452483388684
dx15,8.0,4,32.75,0.5,15.0,0.0,8.0,0.0,3.208557034645172,4.006977084376361,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,1.8233272853331435,1.5335232073351397,7.75,13.5,0.9704613489771329,0.010962789177292341,0.9999999999999967,5.759265219992454e-15,6.659943757852173e-13,9.317516807456083e-13,0.16938465813448167,0.033615246769457416,38.92293083562639,24.394663758826308
dx3,0.0,4,5.25,2.217355782608345,3.0,0.0,0.0,0.0,2.10214045741734,0.5361054182359253,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,1.8277360364321484,0.6433719668875747,2.75,0.5,0.9906820402114594,0.01863494598583079,0.9999883076505636,8.437787671472166e-06,0.003165659931944503,0.0014926248163068343,0.0504260752190165,0.09512585558917899,3398.598044367146,2493.824604869343
dx3,1.0,4,37.0,14.0,3.0,0.0,1.0,0.0,6.14895991657854,3.4395716724986856,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,4.177679457029554,2.1367951967932792,28.5,18.556220879622373,0.9675573852991902,0.021313578611011873,0.999903429440173,0.00019314111962392966,0.004913516069384212,0.009827032081739729,0.16358003071796112,0.08779291057631401,62.45358096892213,107.87880330679823
dx3,2.0,4,24.75,22.954665466232928,3.0,0.0,2.0,0.0,3.929421557125223,0.7648493462193228,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,2.091384908587651,1.4326705485356923,11.5,16.583123951777,0.7386949856440236,0.4929244740941542,0.749999999999672,0.4999999999997814,1.0358502904828437e-10,1.167022230517436e-10,0.053162520630523596,0.10632504098820564,2.9643563574227656,4.215245472114089
dx3,3.0,4,13.75,22.23173407541571,3.0,0.0,3.0,0.0,2.987087318816318,1.8753824732718478,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,1.6428197152311035,1.660094700485055,2.0,2.160246899469287,0.7499999999991123,0.4999999999994082,0.7499999999991123,0.4999999999994082,1.5969415169376503e-10,2.0533238428368142e-10,1.5969415169376503e-10,2.0533238428368142e-10,0.8576221348780599,0.7215854656016081
dx3,4.0,4,2.0,0.816496580927726,3.0,0.0,4.0,0.0,1.4596829899352939,0.7506922232777862,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,1.3609986918568096,0.6357025059911908,2.0,0.816496580927726,0.9999999999989582,6.97742358124759e-13,0.9999999999989582,6.97742358124759e-13,2.7978340053618708e-11,1.341524595409575e-11,2.7978340053618708e-11,1.341524595409575e-11,1.1031461421268238,0.34644631058910125
dx3,5.0,4,34.0,22.045407685048602,3.0,0.0,5.0,0.0,3.7886094296231745,2.025974253547955,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,1.5340954813356307,1.318805874687019,14.5,16.217274740226856,0.7259746729236064,0.4845141370118182,0.7499999999998992,0.49999999999993283,1.3116196983940295e-12,1.294246346535564e-12,0.10959150782781638,0.12657028871115336,6.389452745667283,6.530357258817158
dx3,6.0,4,43.75,0.5,3.0,0.0,6.0,0.0,4.013406536298208,1.0736035952635534,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,2.1517102587248544,0.4749423476920505,30.5,3.696845502136472,0.9524265649673191,0.001643859084924435,0.9996399223208788,0.0007201553582281695,0.009487856438096742,0.018975712874593525,0.2188871794830672,0.0027023332166198288,12.03053255794438,1.1112085979893336
dx3,7.0,4,44.0,0.0,3.0,0.0,7.0,0.0,6.647135415988662,1.5727489469958902,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,3.6665430994485173,1.0033078494445022,37.0,2.160246899469287,0.9512024548210462,0.0012134168227324927,0.9999999999999901,1.3955287025942437e-15,1.0919388178036824e-12,1.4468052880605815e-13,0.22088885681941972,0.002746661477444814,10.037538433560199,0.7657497615599862
dx3,8.0,4,44.0,0.0,3.0,0.0,8.0,0.0,6.418013071065019,1.5463552286382243,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,3.464303813006286,0.9113082269150201,37.0,2.160246899469287,0.9538296397965513,0.003344568259379855,0.9999999999999911,1.407256040722008e-15,1.111685390443795e-12,3.306242055189998e-13,0.2147650488274127,0.007859941102304558,10.652162095289196,0.8757588315519387
dx5,0.0,4,5.25,0.5,5.0,0.0,0.0,0.0,3.039936225819903,0.19327080697692267,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,2.4020735378039406,0.15610131694733007,4.75,0.5,0.9935041844299289,0.012991631140142179,0.9999965220598359,4.036068706725079e-06,0.0016657474265736093,0.0009683151519240158,0.041201527502158004,0.08001388270726267,5021.377604944497,2264.3247725917945
dx5,1.0,4,35.75,12.5,5.0,0.0,1.0,0.0,3.6303512778734452,1.9810678171620604,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,2.1456427607003805,0.9876405074899662,20.75,13.225606476327151,0.963874597647205,0.023735682464068496,0.9999407885356227,0.0001184229287408689,0.0038474493083458616,0.007694898586454124,0.1712641467361984,0.09559061161647124,63.57728883335935,102.9623180618544
