selection_rank,bank_index,name,replicate,state_idx,basis_layer,n_ctx,n_tgt,r_T,rank_Q,candidate_dim,rank_to_alpha,best_rank,rho_TQ,best_rho,reach_alpha,krr_mse,base_mse,mse,mse_ratio,mse_repair_factor,point_err,point_drift,E_F_T,E_F_TQ,damage_vs_base
34,18,keep_Q,keep_Q,1,8,47,40,0,0,30,0,30,0.038618137751083574,0.009801789878180565,1.0,0.0012247472525238,40364.86595100388,0.001612808853734609,1.3168503545618429,25027681.276386395,0.9812972918882165,0.9999783743800593,1.2523785619608743,1.5073712435621809,836752.3679313846
34,18,remove_Q,remove_Q,1,8,47,40,0,0,30,0,30,0.038618137751083574,0.009801789878180565,1.0,0.0012247472525238,40364.86595100388,40364.86595100388,32957710.962670222,1.0,20174.64684168045,0.0,836752.4752836068,836752.5294916629,0.0
34,18,zero_context,zero_context,1,8,47,40,0,0,30,0,30,0.038618137751083574,0.009801789878180565,1.0,0.0012247472525238,40364.86595100388,0.001612808853734609,1.3168503545618429,25027681.276386395,0.9812972918882165,0.9999783743800593,,,
34,18,keep_response_svd,keep_response_svd,1,8,47,40,0,0,30,0,30,0.038618137751083574,0.009801789878180565,1.0,0.0012247472525238,40364.86595100388,0.001612808853734609,1.3168503545618429,25027681.276386395,0.9812972918882165,0.9999783743800593,,,
34,18,keep_krr_oracle,keep_krr_oracle,1,8,47,40,0,0,30,0,30,0.038618137751083574,0.009801789878180565,1.0,0.0012247472525238,40364.86595100388,0.001612808853734609,1.3168503545618429,25027681.276386395,0.9812972918882165,0.9999783743800593,,,
34,18,keep_random_A,keep_random_A_00,1,8,47,40,0,0,30,0,30,0.038618137751083574,0.009801789878180565,1.0,0.0012247472525238,40364.86595100388,0.001612808853734609,1.3168503545618429,25027681.276386395,0.9812972918882165,0.9999783743800593,,,
34,18,keep_random_A,keep_random_A_01,1,8,47,40,0,0,30,0,30,0.038618137751083574,0.009801789878180565,1.0,0.0012247472525238,40364.86595100388,0.001612808853734609,1.3168503545618429,25027681.276386395,0.9812972918882165,0.9999783743800593,,,
34,18,keep_random_A,keep_random_A_02,1,8,47,40,0,0,30,0,30,0.038618137751083574,0.009801789878180565,1.0,0.0012247472525238,40364.86595100388,0.001612808853734609,1.3168503545618429,25027681.276386395,0.9812972918882165,0.9999783743800593,,,
34,18,keep_random_A,keep_random_A_03,1,8,47,40,0,0,30,0,30,0.038618137751083574,0.009801789878180565,1.0,0.0012247472525238,40364.86595100388,0.001612808853734609,1.3168503545618429,25027681.276386395,0.9812972918882165,0.9999783743800593,,,
34,18,keep_random_A,keep_random_A_04,1,8,47,40,0,0,30,0,30,0.038618137751083574,0.009801789878180565,1.0,0.0012247472525238,40364.86595100388,0.001612808853734609,1.3168503545618429,25027681.276386395,0.9812972918882165,0.9999783743800593,,,
35,3,base,base,1,8,47,40,5,24,24,,24,0.09115316229661362,0.09115316229661362,0.0,0.007514747198796551,209280.7234368074,209280.7234368074,27849336.498015884,1.0,8759.195732907609,0.0,11351.078658969944,11351.100958352403,0.0
