bank_index,base_mse,krr_mse,base_mse_ratio,sampling_mode,profile,tau_actual,log10_lambda1,lambda1,gamma,n_ctx_actual,n_tgt_actual
72,0.1639689164096123,0.07962333732140126,2.05930725746584,train_distribution,minimal_smooth,14.855528831481934,1.9389424324035645,86.8845252487846,4,59,8
73,0.06266655430883453,0.05913478186751972,1.0597241137918978,train_distribution,minimal_step,5.304497718811035,0.12341189384460449,1.3286539831984836,8,42,8
74,0.7332289496679201,0.6341287580693673,1.1562777122745034,train_distribution,minimal_smooth,4.329139232635498,-1.4175150394439697,0.03823710120738333,4,17,8
75,0.07690089364535908,0.08007921263945628,0.9603103116359665,train_distribution,minimal_step,0.6640298962593079,-1.8364050388336182,0.014574543512728856,8,5,8
76,0.47539567811133887,0.376104109874702,1.2640002212943526,train_distribution,minimal_smooth,12.65420150756836,-0.31343865394592285,0.4859161639394774,4,51,8
77,0.3046215536533198,0.39802859252715583,0.7653258066693707,train_distribution,minimal_step,4.164294242858887,-0.48757195472717285,0.3254078648439806,8,33,8
78,0.14408801512445213,0.1274286835432913,1.1307345498511814,train_distribution,minimal_smooth,1.6530177593231201,-1.8057572841644287,0.015640214891675292,12,20,8
79,0.06164451842431907,0.07943560711744901,0.7760313121693015,train_distribution,minimal_smooth,10.86543083190918,-1.3623414039611816,0.043416878483518176,8,87,8
80,0.13553289245963818,0.05022038351264288,2.6987625935894743,train_distribution,minimal_smooth,10.863616943359375,1.0653791427612305,11.624630110420895,4,43,8
81,0.16310361635815043,0.17739623018903972,0.9194311298743013,train_distribution,minimal_smooth,4.459293842315674,-1.3926379680633545,0.04049132905495849,4,18,8
82,0.39144537763723974,0.40587453278810415,0.964449222640935,train_distribution,minimal_step,9.160883903503418,1.8706610202789307,74.24394157017659,4,37,8
83,0.012823835232271819,0.010952318057523105,1.1708786363689625,train_distribution,minimal_smooth,14.58012580871582,1.08339262008667,12.116930589441878,12,175,8
84,0.07214241093874618,0.0915182780723802,0.7882841816766921,train_distribution,minimal_step,3.982874631881714,0.10241484642028809,1.2659450250761064,8,32,8
85,0.45229093273150234,0.41168653654078835,1.0986294002516914,train_distribution,minimal_step,7.812765121459961,1.545365810394287,35.104744007105715,4,31,8
86,0.13350318788612744,0.12920526161765275,1.0332643285162273,train_distribution,minimal_step,0.8995721340179443,-1.95603609085083,0.011065318248667117,12,11,8
87,1.5089063021433233,0.04304627824963622,35.053118724754675,train_distribution,minimal_step,13.089276313781738,1.712723731994629,51.60879654868885,4,52,8
88,0.762039466294585,0.22089951080765532,3.449710972688022,train_distribution,minimal_step,12.004463195800781,1.0559720993041992,11.375542027551123,4,48,8
89,0.45614102854489325,0.056057024224831525,8.137089594970632,train_distribution,minimal_step,13.353629112243652,0.8582267761230469,7.214841191541742,12,160,8
90,0.09204498714570167,0.09352759716834048,0.9841478871741967,train_distribution,minimal_step,4.032193660736084,0.028981447219848633,1.0690092108632154,4,16,8
91,0.056483685531287464,0.05646064612738075,1.0004080612867012,train_distribution,minimal_smooth,10.525616645812988,0.36255335807800293,2.304376077800384,8,84,8
92,0.34075582566422213,0.046633595046959256,7.307088919931793,train_distribution,minimal_step,10.870834350585938,1.897071123123169,78.89893174865476,8,87,8
93,0.25213452324329055,0.2139211784114346,1.1786328268927175,train_distribution,minimal_step,9.888907432556152,-0.33945465087890625,0.4576625216080522,8,79,8
94,0.3518702508176178,0.2859469626828055,1.2305437606901233,train_distribution,minimal_smooth,7.844873905181885,-1.285862684249878,0.05177705153748883,4,31,8
95,0.005221440447267585,0.018678696695614623,0.2795398700645679,train_distribution,minimal_smooth,12.947025299072266,0.40001344680786133,2.5119642067946306,12,155,8
96,0.3244652575042992,0.051671027441356196,6.279442727794597,train_distribution,minimal_step,12.95390510559082,1.273350715637207,18.76509276299046,8,104,8
