selection_rank,bank_index,name,replicate,state_idx,basis_layer,sampling_mode,profile,tau_actual,log10_lambda1,gamma,n_ctx,n_tgt,r_T,rank_Q,candidate_dim,rank_to_alpha,best_rank,rho_TQ,best_rho,reach_alpha,krr_mse,base_mse,mse,mse_ratio,mse_repair_factor,point_err,point_drift,E_F_T,E_F_TQ,damage_vs_base
3,87,keep_random_A,keep_random_A_00,1,8,train_distribution,minimal_step,13.089276313781738,1.712723731994629,4,52,8,8,16,16,,16,0.05431196078816927,0.05431196078816927,0.0,0.04304627824963622,1.5089063021433233,1.612783377604048e+16,3.746626754236709e+17,9.355914272783214e-17,5848948.602130724,6037455.492553799,,,
3,87,keep_random_A,keep_random_A_01,1,8,train_distribution,minimal_step,13.089276313781738,1.712723731994629,4,52,8,8,16,16,,16,0.05431196078816927,0.05431196078816927,0.0,0.04304627824963622,1.5089063021433233,1858218041337221.0,4.316791408913323e+16,8.120178948738846e-16,1985354.769148835,2049341.1868185936,,,
3,87,keep_random_A,keep_random_A_02,1,8,train_distribution,minimal_step,13.089276313781738,1.712723731994629,4,52,8,8,16,16,,16,0.05431196078816927,0.05431196078816927,0.0,0.04304627824963622,1.5089063021433233,58690354978.961075,1363424606387.593,2.5709612809195412e-11,11157.66038077411,11517.271534121768,,,
3,87,keep_random_A,keep_random_A_03,1,8,train_distribution,minimal_step,13.089276313781738,1.712723731994629,4,52,8,8,16,16,,16,0.05431196078816927,0.05431196078816927,0.0,0.04304627824963622,1.5089063021433233,91618596462.4838,2128374395834.2798,1.6469432630537994e-11,13940.602358061993,14389.890088013219,,,
3,87,keep_random_A,keep_random_A_04,1,8,train_distribution,minimal_step,13.089276313781738,1.712723731994629,4,52,8,8,16,16,,16,0.05431196078816927,0.05431196078816927,0.0,0.04304627824963622,1.5089063021433233,2.0827813127040744e+16,4.838470124235829e+17,7.244669869753684e-17,6646784.858680415,6861005.365747527,,,
4,159,base,base,1,8,train_distribution,minimal_smooth,14.485552787780762,1.5232555866241455,8,116,8,8,8,32,,8,0.30488990865654175,0.30488990865654175,0.0,0.011493298160200081,0.1770189075560964,0.1770189075560964,15.401924242171992,1.0,0.02623288667673452,0.0,0.027892713245247194,0.026206026201425748,0.0
4,159,keep_Q,keep_Q,1,8,train_distribution,minimal_smooth,14.485552787780762,1.5232555866241455,8,116,8,8,8,32,,8,0.30488990865654175,0.30488990865654175,0.0,0.011493298160200081,0.1770189075560964,3656990300511043.0,3.181845845759717e+17,4.840562676126295e-17,4055803.618412705,4137778.2717818627,18320343.478203606,18320343.481009353,18320343.480614956
4,159,remove_Q,remove_Q,1,8,train_distribution,minimal_smooth,14.485552787780762,1.5232555866241455,8,116,8,8,8,32,,8,0.30488990865654175,0.30488990865654175,0.0,0.011493298160200081,0.1770189075560964,297648158524903.9,2.589754084303006e+16,5.947253577289826e-16,1157088.6026473627,1180475.3334533744,49649093.01137083,49649093.01227267,49649093.008968525
4,159,zero_context,zero_context,1,8,train_distribution,minimal_smooth,14.485552787780762,1.5232555866241455,8,116,8,8,8,32,,8,0.30488990865654175,0.30488990865654175,0.0,0.011493298160200081,0.1770189075560964,160.00715952429744,13921.7792224675,0.0011063186677544618,0.8463658641103429,0.8438158148305469,,,
4,159,keep_response_svd,keep_response_svd,1,8,train_distribution,minimal_smooth,14.485552787780762,1.5232555866241455,8,116,8,8,8,32,,8,0.30488990865654175,0.30488990865654175,0.0,0.011493298160200081,0.1770189075560964,3.579628928999597,311.4535861773276,0.049451747951307364,0.12750371598431082,0.1444669268943962,,,
