basis,layer,n,best_model_excess_mean,best_model_excess_std,best_op_excess_mean,best_op_excess_std,best_op_signal_error_mean,best_op_signal_error_std,best_rank_mean,best_rank_std,candidate_dim_mean,candidate_dim_std,layer_mean,layer_std,model_excess_at_oracle_mean,model_excess_at_oracle_std,model_excess_at_strict_mean,model_excess_at_strict_std,op_excess_at_oracle_mean,op_excess_at_oracle_std,op_excess_at_strict_mean,op_excess_at_strict_std,op_signal_error_at_oracle_mean,op_signal_error_at_oracle_std,op_signal_error_at_strict_mean,op_signal_error_at_strict_std,r_eff_T_task_mean,r_eff_T_task_std,r_eff_T_task_strict_mean,r_eff_T_task_strict_std,rank_at_oracle_mean,rank_at_oracle_std,rank_at_strict_mean,rank_at_strict_std,rank_to_alpha_mean,rank_to_alpha_std,reach_alpha_mean,reach_alpha_std
raw,5,16,0.09454124350032488,0.08079678654214402,8.11835237690827e-06,3.0448802600344482e-06,6.35410231855993e-05,1.789486227003508e-05,12.9375,6.444312738117748,21.4375,1.0935416468216166,5.0,0.0,0.09454124350033359,0.08079678654214463,0.09454124350033359,0.08079678654214463,8.118352376908342e-06,3.044880260034447e-06,8.118352376908342e-06,3.044880260034447e-06,6.354102318559958e-05,1.7894862270035042e-05,6.354102318559958e-05,1.7894862270035042e-05,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
raw,6,16,0.09454900062143712,0.08093535077092798,8.056408749371697e-06,4.28862908183329e-06,6.036930085666693e-05,1.5043547098882585e-05,10.875,5.737304826019502,22.375,1.1474609652039003,6.0,0.0,0.0945490006214611,0.0809353507709555,0.0945490006214611,0.0809353507709555,8.056408749371775e-06,4.288629081833312e-06,8.056408749371775e-06,4.288629081833312e-06,6.036930085666724e-05,1.5043547098882566e-05,6.036930085666724e-05,1.5043547098882566e-05,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
raw,7,16,0.09457952776740894,0.08101216762023959,4.84325026419741e-06,2.7156230025580495e-06,4.7849770902485045e-05,1.4397236955853769e-05,15.6875,8.308379304453226,24.0,1.0327955589886444,7.0,0.0,0.09457952776742692,0.08101216762028256,0.09457952776742692,0.08101216762028256,4.8432502641974695e-06,2.7156230025580855e-06,4.8432502641974695e-06,2.7156230025580855e-06,4.78497709024853e-05,1.4397236955853713e-05,4.78497709024853e-05,1.4397236955853713e-05,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
raw,8,16,0.09454308617023184,0.08096904595179621,7.941386578848865e-06,7.430176749473095e-06,5.8051441815463e-05,2.1948987582519466e-05,14.8125,6.209871174187111,23.625,1.1474609652039003,8.0,0.0,0.0945430861702534,0.08096904595179467,0.0945430861702534,0.08096904595179467,7.941386578848945e-06,7.430176749473168e-06,7.941386578848945e-06,7.430176749473168e-06,5.805144181546333e-05,2.194898758251957e-05,5.805144181546333e-05,2.194898758251957e-05,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
response,0,16,0.09708454486833358,0.079802414286966,0.001797256399854952,0.0014101923715815097,0.0010097694521710335,0.000681046598655148,8.375,3.630886025935451,15.9375,0.25,0.0,0.0,0.09708454486834575,0.07980241428697735,0.09708454486834575,0.07980241428697735,0.001797256399854964,0.0014101923715815244,0.001797256399854964,0.0014101923715815244,0.0010097694521710365,0.00068104659865515,0.0010097694521710365,0.00068104659865515,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
response,1,16,0.09639107916546669,0.08014954282142431,0.0009554754029068829,0.0005461394164467829,0.0007337050751278589,0.0004148793333820005,21.125,7.182153808805081,31.0,2.581988897471611,1.0,0.0,0.09639107916550915,0.08014954282146668,0.09639107916550915,0.08014954282146668,0.0009554754029068879,0.0005461394164467841,0.0009554754029068879,0.0005461394164467841,0.0007337050751278607,0.00041487933338200044,0.0007337050751278607,0.00041487933338200044,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
response,2,16,0.09626083944147873,0.08027745324643043,0.000706129894739307,0.0006073984791318144,0.000616099008350892,0.00041567061821054383,20.0625,10.32452581639144,36.0625,1.4818344486930155,2.0,0.0,0.09626083944150926,0.08027745324651284,0.09626083944150926,0.08027745324651284,0.0007061298947393102,0.0006073984791318168,0.0007061298947393102,0.0006073984791318168,0.0006160990083508933,0.0004156706182105443,0.0006160990083508933,0.0004156706182105443,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
response,3,16,0.0946174278506147,0.08121096439174447,2.567263659209955e-05,2.1141040678610016e-05,0.00011425582929227725,7.397080061412979e-05,14.3125,11.791062999859964,42.0625,1.691892431568863,3.0,0.0,0.09461742785063247,0.08121096439177737,0.09461742785063247,0.08121096439177737,2.5672636592099683e-05,2.1141040678610047e-05,2.5672636592099683e-05,2.1141040678610047e-05,0.0001142558292922775,7.397080061412981e-05,0.0001142558292922775,7.397080061412981e-05,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
response,4,16,0.09472023409309627,0.08125855158821015,1.4256094555235236e-06,1.8499333640671616e-06,1.811750506277536e-05,1.3529004036458554e-05,34.1875,10.802584567284505,45.3125,1.352466881911223,4.0,0.0,0.09472023409315264,0.08125855158832049,0.09472023409315264,0.08125855158832049,1.4256094555235448e-06,1.8499333640671868e-06,1.4256094555235448e-06,1.8499333640671868e-06,1.811750506315275e-05,1.3529004035919773e-05,1.811750506315275e-05,1.3529004035919773e-05,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
response,5,16,0.09469921778615938,0.08120214977603414,4.995115478973248e-07,1.3140025217855625e-06,6.523720749479461e-06,1.0015038715733801e-05,38.875,11.068724708233857,46.1875,1.1086778913041726,5.0,0.0,0.0946992177862095,0.08120214977608789,0.0946992177862095,0.08120214977608789,4.995115478973335e-07,1.3140025217855788e-06,4.995115478973335e-07,1.3140025217855788e-06,6.523720750400105e-06,1.0015038715094239e-05,6.523720750400105e-06,1.0015038715094239e-05,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
response,6,16,0.09469345552133432,0.0811922814948938,3.3802054955277644e-07,9.09795209820705e-07,4.149344676541567e-06,8.368414021827278e-06,37.875,15.679604586851035,46.5,0.9660917830792959,6.0,0.0,0.09469345552135272,0.08119228149489091,0.09469345552135272,0.08119228149489091,3.380205495527808e-07,9.097952098207124e-07,3.380205495527808e-07,9.097952098207124e-07,4.1493446780850445e-06,8.368414021011014e-06,4.1493446780850445e-06,8.368414021011014e-06,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
response,7,16,0.09469441617940758,0.0812272488392705,8.084032384952675e-08,2.9934312189970545e-07,1.3092967271100374e-06,4.256217632503694e-06,40.875,13.331041469692707,46.875,0.3415650255319866,7.0,0.0,0.09469441617944692,0.08122724883930699,0.09469441617944692,0.08122724883930699,8.084032384952842e-08,2.993431218997109e-07,8.084032384952842e-08,2.993431218997109e-07,1.3092967289387563e-06,4.256217631903686e-06,1.3092967289387563e-06,4.256217631903686e-06,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
response,8,16,0.09468207610841826,0.08119812143583731,1.569702903120505e-07,4.498882280999428e-07,2.4721106134049634e-06,5.613314597859696e-06,41.875,9.528028827272372,46.8125,0.4031128874149275,8.0,0.0,0.09468207610847358,0.08119812143588985,0.09468207610847358,0.08119812143588985,1.5697029031205194e-07,4.498882280999451e-07,1.5697029031205194e-07,4.498882280999451e-07,2.4721106150989543e-06,5.61331459706396e-06,2.4721106150989543e-06,5.61331459706396e-06,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
