exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,selection_mode,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,ell,s,hidden_s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json,causal_max_damage,causal_mean_damage,causal_min_kept_damage,causal_sum_kept_damage,causal_selected_indices_json,causal_damages_json
2b,dx3,model_dx3.pt,2,3,8,4,causal,0.95,0.001,8,0.05,0,3.0,0.0,14.0,16.0,4.324007857675886,7.402141799028557,7.255932546876561,0.7753282114904017,0.9607067464709883,0.5051108358487754,0.4739955574787378,"[2.9362959049513027, 1.7001007581936547, 1.33430045750539, 1.2053530837035582, 1.0540776107868222, 1.0337001973823214, 0.8970713005737582, 0.690108040728144]",0.022165685985105432,0.0026603645619509148,0.0,0.0,[],"[0.022165685985105432, 0.006642627961874055, 0.0007314458193209076, 0.001014592911015402, 0.0005305522222887542, 0.0009852938633078743, 0.0008319860723703928, 0.001170136464253121, 0.0006203019146213887, 0.00159349135799976, 0.001863431918372176, 0.0012284351641504974, 0.000828178788885227, 0.0009108961688021578, 0.0009234015835128182, 0.0005253747953346701]"
2b,dx3,model_dx3.pt,2,3,8,4,causal,0.95,0.001,8,0.05,0,4.0,0.0,14.0,16.0,5.266034299681228,8.977160626527086,7.7555446444950835,0.7688508813449451,0.95139248624449,0.5181901662960547,0.48077969867189513,"[3.1149036880996475, 1.8604714039563037, 1.401604110250009, 1.3277756710007917, 1.2499245682087121, 1.1694567350002036, 1.1175890954277672, 0.973207327202351]",0.012881795142651153,0.0017648677039686965,0.0,0.0,[],"[0.012881795142651153, 0.0037306613390787192, 0.0008661019501204746, 0.000378313557420392, 0.0009174973148507608, 0.0010709240282351458, 0.0005521067361637481, 0.0006014248140992994, 0.00098685576395608, 0.0007825705641859959, 0.0006625967039118322, 0.0008041430032249078, 0.0009101723119206529, 0.001084806630948833, 0.0011861840370122737, 0.0008217293657188734]"
2b,dx3,model_dx3.pt,2,3,8,4,causal,0.95,0.001,8,0.05,0,5.0,1.0,12.0,16.0,2.908769829715075,5.664674529561726,11.297528716557725,0.8827619431848643,0.9554780219256411,0.3956518225592742,0.3424004334330315,"[5.096236626318432, 2.4666930833399068, 1.478480510766281, 1.337502191742562, 1.2992554801233094, 1.2215031519273285, 1.1906097843346524, 1.0971768573518692]",0.07727239378936517,0.005537047430765155,0.07727239378936517,0.07727239378936517,[0],"[0.07727239378936517, 0.0014778722412598898, 0.0008655997749258421, 0.000373091089434145, 0.00048115020438677016, 0.0009482498445614736, 0.0005884903463140223, 0.00045582317106552725, 0.0007036488183247485, 0.0003441406320540066, 0.0008950090051541715, 0.0005536825500175085, 0.0004249204428908743, 0.0013500474661904474, 0.0009117682428928689, 0.0009468712734050394]"
2b,dx3,model_dx3.pt,2,3,8,4,causal,0.95,0.001,8,0.05,0,6.0,1.0,12.0,16.0,2.8766562281131565,5.588161458488087,11.74415562072216,0.8872813474611386,0.9594811607416217,0.3855778298003951,0.3357359863625794,"[5.20493485059974, 2.4894280391087173, 1.510867425689683, 1.3723871681392101, 1.315153752019253, 1.2331082031755736, 1.2209835425931674, 1.1097336313362933]",0.06128094276775741,0.00451083962287658,0.06128094276775741,0.06128094276775741,[0],"[0.06128094276775741, 0.0012842417166145062, 0.0010027181715373409, 0.00028278402929560827, 0.0004669012687110424, 0.00045672773324415846, 0.0007990783346179168, 0.00043743242048310425, 0.0009221572093072646, 0.0003743343399867683, 0.0009256343470615964, 0.0004821498015927624, 0.0005115701095046838, 0.0013100007270490602, 0.0007962758675761712, 0.0008404851216858968]"
2b,dx3,model_dx3.pt,2,3,8,4,causal,0.95,0.001,8,0.05,0,7.0,0.0,14.0,16.0,5.27798696057335,8.796125648879372,9.812318471041182,0.7843733627049928,0.9618144996037099,0.49555860061893575,0.4643561535018103,"[3.851120680805684, 2.4768023015331315, 1.7540023385087646, 1.6004397008540836, 1.5074538993544182, 1.42634323252206, 1.3001665433867655, 1.2382880059473134]",0.00452759465142522,0.000852820035130715,0.0,0.0,[],"[0.00452759465142522, 0.001263334215857385, 0.0005474692081747245, 0.00025124226875742614, 0.00028941685947817306, 0.00030479811884061975, 0.0002875482424700282, 0.0006997624510780696, 0.0009432349880554859, 0.00025992293139621373, 0.0008610508468469959, 0.00045618950562734513, 0.0004187762691341489, 0.001099366607370156, 0.0008724977968014027, 0.0005629156007780458]"
2b,dx3,model_dx3.pt,2,3,8,4,causal,0.95,0.001,8,0.05,0,8.0,0.0,14.0,16.0,5.218149340696564,8.837413288997519,10.67663223646895,0.7919652504890762,0.9621538322315946,0.48786022511336524,0.4561082651201521,"[4.163367577184511, 2.547424199492158, 1.9254307885207713, 1.727868535569189, 1.5959277971122035, 1.4916051646194024, 1.4307302295264595, 1.348085747979543]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2b,dx3,model_dx3.pt,3,3,8,4,causal,0.95,0.001,8,0.05,0,0.0,3.0,2.0,8.0,1.7843763819636487,2.0877434970913202,2142.3704577947437,0.9999865085736815,0.9586592798619229,0.20335597807567854,0.003673067698580474,"[984.6658617612179, 585.0968837765166, 253.5230911693616, 2.0876829166048902, 1.9774383213304383, 1.84371793983376, 1.636647009209259, 1.2845963080856253]",1.4034776485958647,0.4025586279640255,0.9048198278640449,3.2140474482442,"[0, 1, 2]","[0.9057499717842906, 1.4034776485958647, 0.9048198278640449, 0.0008068561798348506, 0.0022957074497338133, 0.0009662985840414882, 0.0008770435815824582, 0.0014756696728106767]"
2b,dx3,model_dx3.pt,3,3,8,4,causal,0.95,0.001,8,0.05,0,1.0,1.0,14.0,16.0,6.951778706554063,9.090718036928068,8.05441008323107,0.6687875895321516,0.9631096838259731,0.5965603038242863,0.5755105650358063,"[2.1673098535191686, 1.789240355061171, 1.4599940622737364, 1.3398419855985224, 1.2313117484716443, 1.1177923890632653, 1.0315672636694448, 0.8600384426163444]",0.0599367378818349,0.00928771206231776,0.0599367378818349,0.0599367378818349,[2],"[0.021491777009774966, 0.0319089293806548, 0.0599367378818349, 0.016611979683396012, 0.0009993974120666759, 0.0015090546882387324, 0.0020044666879589666, 0.001988481539523286, 0.0023677033922582733, 0.0025527635086946454, 0.0014212412925334224, 0.0013377815168731121, 0.0011753299824173115, 0.001738804641533631, 0.0010976615972032558, 0.00046128278212216297]"
2b,dx3,model_dx3.pt,3,3,8,4,causal,0.95,0.001,8,0.05,0,2.0,1.0,12.0,16.0,3.033589808839234,5.006015413186177,8.124964634511965,0.8358718068608786,0.9620465304021365,0.4425521758487888,0.40512737890582806,"[3.555536072394646, 1.975971892420864, 1.337604180551447, 1.178808559967726, 1.092585467391641, 0.8345996052484033, 0.8219958703257749, 0.6651058212325811]",0.11285804938092517,0.00834385764186219,0.11285804938092517,0.11285804938092517,[0],"[0.11285804938092517, 0.001628032800981537, 0.002333081556037448, 0.000764689140253382, 0.0007000793375940009, 0.0011352561569656257, 0.0022466695854111186, 0.0033803829478117197, 0.001216248585749609, 0.00161890803038299, 0.0006196363677280628, 0.0005444045449962811, 0.0009072945750138712, 0.0012909741644565327, 0.0007255288473698581, 0.0015324862481178477]"
2b,dx3,model_dx3.pt,3,3,8,4,causal,0.95,0.001,8,0.05,0,3.0,0.0,14.0,16.0,5.2205110520837295,7.388516526616464,5.8093988402358185,0.7050646975620061,0.9512884263568505,0.5738293416830588,0.5430794623606792,"[1.9634701110315145, 1.3207555519030978, 1.1582358419506502, 1.0799373106744725, 0.8357534013136189, 0.8209262794828682, 0.708314036854358, 0.6114287454271958]",0.0022786465602940725,0.0012870628776373008,0.0,0.0,[],"[0.0016476769173994976, 0.0022786465602940725, 0.0008054648312827059, 0.0006293381632517386, 0.0020514337835564416, 0.001451792938783576, 0.001992040491144332, 0.0019154157214311641, 0.0015010367683499718, 0.0007099108113267986, 0.0004323132837003519, 0.0006553302719853307, 0.0011221649862676786, 0.0011443500456127216, 0.001428626865826462, 0.0008274636019839688]"
