Experiment 3: Galerkin-Leverage Surgery

checkpoint=final/linear_baseline_dx5_L8.pt
episodes=32, n_causal=32, eps=0.001
layer_rule=sweep, k_remove_list=[1, 2, 4]

Final-layer or layer-sweep summary by control:
control                    k    state      drift        rho  task_damage   delta_task
random_Q                   1      7.0    0.00089      0.995      0.00120      0.00010
random_Q                   1      8.0    0.00000      1.000      0.00000      0.00000
random_Q                   2      0.0    0.87541    117.442      4.43640      4.42839
random_Q                   2      1.0    1.92218    345.214     50.53071     50.52263
random_Q                   2      2.0    1.29937    233.911      4.52786      4.51986
random_Q                   2      3.0    0.26533     37.326      0.40203      0.39446
random_Q                   2      4.0    0.05583      9.673      0.07001      0.06324
random_Q                   2      5.0    0.02728      4.717      0.03124      0.02534
random_Q                   2      6.0    0.01493      2.794      0.01733      0.01195
random_Q                   2      7.0    0.00304      1.180      0.00290      0.00066
random_Q                   2      8.0    0.00000      1.000      0.00000      0.00000
random_Q                   4      0.0    2.32793    283.948      9.82225      9.81341
random_Q                   4      1.0    6.94836   1177.607     26.40665     26.39806
random_Q                   4      2.0    1.42204    226.875      7.66925      7.66043
random_Q                   4      3.0    0.37542     51.528      0.69808      0.68960
random_Q                   4      4.0    0.09550     12.641      0.11167      0.10357
random_Q                   4      5.0    0.06987      9.834      0.08061      0.07305
random_Q                   4      6.0    0.03704      5.188      0.03491      0.02793
random_Q                   4      7.0    0.00682      1.438      0.00463      0.00156
random_Q                   4      8.0    0.00000      1.000      0.00000      0.00000
