exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,selection_mode,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,tau_sv,n_build,n_val,n_eval,B_nat,dim_R_nat,dim_over_nctx,dim_over_rT,r_eff_T_task,mean_s,mean_hidden_s,sum_candidate_rank,mean_candidate_rank,max_causal_damage,mean_causal_damage,sum_kept_causal_damage,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_val_closure,mean_val_closure,max_build_closure,mean_build_closure,max_val_refinement,mean_val_refinement,max_build_refinement,mean_build_refinement,s_list,candidate_ranks,mse_model,mse_krr,mse_ratio,E_pointwise_F_T
2a,L6,model_L6.pt,depth,6,5,128,6,4,2,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,41,5,0.10638297872340426,1.0,5,0.8571428571428571,10.571428571428571,101,14.428571428571429,0.8685396468428402,0.08747936373235424,3.195835373341834,0.009828326201615637,1.681921286236335e-13,0.009828326201612503,0.9999028820517876,1.0,0.02429095805017329,0.012750284465103305,0.023452517715038982,0.012285525289441561,0.9999920800822262,0.8570442447496994,0.9999928725673689,0.8570489965645941,"[5, 1, 0, 0, 0, 0, 0]","[5, 16, 16, 16, 16, 16, 16]",0.05288715857355886,0.05578010094088627,0.9481366595160298,0.006088216767307767
2a,L6,model_L6.pt,depth,6,5,128,6,4,3,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,41,5,0.10638297872340426,1.0,5,0.8571428571428571,12.142857142857142,103,14.714285714285714,0.5879388036910069,0.04799582742956299,2.479036313178896,0.010600034643475418,1.0964616979705147e-13,0.010600034643470497,0.9998878946228777,1.0,0.038356402437784466,0.01622504070323826,0.03929523383683396,0.016488605258984615,0.9999864779540318,0.8569831190339648,0.9999855603800879,0.8569729752628907,"[5, 1, 0, 0, 0, 0, 0]","[7, 16, 16, 16, 16, 16, 16]",0.007607210413055898,0.008067430911933958,0.9429532767120117,0.009850022806467297
2a,L8,model_L8.pt,anchor,8,5,128,8,4,0,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,60,5,0.10638297872340426,1.0,5,0.8888888888888888,6.777777777777778,133,14.777777777777779,130.36487798980522,5.111515874780358,230.78765112311598,0.014404520320653135,3.880612875740562e-13,0.014404520320725872,0.9997934615678389,1.0,0.02152581429171568,0.01245952695245062,0.025112692505112676,0.01451111982300516,0.9999956977496669,0.8887895579710698,0.9999950356943669,0.8887526420682028,"[5, 1, 0, 0, 0, 1, 1, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.014547939613817285,0.022149372238674005,0.6568104710622811,0.010009455311116357
2a,L8,model_L8.pt,anchor,8,5,128,8,4,1,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,60,5,0.10638297872340426,1.0,5,0.8888888888888888,9.333333333333334,133,14.777777777777779,44.13575227768213,1.339527920885082,61.08025544671306,0.006977584238891676,1.9894876978812186e-13,0.006977584238905783,0.9999510788195013,1.0,0.029843708174637794,0.017647576632182842,0.03232149436623202,0.0186719553360013,0.9999956498715173,0.8886871464688577,0.9999958948491401,0.888659207539853,"[5, 1, 0, 0, 0, 1, 1, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.02378264192409396,0.01659270551215232,1.433319111622623,0.017691815595380384
2a,L8,model_L8.pt,anchor,8,5,128,8,4,2,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,57,5,0.10638297872340426,1.0,5,0.7777777777777778,9.777777777777779,133,14.777777777777779,229.1530378012081,4.841119252591502,375.7650504831696,0.009643849374211115,3.4268575541556136e-13,0.009643849374327737,0.9999074109199887,1.0,0.02108757995823095,0.01246372840630876,0.021147740820754678,0.012593734182020028,0.9999980218873645,0.8887836823398569,0.9999977936096857,0.8887834274829232,"[5, 1, 0, 0, 0, 1, 0, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.024351062128681322,0.026505503524880486,0.9187172054974617,0.007383099672743627
2a,L8,model_L8.pt,anchor,8,5,128,8,4,3,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,57,5,0.10638297872340426,1.0,5,0.7777777777777778,7.222222222222222,133,14.777777777777779,63.57739800758713,1.8788301138184156,85.1640891485906,0.009997232146253351,1.1132201855686647e-13,0.009997232146265831,0.9999001384190257,1.0,0.03903260367966296,0.022714820631726727,0.03957619347903173,0.02281464157542056,0.9999932862902978,0.8885489194380596,0.9999945564943645,0.8885424475328619,"[5, 1, 0, 0, 0, 1, 0, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.008037319843220567,0.00562952432838037,1.427708519297389,0.0072293704758428605
2a,L12,model_L12.pt,depth,12,5,128,12,4,0,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,102,5,0.10638297872340426,1.0,5,0.8461538461538461,7.461538461538462,198,15.23076923076923,0.7709202487481344,0.036250644001212376,3.4428530995984654,0.010285846877717076,2.0553983378388267e-12,0.010285846877869882,0.999893833983668,1.0,0.043646030584573836,0.024947136076272945,0.035467346908365824,0.020652765714876238,0.9999937206271836,0.9226384009579196,0.9999940365826814,0.9227830230879307,"[5, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0]","[6, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",0.012314515118813596,0.009961713826133246,1.2361843889259383,0.007494490218548338
2a,L12,model_L12.pt,depth,12,5,128,12,4,1,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,110,5,0.10638297872340426,1.0,5,0.9230769230769231,6.230769230769231,197,15.153846153846153,0.7567281494049833,0.049533167007648045,4.2086806576293885,0.009422677310068248,3.4137862461598914e-13,0.009422677310144635,0.9999116217318172,1.0,0.022550407634351653,0.013464330764095516,0.018776017315299744,0.011235826694168246,0.9999983012301292,0.9229533724914921,0.9999982981093612,0.922991315339999,"[5, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",0.009988947038619314,0.008102771532203542,1.2327815240648687,0.007364626347423544
2a,L12,model_L12.pt,depth,12,5,128,12,4,2,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,110,5,0.10638297872340426,1.0,5,0.9230769230769231,6.769230769230769,197,15.153846153846153,0.5719440665046971,0.043598800220198124,3.8549664459164097,0.010194329448365244,1.2200060550607997e-12,0.010194329448292641,0.999895186146416,1.0,0.026171442825286547,0.015309776661660097,0.02421652212017043,0.014226644279164927,0.9999978886014498,0.9229154708317912,0.9999983244148491,0.9229371701522322,"[5, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",0.027982646496719197,0.024395726874648815,1.1470306517408089,0.009814225088619835
2a,L12,model_L12.pt,depth,12,5,128,12,4,3,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,110,5,0.10638297872340426,1.0,5,0.9230769230769231,7.923076923076923,197,15.153846153846153,0.63036893728159,0.041990164034760497,3.379187051812825,0.007625323408114656,8.252910263277891e-13,0.007625323408136198,0.9999418142641925,1.0,0.022379954811971095,0.013292538864429956,0.020698524112863503,0.012269598508553598,0.9999978461022418,0.9229568509474055,0.9999977789674571,0.9229750441427922,"[5, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",0.016768639632287974,0.01403699653149198,1.1946031043512446,0.010073945866119245
2a,H1,model_H1.pt,head,1,5,128,8,1,0,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,60,5,0.10638297872340426,1.0,5,0.8888888888888888,9.444444444444445,133,14.777777777777779,1.5973087172957745,0.09307721769080197,4.881984635182176,0.01848659118475796,4.3064794558407945e-13,0.01848659118482535,0.9996648714640018,1.0,0.038566581428892986,0.013002313869364856,0.04919090816782695,0.014382520722499573,0.9999928917814155,0.8887533699253843,0.9999916692577944,0.8886980451801928,"[5, 1, 0, 0, 0, 1, 1, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.0110898260194221,0.00908535304734616,1.2206268663011888,0.013277557197945267
2a,H1,model_H1.pt,head,1,5,128,8,1,1,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,60,5,0.10638297872340426,1.0,5,0.8888888888888888,7.555555555555555,133,14.777777777777779,1.0984705121573286,0.08833314955734922,4.885958748936288,0.016342448798438904,1.9815969463088006e-13,0.016342448798482342,0.9997308600793641,1.0,0.04718164441363093,0.020017814429047216,0.04806467221347919,0.018939880013675588,0.9999930160416963,0.8886070957105682,0.9999947958136237,0.8886237085648102,"[5, 1, 0, 0, 0, 1, 1, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.02933019499604994,0.026254245678620024,1.1171600721301544,0.021321426947225313
2a,H1,model_H1.pt,head,1,5,128,8,1,2,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,60,5,0.10638297872340426,1.0,5,0.8888888888888888,9.333333333333334,133,14.777777777777779,4.136119088397823,0.0929355676110884,7.541081856520318,0.017322820180312403,1.6254123806474998e-13,0.01732282018028487,0.999696047670411,1.0,0.07996752811214528,0.021476633530057684,0.08536535412237851,0.021748878880643526,0.9999902035490947,0.8884177419771375,0.9999926480998771,0.8883676988026558,"[5, 1, 0, 0, 0, 1, 1, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.06383933053878482,0.03693770391624064,1.7282972077405214,0.029030837140730417
2a,H1,model_H1.pt,head,1,5,128,8,1,3,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,60,5,0.10638297872340426,1.0,5,0.8888888888888888,8.555555555555555,133,14.777777777777779,27.249773219476033,0.3205422052662613,34.15821452765123,0.0171816686448342,2.7404852200322217e-13,0.01718166864479778,0.9997036770056247,1.0,0.03769667239705983,0.012235520335546887,0.03705476335974401,0.01269861290768168,0.9999931530432252,0.8887621325695858,0.9999931533803978,0.8887585970201577,"[5, 1, 0, 0, 0, 1, 1, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.031844502173449085,0.029139727936554498,1.092820847290807,0.014760456409249173
2a,H2,model_H2.pt,head,2,5,128,8,2,0,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,62,5,0.10638297872340426,1.0,5,1.0,9.444444444444445,133,14.777777777777779,42.879549184391394,1.4061296071417624,63.63919425243328,0.010511833825124769,2.8517553394081757e-13,0.010511833825096637,0.9998907300027639,1.0,0.03035552979082653,0.014095797494043336,0.030614635119432437,0.014314765734931496,0.9999967395780243,0.888752312458783,0.999996692182126,0.8887471106651256,"[5, 1, 0, 0, 0, 1, 1, 1, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.029487544152185158,0.022980571072310912,1.2831510609287877,0.010364423139270747
2a,H2,model_H2.pt,head,2,5,128,8,2,1,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,62,5,0.10638297872340426,1.0,5,1.0,9.333333333333334,133,14.777777777777779,8.922717613059705,0.4136439378970046,19.10743537936539,0.008104020146342114,3.6730794385565445e-13,0.008104020146334288,0.9999340458462057,1.0,0.02471815846733277,0.013620917607396255,0.027156634067375972,0.015225366518025434,0.9999946819696873,0.8887670425619857,0.9999930812167249,0.8887367228096776,"[5, 1, 0, 0, 0, 1, 1, 1, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.007863530761790694,0.007424909759986968,1.059074253557594,0.008944929690480165
2a,H2,model_H2.pt,head,2,5,128,8,2,2,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,60,5,0.10638297872340426,1.0,5,0.8888888888888888,10.777777777777779,133,14.777777777777779,112.28079292752429,3.0471063870610937,170.68838527009564,0.01040790835795053,2.828025001276108e-13,0.010407908358044907,0.9998908618035598,1.0,0.023942989016801492,0.014084278798079795,0.027165903216760594,0.016221005677267492,0.9999949365530703,0.8887610072539953,0.9999944348487433,0.8887195669740292,"[5, 1, 0, 0, 0, 1, 1, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.021788016186555847,0.016677301372968283,1.3064473501613014,0.009692765612760267
2a,H2,model_H2.pt,head,2,5,128,8,2,3,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,58,5,0.10638297872340426,1.0,5,0.8888888888888888,12.777777777777779,142,15.777777777777779,8.370103249048503,0.089244896009257,11.206787614411542,0.0069449203959154856,5.501686262415888e-14,0.006944920395913084,0.9999514778246008,1.0,0.08063007388965532,0.03520392745104562,0.07995257662029677,0.0341297607118012,0.9999772192586445,0.8879926442261619,0.9999842625797855,0.8880284304491255,"[5, 1, 0, 0, 0, 0, 1, 1, 0]","[14, 16, 16, 16, 16, 16, 16, 16, 16]",0.005692102808031774,0.005158687596626393,1.1034013402467358,0.008481302809750133
2a,H8,model_H8.pt,head,8,5,128,8,8,0,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,60,5,0.10638297872340426,1.0,5,0.8888888888888888,8.444444444444445,133,14.777777777777779,135.73480693280626,3.7749409612681677,170.1010415275526,0.008744203253335378,6.191205464475241e-13,0.008744203253369852,0.9999235246496039,1.0,0.015017431939325823,0.009124999593573976,0.017746995890125784,0.010601009108249645,0.9999979503175516,0.8888371007108391,0.9999963847017227,0.8888185973407056,"[5, 1, 0, 0, 0, 1, 1, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.022332943640129832,0.013260377865662672,1.684186066670112,0.01314396656594875
2a,H8,model_H8.pt,head,8,5,128,8,8,1,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,57,5,0.10638297872340426,1.0,5,0.7777777777777778,6.555555555555555,133,14.777777777777779,26.113063496337535,1.755588373904625,79.12195871778202,0.011640523589137851,1.450238893309617e-13,0.011640523589132515,0.9998634375329182,1.0,0.03413359417102642,0.019764681281762248,0.03513383972910761,0.020321553555245273,0.9999954844476484,0.888638540516919,0.999995933760381,0.8886224925064174,"[5, 1, 0, 0, 0, 1, 0, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.009802559092066069,0.00857505277047844,1.1431485443230855,0.006352407352818611
2a,H8,model_H8.pt,head,8,5,128,8,8,2,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,53,5,0.10638297872340426,1.0,5,0.6666666666666666,11.222222222222221,139,15.444444444444445,0.5490894758803315,0.025388109634113594,2.4998467084172598,0.013593249491108904,3.8999054373059136e-14,0.01359324949111591,0.9998164835474018,1.0,0.06175481329536574,0.030741042267265276,0.05731688235216763,0.02764567252265072,0.9999880793379418,0.8882474177525707,0.9999938079072478,0.8883633028662651,"[5, 1, 0, 0, 0, 0, 0, 0, 0]","[11, 16, 16, 16, 16, 16, 16, 16, 16]",0.006096006335594872,0.008551043278909758,0.7128962088906773,0.010101345582737946
2a,H8,model_H8.pt,head,8,5,128,8,8,3,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,57,5,0.10638297872340426,1.0,5,0.7777777777777778,6.888888888888889,133,14.777777777777779,145.66660709866235,3.7131299097717214,167.56268141125992,0.009318703264439102,2.346421884190313e-13,0.00931870326439989,0.9999132682503922,1.0,0.045205030841700335,0.025391158895621234,0.04012344356423703,0.022373340283774745,0.9999942857618136,0.8884648912209618,0.9999953658916126,0.8885549840352114,"[5, 1, 0, 0, 0, 1, 0, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.005565608980200365,0.006416512825356142,0.867388429149045,0.012184128154601554
