checkpoint,ell,n,candidate_rank_mean,candidate_rank_std,causal_damage_tau_mean,causal_damage_tau_std,causal_max_damage_mean,causal_max_damage_std,causal_max_keep_mean,causal_max_keep_std,causal_mean_damage_mean,causal_mean_damage_std,causal_min_kept_damage_mean,causal_min_kept_damage_std,causal_sum_kept_damage_mean,causal_sum_kept_damage_std,d_x_mean,d_x_std,ell_mean,ell_std,entropy_rank_mean,entropy_rank_std,gamma_mean,gamma_std,hidden_s_mean,hidden_s_std,min_explainable_frac_mean,min_explainable_frac_std,n_causal_mean,n_causal_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,participation_rank_mean,participation_rank_std,s_mean,s_std,val_capture_mean,val_capture_std,val_explainable_frac_mean,val_explainable_frac_std,val_full_resid_ratio_mean,val_full_resid_ratio_std,val_resid_ratio_mean,val_resid_ratio_std,val_total_norm_mean,val_total_norm_std
H8,2.0,4,16.0,0.0,0.05,0.0,0.0023649782990760133,0.0008524829501971605,0.0,0.0,0.001263277824919365,0.0005879004465008707,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,11.98342472019462,1.2497219631507126,0.95,0.0,14.25,1.707825127659933,0.001,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.243376996218148,1.484021426498999,0.0,0.0,0.9720926945390636,0.021976311209803222,0.7314861719003072,0.12192963959895715,0.5082416459430603,0.11664337345775172,0.5329084297315507,0.09536242943222464,3.9140542837989702,1.1375988808631643
H8,3.0,4,16.0,0.0,0.05,0.0,0.0018424071940746653,0.0003460480680052813,0.0,0.0,0.0009566175238947497,0.00040375771186543745,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,12.729493730208034,1.9190487331284654,0.95,0.0,14.5,1.2909944487358056,0.001,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.62974553769196,1.803351331383974,0.0,0.0,0.9761728912060619,0.017460428640461014,0.7169754796798713,0.10573821733905342,0.5255688187780458,0.09523260679899355,0.5445085485262221,0.08111236462075598,3.8596857523416266,1.0745423115089565
H8,4.0,4,16.0,0.0,0.05,0.0,0.00151065019124598,0.00047726478124808606,0.0,0.0,0.000785275767803946,0.0003428510034420489,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,14.61488236978744,1.0266354833410298,0.95,0.0,14.25,1.2583057392117916,0.001,0.0,8.0,0.0,8.0,0.0,8.0,0.0,9.865013561287011,1.2772988263342513,0.0,0.0,0.9678585954349821,0.0217536442777507,0.6783389821819785,0.11969260210335618,0.5599728896648398,0.10386774063430101,0.5825899695497243,0.08803837868525059,3.9507236243620754,1.0108990931100854
H8,5.0,4,16.0,0.0,0.05,0.0,0.12025272715163624,0.09427085313826529,0.0,0.0,0.008187710720685613,0.005922615889958063,0.12001993333468164,0.09466405534986612,0.12001993333468164,0.09466405534986612,5.0,0.0,5.0,0.0,5.154435548610038,7.53871553022824,0.95,0.0,5.25,7.22841614740048,0.001,0.0,8.0,0.0,8.0,0.0,8.0,0.0,4.131242562950902,6.0544417906483226,0.75,0.5,0.9771181031884751,0.020537881701209373,0.8526105640671852,0.2637452801229953,0.2759075996200511,0.3082519151704438,0.3407224524523798,0.26772545683358945,15.207677182477955,8.693938705146854
H8,6.0,4,16.0,0.0,0.05,0.0,0.04177248769088963,0.01995700829545781,0.0,0.0,0.0032164359893030155,0.0015488687963720125,0.016610216925590303,0.033220433851180606,0.016610216925590303,0.033220433851180606,5.0,0.0,6.0,0.0,1.5352110771351846,0.22123656826372656,0.95,0.0,1.75,1.5,0.001,0.0,8.0,0.0,8.0,0.0,8.0,0.0,1.1455205382640619,0.062488767011825305,0.25,0.5,0.9657979103583831,0.01132364698634676,0.9681562312944162,0.01569314934670516,0.17435682806348715,0.04387049446144953,0.25151596686589506,0.046458629488466026,16.48460172726447,3.978181289918398
H8,7.0,4,16.0,0.0,0.05,0.0,0.012133732407420937,0.004020778323515435,0.0,0.0,0.0009234193161506379,0.00022152143073013555,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,2.2554582988529845,0.43273550559469637,0.95,0.0,5.25,3.8622100754188224,0.001,0.0,8.0,0.0,8.0,0.0,8.0,0.0,1.3566441104096163,0.12552404980430792,0.0,0.0,0.956205773903476,0.0028685197605915797,0.9182329487127332,0.034988935765449446,0.28124662900281416,0.059636509643169744,0.3466747266718495,0.04844783265781335,14.507714258005816,3.0044333941411456
H8,8.0,4,16.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,0.0,2.3075408686196965,0.4386659981391142,0.95,0.0,5.25,3.8622100754188224,0.001,0.0,8.0,0.0,8.0,0.0,8.0,0.0,1.3716897083156676,0.12768593992016886,0.0,0.0,0.9543768463497693,0.0029732152233957507,0.9159269437429713,0.034405934137565965,0.2856286703447616,0.05761156057721625,0.3525067111684326,0.0459002914379562,14.262915334598688,2.7919140264335987
L12,0.0,4,5.25,0.5,0.05,0.0,0.6824903504848512,0.09707079943952686,0.0,0.0,0.46206735849005964,0.05925538072066484,0.32636723344004587,0.04987084220543199,2.4066899127150414,0.17810050665794253,5.0,0.0,0.0,0.0,3.5521157785205055,0.22104548321417053,0.95,0.0,4.5,0.5773502691896257,0.001,0.0,8.0,0.0,4.0,0.0,12.0,0.0,3.032604237120144,0.2772525798917845,5.0,0.0,0.982936549096076,0.020407460572339352,0.9999975995056725,3.223895379929215e-06,0.0013328946995166293,0.0009120570505264473,0.09285082128594521,0.1061104085551889,6396.932733354411,2761.735419786942
L12,1.0,4,16.0,0.0,0.05,0.0,0.0938512796215153,0.02926876825702465,0.0,0.0,0.007698887062393012,0.001262902445074847,0.0938512796215153,0.02926876825702465,0.0938512796215153,0.02926876825702465,5.0,0.0,1.0,0.0,7.135467755598794,1.0105727355255218,0.95,0.0,10.25,2.217355782608345,0.001,0.0,8.0,0.0,4.0,0.0,12.0,0.0,3.7484349305188704,0.5820026163621803,1.0,0.0,0.9560269920280788,0.008137942055483566,0.8814327478083829,0.0524674361973374,0.33860814072095846,0.07221984241748372,0.39425995013137716,0.053857194923337334,11.984620374879238,2.607923994352867
L12,10.0,4,16.0,0.0,0.05,0.0,0.10757651246553393,0.04870389329374352,0.0,0.0,0.0072860558666054155,0.0030458914517490976,0.10757651246553393,0.04870389329374352,0.10757651246553393,0.04870389329374352,5.0,0.0,10.0,0.0,3.2169298292583335,1.0054596486986158,0.95,0.0,4.75,1.5,0.001,0.0,8.0,0.0,4.0,0.0,12.0,0.0,1.646335117075367,0.3048876435169664,1.0,0.0,0.9545892060874148,0.0021996561162195907,0.951314300461774,0.01849542091754664,0.21762375168864134,0.04204128509270271,0.30194330057042745,0.03063079082836536,23.177238327527633,4.579821836291705
L12,11.0,4,16.0,0.0,0.05,0.0,0.027023159677987775,0.014927745726036307,0.0,0.0,0.001866589068654364,0.000964184740016397,0.0,0.0,0.0,0.0,5.0,0.0,11.0,0.0,3.9415474940132578,1.3695192256147042,0.95,0.0,6.25,1.8929694486000912,0.001,0.0,8.0,0.0,4.0,0.0,12.0,0.0,1.8780690826969169,0.44224645406531726,0.0,0.0,0.9536960946859233,0.003709953093201861,0.9347087584948606,0.024156334507809046,0.252151295791347,0.047762824258781346,0.3281408890431291,0.034765720934882664,20.717792726917075,4.098733505196962
