exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,selection_mode,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,ell,s,hidden_s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json,causal_max_damage,causal_mean_damage,causal_min_kept_damage,causal_sum_kept_damage,causal_selected_indices_json,causal_damages_json
2a,L4,model_L4.pt,1,5,4,4,causal,0.95,0.001,8,0.05,0,0.0,5.0,4.0,12.0,2.774064931579025,3.2811680397400758,629.1619731901168,0.9999787444890508,0.9715134400396812,0.16884078291361032,0.004610369936272742,"[571.0048586962477, 464.41100082812073, 266.88526351299623, 214.82440311605032, 85.32413666770192, 0.8636861977979403, 0.8477669142830992, 0.7545112307063242]",0.42665234033266,0.13525660360720212,0.16965147682786894,1.5966908090637515,"[0, 1, 2, 3, 4]","[0.41916894279988526, 0.16965147682786894, 0.3261076993396659, 0.42665234033266, 0.25511034976367125, 0.006194389975955445, 0.005456367419476812, 0.0033346790523894427, 0.003969253454134492, 0.0015814560660075304, 0.0021121514453336663, 0.003740136809376824]"
2a,L4,model_L4.pt,1,5,4,4,causal,0.95,0.001,8,0.05,0,1.0,1.0,15.0,16.0,3.545025181426307,7.304161692960084,3.9913932448039344,0.6445983165160776,0.9779759758999568,0.6079459945929372,0.5961557543829126,"[2.775378029397397, 1.2121367596367654, 1.0058239497422572, 0.8937825679451935, 0.7541662222436257, 0.7315383294235566, 0.7089657360830849, 0.6644809196909921]",0.19185975648755488,0.016086274205008202,0.19185975648755488,0.19185975648755488,[0],"[0.19185975648755488, 0.016082204723259955, 0.002430969099551489, 0.0036240325979947376, 0.005767296385576046, 0.0019636359291307875, 0.0013430434422606172, 0.004519679123639068, 0.001118987606709535, 0.0060575933752940615, 0.003631169101486966, 0.008755542760523307, 0.0012640235030648627, 0.002799059871507176, 0.0028945554158758195, 0.0032688378567019482]"
2a,L4,model_L4.pt,1,5,4,4,causal,0.95,0.001,8,0.05,0,2.0,0.0,15.0,16.0,9.084544269100705,13.910099941287429,2.9074708814460397,0.6092961098874775,0.9665420093653053,0.6411627824902666,0.6250631089037363,"[1.410896429024109, 0.9006207183199924, 0.8641978204199783, 0.7461989605612332, 0.7192124773038684, 0.6557869922571615, 0.6333050427911698, 0.5874567904593075]",0.006204407841975565,0.0019757843776476982,0.0,0.0,[],"[0.006204407841975565, 0.003512893109727216, 0.0010522041390997837, 0.0014657890215008635, 0.0010298829733876634, 0.0012357780685833873, 0.0010340734263588074, 0.004359467846414243, 0.001292568980113478, 0.001457064294136948, 0.0014138651605989977, 0.0007668741815204419, 0.0013949792968954051, 0.002770634422439984, 0.0018349523752775238, 0.0007871149043328692]"
2a,L4,model_L4.pt,1,5,4,4,causal,0.95,0.001,8,0.05,0,3.0,0.0,16.0,16.0,11.547798341234799,15.091211192908219,4.4984019939224975,0.5218491142008819,0.9999999999999053,0.6914845521044333,0.6914845521044333,"[1.6069073339421496, 1.3712320566194856, 1.25664878694975, 1.1786949233075485, 1.1016174215298344, 1.0504361909074054, 0.980581851395444, 0.8741022591618791]",0.0039733186330316,0.0013899279656926318,0.0,0.0,[],"[0.0039733186330316, 0.001984356429169273, 0.0006217815082704169, 0.0013875015178489228, 0.0010363485760874545, 0.0012132670471711373, 0.0012157305297186627, 0.0006713095072800463, 0.0008419598612931336, 0.0009399544517892496, 0.001544743730125142, 0.001375815350265391, 0.0015434865760216986, 0.0010832342542866577, 0.0009394927931998919, 0.0018665466855234292]"
2a,L4,model_L4.pt,1,5,4,4,causal,0.95,0.001,8,0.05,0,4.0,0.0,15.0,16.0,11.435789631698674,16.00421788902053,5.368018464791316,0.5995029196941641,0.9579760440806135,0.6524496644006641,0.6328483865080177,"[2.2269198187050248, 1.9506383791580406, 1.6894274929605908, 1.5850676615196275, 1.3054445265659032, 1.2562970384237664, 1.2233658286767062, 1.1514567573220171]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2a,L4,model_L4.pt,2,5,4,4,causal,0.95,0.001,8,0.05,0,0.0,5.0,5.0,9.0,2.463806332295857,3.2052779870436616,936.3538463877883,0.9999892805568248,0.9999992571291615,0.0033856027603074855,0.0032740560739336483,"[671.6279935848071, 360.8004503615115, 332.41061270402827, 228.20023944787314, 134.7970253494861, 0.9966014019854097, 0.8266087675348108, 0.7202670792423805]",0.5001560840815304,0.20574161016884748,0.17459479148183932,1.8402192383351572,"[0, 1, 2, 3, 4]","[0.48242860908188234, 0.5001560840815304, 0.41624433718520526, 0.26679541650469996, 0.17459479148183932, 0.0018490638312667876, 0.004797470638075386, 0.0016571499954327596, 0.0031515687196948597]"
2a,L4,model_L4.pt,2,5,4,4,causal,0.95,0.001,8,0.05,0,1.0,1.0,12.0,16.0,3.09539597684244,6.3852517836032465,5.544084974888329,0.8000767199425173,0.9532070510070466,0.48719732060443327,0.44712781176912963,"[3.7023490647892396, 1.5886786921219205, 1.2822899543400093, 1.109958858448631, 1.0508604811577653, 0.8890190052989989, 0.7603287352206949, 0.7232860605064267]",0.2589419605180047,0.023648161609816386,0.2589419605180047,0.2589419605180047,[0],"[0.2589419605180047, 0.020004494839420864, 0.03492777265090573, 0.006528684918377752, 0.008478473664743556, 0.002603271318373379, 0.002435905595692198, 0.008640541551477159, 0.002837189185388413, 0.0018749887638820314, 0.013223707123101766, 0.0020020849162939026, 0.005055493203903013, 0.00197396205928462, 0.0023387040315030337, 0.006503351416710081]"
2a,L4,model_L4.pt,2,5,4,4,causal,0.95,0.001,8,0.05,0,2.0,0.0,15.0,16.0,9.001342063768991,13.46080256370593,3.910312052267523,0.757521765297865,0.9701094005455544,0.5148990331769416,0.4924207902821221,"[1.702673877765036, 1.2979829181853617, 1.1467454221620745, 1.104556985562704, 0.9045300617443094, 0.80367410544995, 0.7668208955881542, 0.6319017373303717]",0.007678664728241698,0.0023377569071381947,0.0,0.0,[],"[0.005724849222069015, 0.007678664728241698, 0.004135393564177405, 0.003203305439414051, 0.0014190162099328677, 0.0019535370878226432, 0.001117381099267284, 0.0015121204713102138, 0.0012801474976043867, 0.0011753362492244288, 0.0019903307479900755, 0.0010665586510651475, 0.0010268775379294343, 0.0012638343814156835, 0.0012273864214370478, 0.0016293712053097405]"
2a,L4,model_L4.pt,2,5,4,4,causal,0.95,0.001,8,0.05,0,3.0,0.0,15.0,16.0,12.047015515064363,15.740661530061866,5.2053133225623025,0.6236315259401543,0.959788069495277,0.6335975865179991,0.6134887725621463,"[1.779481582045827, 1.5857746398269712, 1.5391152214415063, 1.3690399690777375, 1.2583041874671266, 1.2012337536768758, 1.1101786967980105, 0.9480324938772032]",0.0034554815462982153,0.0017236775508864442,0.0,0.0,[],"[0.0029151786278951144, 0.002899044553841818, 0.0022167310520817348, 0.0034554815462982153, 0.0017931120931371097, 0.001641282065217076, 0.0023125290621811337, 0.0012932836181168024, 0.001303868976559815, 0.00108560385703425, 0.0009225048565372954, 0.0010583203287849283, 0.000999388287580235, 0.0015231685796972525, 0.0010374669635392722, 0.001121876345681054]"
2a,L4,model_L4.pt,2,5,4,4,causal,0.95,0.001,8,0.05,0,4.0,0.0,13.0,16.0,6.113468571947399,11.130947572798386,9.585309928079607,0.8304817425008024,0.958517047431878,0.4516293748551221,0.4117259495091204,"[5.521202496784833, 3.6249694196722464, 3.143185538568656, 2.281552701878591, 2.128153082093253, 1.7924314757650472, 1.6721416206869937, 1.580534657246709]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
