basis,operator_kind,lambda,n,E_model_to_T_mean,E_model_to_T_std,E_model_to_operator_mean,E_model_to_operator_std,E_model_to_zero_mean,E_model_to_zero_std,E_operator_to_T_mean,E_operator_to_T_std,E_zero_to_T_mean,E_zero_to_T_std,R_sub_mean,R_sub_std,R_use_mean,R_use_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,cos_res_mean,cos_res_std,lambda_mean,lambda_std,point_model_to_T_mean,point_model_to_T_std,point_model_to_operator_mean,point_model_to_operator_std,point_operator_to_T_mean,point_operator_to_T_std,rank_mean,rank_std
raw,galerkin,0.5,4,0.17226623894431078,0.02102248180853203,0.17237482304334117,0.021197121478036055,1.0121396689051076,0.014652753872866449,0.051413742358127706,0.03388950487721083,0.9999999999999989,5.874748045952207e-16,0.05141374235807634,0.033889504877176936,0.17037778569973144,0.02169577354635807,0.9964952531911222,0.004559221746242812,0.9706183801977253,0.007529813364183687,-0.12565800846695474,0.14671032836999742,0.5,0.0,0.10094065315428886,0.018479401389000977,0.10119146007085555,0.01916615077189851,0.002148387134467237,0.0011457599363680522,40.0,0.0
raw,galerkin,0.75,4,0.22031588773314686,0.033594234503954025,0.22118370072595378,0.03607626857129342,1.0089408819488204,0.021710003952348626,0.06908058415881711,0.05172247212210221,0.9999999999999987,5.804389243823509e-16,0.0690805841587481,0.0517224721220505,0.21954451872029446,0.03844276060807677,0.9932214623004739,0.009672864252897533,0.9506918199174968,0.018318726165388818,-0.1347532872290451,0.14775420155687102,0.75,0.0,0.10094065315428886,0.018479401389000977,0.10119146007085555,0.01916615077189851,0.002148387134467237,0.0011457599363680522,40.0,0.0
raw,galerkin,0.9,4,0.2553746484339179,0.05301687963273684,0.2569005001103221,0.056881987971129165,1.0051883487304287,0.026502862438698316,0.08247831817142796,0.06735862734662708,0.9999999999999987,5.20740757162067e-16,0.08247831817134559,0.06735862734655977,0.2562267904885094,0.060642698980845296,0.9897944385231168,0.01541915201611392,0.9315896791311965,0.0346409055596606,-0.1391947933589225,0.1468202343704475,0.9,0.0,0.10094065315428886,0.018479401389000977,0.10119146007085555,0.01916615077189851,0.002148387134467237,0.0011457599363680522,40.0,0.0
raw,galerkin,1.0,4,0.2813584720889686,0.06829478617690232,0.28362029078114903,0.07323761376837161,1.0004857545872134,0.02682365440717566,0.09175578989040935,0.07768212707910194,0.9999999999999984,5.944274111531574e-16,0.09175578989031771,0.07768212707902429,0.28428443871707026,0.0773013393489014,0.9870549903709627,0.019940490167631095,0.9147007351044698,0.04909673385763279,-0.14372143850914876,0.14355451078751016,1.0,0.0,0.10094065315428886,0.018479401389000977,0.10119146007085555,0.01916615077189851,0.002148387134467237,0.0011457599363680522,40.0,0.0
response,actLR,0.0,4,0.08289689095952349,0.01996030459901354,0.8151086895067576,0.045050573973464444,1.0111798656283515,0.009291216028068865,0.8059223844688073,0.03740347219407441,0.999999999999999,5.20740757162067e-16,0.805922384468002,0.03740347219403726,0.805851546172921,0.03747514675550747,0.3494398454142824,0.06003867800112785,0.3495499955624525,0.06013922169847088,-0.9946311922291526,0.002489088703599316,0.0,0.0,0.10094065315428886,0.018479401389000977,0.9137734498983309,0.1855990156927846,0.9310356938244683,0.17035996899954825,40.0,0.0
response,actLR,0.1,4,0.10249424673481353,0.02221038677677292,0.8503581680116127,0.04262176386811453,1.012828987920294,0.00830005944629579,0.8443137719444959,0.034302136733642866,0.999999999999999,5.661048867003676e-16,0.8443137719436523,0.03430213673360873,0.8393866239906147,0.03573456038606228,0.2862517770679139,0.05792637717862208,0.2944723763611496,0.059975704608635126,-0.992516459564538,0.0030172929171302047,0.1,0.0,0.10094065315428886,0.018479401389000977,0.9137734498983309,0.1855990156927846,0.9310356938244683,0.17035996899954825,40.0,0.0
response,actLR,0.25,4,0.12919017512581998,0.021060596300060744,0.9236136248305878,0.043971889263249464,1.0131041764788864,0.009667188799805021,0.9217259817319836,0.035722755821252644,0.999999999999999,5.661048867003676e-16,0.9217259817310628,0.03572275582121711,0.9114955157571524,0.03725485329027467,0.14946412813931184,0.06608120022636897,0.1681349816843427,0.06806138932414928,-0.9900673074350619,0.002938312476405389,0.25,0.0,0.10094065315428886,0.018479401389000977,0.9137734498983309,0.1855990156927846,0.9310356938244683,0.17035996899954825,40.0,0.0
response,actLR,0.5,4,0.17226623894431078,0.02102248180853203,1.0686619443774303,0.03816445840547056,1.0121396689051076,0.014652753872866449,1.0733942021850864,0.030542380164204817,0.9999999999999989,5.874748045952207e-16,1.0733942021840144,0.030542380164174352,1.0558379873790602,0.03385328591383024,-0.15287474102182608,0.06571225730625767,-0.11565338931803698,0.07123614924438154,-0.9869808648774161,0.003032699026876984,0.5,0.0,0.10094065315428886,0.018479401389000977,0.9137734498983309,0.1855990156927846,0.9310356938244683,0.17035996899954825,40.0,0.0
response,actLR,0.75,4,0.22031588773314686,0.033594234503954025,1.2536661067979522,0.04026266758161586,1.0089408819488204,0.021710003952348626,1.2651958443065676,0.04604714027532076,0.9999999999999987,5.804389243823509e-16,1.2651958443053042,0.04604714027527406,1.2432359636780888,0.055920518423295235,-0.6023107787930593,0.11735778942924102,-0.547980989668133,0.13907606064945285,-0.9846973890273099,0.003826090773404128,0.75,0.0,0.10094065315428886,0.018479401389000977,0.9137734498983309,0.1855990156927846,0.9310356938244683,0.17035996899954825,40.0,0.0
response,actLR,0.9,4,0.2553746484339179,0.05301687963273684,1.3991084397554328,0.09467686174116789,1.0051883487304287,0.026502862438698316,1.4147520429580687,0.10473350669348135,0.9999999999999987,5.20740757162067e-16,1.414752042956656,0.10473350669337617,1.393568384313376,0.11800544483776286,-1.0097501736182504,0.306268702957386,-0.9524768055163118,0.3387100285297578,-0.9836469316964196,0.004520040758561079,0.9,0.0,0.10094065315428886,0.018479401389000977,0.9137734498983309,0.1855990156927846,0.9310356938244683,0.17035996899954825,40.0,0.0
response,actLR,1.0,4,0.2813584720889686,0.06829478617690232,1.5193597517064685,0.1356088779684715,1.0004857545872134,0.02682365440717566,1.536432295934436,0.14345511287816595,0.9999999999999984,5.944274111531574e-16,1.5364322959329022,0.143455112878022,1.5207164884507498,0.1592899787414661,-1.3760587270437832,0.4565082510815254,-1.3316086112415724,0.502030796212395,-0.9832348933090315,0.005106182132342345,1.0,0.0,0.10094065315428886,0.018479401389000977,0.9137734498983309,0.1855990156927846,0.9310356938244683,0.17035996899954825,40.0,0.0
response,galerkin,0.0,4,0.08289689095952349,0.01996030459901354,0.10638273497490564,0.024037656961750992,1.0111798656283515,0.009291216028068865,0.07067398199987766,0.02438208473522663,0.999999999999999,5.20740757162067e-16,0.07067398199980704,0.02438208473520226,0.10511078013100542,0.0232611387923356,0.9945593237262651,0.0031298241069440454,0.9885459134668142,0.004559939192336024,-0.6043981436601751,0.12758537223370667,0.0,0.0,0.10094065315428886,0.018479401389000977,0.11220379185266102,0.02644226580553404,0.05669494276211573,0.0420213864069047,40.0,0.0
response,galerkin,0.1,4,0.10249424673481353,0.02221038677677292,0.14016006073284837,0.026252672310508936,1.012828987920294,0.00830005944629579,0.10204596110190106,0.032890621945718006,0.999999999999999,5.661048867003676e-16,0.10204596110179912,0.03289062194568512,0.13832606973371606,0.02544545635620118,0.9887752770638296,0.006393186037096254,0.9803802949951416,0.006541425560451791,-0.655763679999126,0.13126479247524697,0.1,0.0,0.10094065315428886,0.018479401389000977,0.11220379185266102,0.02644226580553404,0.05669494276211573,0.0420213864069047,40.0,0.0
response,galerkin,0.25,4,0.12919017512581998,0.021060596300060744,0.18354039348076862,0.03175373199917542,1.0131041764788864,0.009667188799805021,0.1381256186010571,0.04477428892402404,0.999999999999999,5.661048867003676e-16,0.13812561860091907,0.04477428892397928,0.18117964004042836,0.03129257300153275,0.9794177607746275,0.011677892169165843,0.9664395191910287,0.010575196368556174,-0.6808069330669388,0.12947446143126357,0.25,0.0,0.10094065315428886,0.018479401389000977,0.11220379185266102,0.02644226580553404,0.05669494276211573,0.0420213864069047,40.0,0.0
response,galerkin,0.5,4,0.17226623894431078,0.02102248180853203,0.25145251325155776,0.04296335258732289,1.0121396689051076,0.014652753872866449,0.19258319799915263,0.06381311476592573,0.9999999999999989,5.874748045952207e-16,0.19258319799896023,0.06381311476586193,0.24874792205963253,0.04449004831485589,0.9598576266364025,0.02272492236221919,0.9366399479717212,0.020838196810667887,-0.6969192505525645,0.13203392202573533,0.5,0.0,0.10094065315428886,0.018479401389000977,0.11220379185266102,0.02644226580553404,0.05669494276211573,0.0420213864069047,40.0,0.0
response,galerkin,0.75,4,0.22031588773314686,0.033594234503954025,0.32523633356560044,0.06248779064522884,1.0089408819488204,0.021710003952348626,0.25062500651456937,0.08728426506481958,0.9999999999999987,5.804389243823509e-16,0.250625006514319,0.08728426506473229,0.3233496083124235,0.06794359691519826,0.9314731989137798,0.03983737818018682,0.8919827815328711,0.04212549376803194,-0.7035633861990839,0.13620504198560193,0.75,0.0,0.10094065315428886,0.018479401389000977,0.11220379185266102,0.02644226580553404,0.05669494276211573,0.0420213864069047,40.0,0.0
response,galerkin,0.9,4,0.2553746484339179,0.05301687963273684,0.37805565074537417,0.08517369619284944,1.0051883487304287,0.026502862438698316,0.29171040880691657,0.1082220743587016,0.9999999999999987,5.20740757162067e-16,0.2917104088066252,0.10822207435859343,0.37783375114969336,0.09372268382897965,0.9061210243600138,0.05788287564005693,0.8506537003940714,0.06949892211312222,-0.7057225282255808,0.13931734316388866,0.9,0.0,0.10094065315428886,0.018479401389000977,0.11220379185266102,0.02644226580553404,0.05669494276211573,0.0420213864069047,40.0,0.0
response,galerkin,1.0,4,0.2813584720889686,0.06829478617690232,0.4166183756373061,0.1031453603582192,1.0004857545872134,0.02682365440717566,0.32035344789474673,0.12450541834589286,0.9999999999999984,5.944274111531574e-16,0.3203534478944268,0.12450541834576842,0.41845401687537176,0.1128751264598694,0.8857474690240617,0.07424833634650013,0.8153406401308675,0.09424653313439614,-0.7061592007911253,0.1437939861687609,1.0,0.0,0.10094065315428886,0.018479401389000977,0.11220379185266102,0.02644226580553404,0.05669494276211573,0.0420213864069047,40.0,0.0
