Experiment 3: Galerkin-Leverage Surgery

checkpoint=model_L8.pt
episodes=32, n_causal=32, eps=0.001
layer_rule=sweep, k_remove_list=[1, 2, 4]

Final-layer or layer-sweep summary by control:
control                    k    state      drift        rho  task_damage   delta_task
random_Q                   1      8.0    0.00000      1.000      0.00000      0.00000
random_Q                   2      0.0    0.87516    117.412      4.28408      4.27608
random_Q                   2      1.0    1.92220    345.237     50.47343     50.46542
random_Q                   2      2.0    1.29981    233.966      4.49288      4.48487
random_Q                   2      3.0    0.26533     37.326      0.40214      0.39458
random_Q                   2      4.0    0.05583      9.673      0.06994      0.06318
random_Q                   2      5.0    0.02728      4.717      0.03131      0.02540
random_Q                   2      6.0    0.01493      2.794      0.01732      0.01196
random_Q                   2      7.0    0.00304      1.180      0.00288      0.00065
random_Q                   2      8.0    0.00000      1.000      0.00000      0.00000
random_Q                   4      0.0    2.32772    283.935      9.98616      9.97730
random_Q                   4      1.0    6.94705   1177.435     25.13290     25.12432
random_Q                   4      2.0    1.42205    226.875      7.66929      7.66050
random_Q                   4      3.0    0.37541     51.526      0.69739      0.68892
random_Q                   4      4.0    0.09550     12.641      0.11181      0.10370
random_Q                   4      5.0    0.06987      9.833      0.08043      0.07288
random_Q                   4      6.0    0.03704      5.188      0.03498      0.02800
random_Q                   4      7.0    0.00682      1.438      0.00462      0.00155
random_Q                   4      8.0    0.00000      1.000      0.00000      0.00000
