exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,selection_mode,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,ell,s,hidden_s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json,causal_max_damage,causal_mean_damage,causal_min_kept_damage,causal_sum_kept_damage,causal_selected_indices_json,causal_damages_json
2b,dx30,model_dx30.pt,2,30,8,4,causal,0.95,0.001,8,0.05,0,2.0,16.0,0.0,16.0,9.210032855136359e-17,1.3778253229949295,9.697709150424502e-08,0.0,0.0,0.0,0.0,"[9.558977557617397e-08, 8.977599965432992e-09, 8.609422231161783e-09, 6.842001406442006e-09, 6.475044707836136e-09, 5.481675769570361e-09, 5.135580789618581e-09, 4.91396112768977e-09]",3731.079053652791,789.7336289952549,10.619028428976648,12635.738063924084,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[712.048135539834, 879.8460974572218, 1403.414638319038, 646.8957193196828, 144.9908878663724, 329.20939489561613, 322.0413362755958, 15.678207108878814, 237.85752159944659, 117.1240369340155, 10.619028428976648, 2962.241112798907, 3731.079053652791, 645.2050576786615, 20.500390725341326, 456.9874453237001]"
2b,dx30,model_dx30.pt,2,30,8,4,causal,0.95,0.001,8,0.05,0,3.0,16.0,0.0,16.0,1.3756141735977655e-14,3.6282159313208813,2.695364505970519e-07,0.0,0.0,0.0,0.0,"[2.6928052054115047e-07, 1.5902393368868274e-07, 8.178537313215743e-08, 5.354778222816708e-08, 5.108167538748918e-08, 4.6404474461163616e-08, 2.912390782551359e-08, 2.6768984245595662e-08]",3939.153184538592,1141.9813286278,49.836128788972815,18271.701258044803,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[1334.7421326394988, 3037.5903123095895, 514.1472981305745, 559.6390736184748, 2829.105424461659, 242.6203436009904, 111.87570501221232, 49.836128788972815, 274.6956315740265, 229.6419330317788, 141.53684724953342, 419.8244713920643, 189.7211426141641, 2765.4264547105113, 1632.1451743721584, 3939.153184538592]"
2b,dx30,model_dx30.pt,2,30,8,4,causal,0.95,0.001,8,0.05,0,4.0,16.0,0.0,16.0,3.753784463784568e-14,3.4840088640203475,3.562047201104116e-07,0.0,0.0,0.0,0.0,"[3.5207612996696074e-07, 1.9812089647011162e-07, 9.488899848915253e-08, 7.593050355536221e-08, 6.829475614357446e-08, 5.576740423322945e-08, 3.456130456018397e-08, 3.2543695406403684e-08]",1853.9900751324847,443.3452300544145,19.23608908061768,7093.523680870634,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[19.23608908061768, 1853.9900751324847, 1122.2700408640662, 381.91330162619477, 236.9362441007865, 228.35747163726165, 246.0369304780701, 117.42274739778638, 23.751048431224195, 799.1768470753964, 461.1114118020711, 108.91783519581374, 663.9528024617579, 642.9721748433876, 65.09181790202729, 122.38684284168714]"
2b,dx30,model_dx30.pt,2,30,8,4,causal,0.95,0.001,8,0.05,0,5.0,16.0,3.0,16.0,1.497227874630458,1.9938068275025504,192062.53026115397,0.9999988832542684,0.9703817539547711,0.17210267201560417,0.0010567619086510021,"[201332.49118246327, 80170.28719140212, 39194.4434379274, 32947.51078950855, 25087.443116489794, 7472.987456123551, 2012.502849414383, 1493.6950414162986]",238.73576848052937,27.85279509025549,0.45964926483176033,445.6447214440878,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[123.02707948140551, 2.0712981281657004, 238.73576848052937, 10.075144695196826, 3.2501099543771077, 58.28623182020074, 0.750925516348229, 0.45964926483176033, 0.4973930253566026, 5.279715242606473, 0.5708857044427177, 0.5663614196766885, 0.5308292581296573, 0.4772755358208614, 0.5692003614129494, 0.49685355558662575]"
2b,dx30,model_dx30.pt,2,30,8,4,causal,0.95,0.001,8,0.05,0,6.0,10.0,2.0,10.0,1.2146522570818294,1.4771741918333512,579115.9524908534,0.9999947037024872,0.9583694463799222,0.2040481056755809,0.0023013686173211974,"[736658.2237491887, 200127.31377420117, 119566.26321695987, 41318.98510286687, 33414.94457793315, 8252.136389658144, 2222.538124835092, 1678.8447272919157]",138.41185503046407,42.637973314377525,0.5682412063885487,426.3797331437753,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[138.41185503046407, 39.44702265574729, 107.77835742673177, 4.239278203704178, 125.49032554464479, 1.9129521960599443, 0.5682412063885487, 2.540484120087765, 2.360808493098487, 3.6304082668484137]"
2b,dx30,model_dx30.pt,2,30,8,4,causal,0.95,0.001,8,0.05,0,7.0,14.0,3.0,14.0,1.9778537750867284,2.513631707378661,899779.5326751211,0.9999946203287197,0.9881793575069897,0.10874722328923925,0.002319411839321824,"[925105.1900731083, 504224.4197201912, 350378.36189141206, 181833.8745709258, 42503.12725363344, 21270.88270184034, 8114.540454094597, 3665.2885060546823]",85.80863444436005,15.509043457613467,0.18968463484167053,217.12660840658853,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[6.340321389059902, 42.66714011621105, 18.992165512958397, 21.016325352115164, 2.002246320364691, 0.403691881888372, 85.80863444436005, 33.28486300935953, 0.5077698446965019, 0.39336606362780036, 0.8587886836786937, 2.481898910976968, 2.179712242449709, 0.18968463484167053]"
2b,dx30,model_dx30.pt,2,30,8,4,causal,0.95,0.001,8,0.05,0,8.0,0.0,4.0,15.0,2.280982813720645,2.784378374196167,958195.8735036362,0.9999958654446202,0.981779823412924,0.13499716963746575,0.0020333606123372843,"[832669.8438668314, 633839.6202318713, 256823.0232989116, 183903.88388441855, 130905.86286166571, 51526.84564462299, 27806.261173162624, 12633.231272814617]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2b,dx30,model_dx30.pt,3,30,8,4,causal,0.95,0.001,8,0.05,0,0.0,16.0,13.0,16.0,6.989983080421828,8.896807272499885,5408.822167300831,0.8571018490300686,0.9549352431571723,0.42605543933390827,0.37801871775076357,"[2674.7607363546726, 2329.2523877517756, 2146.8009764566505, 1858.817671815787, 1577.7067792716625, 1307.3691330904176, 1216.7582046543, 950.0207325972814]",3.9401108496046553,1.5897378429163802,0.9946074077582989,25.43580548666208,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[1.5600462434379574, 2.2432009479667245, 2.2408174930910785, 1.7670601443644816, 1.607015670345056, 1.0588240794829658, 1.44113280534818, 1.0262616482330036, 1.001385913756998, 1.079226400912627, 0.9946074077582989, 1.6800288004614297, 1.0066307864832675, 1.508992843592144, 1.2804634518232156, 3.9401108496046553]"
2b,dx30,model_dx30.pt,3,30,8,4,causal,0.95,0.001,8,0.05,0,1.0,16.0,8.0,16.0,3.902727734985195,5.396460258813668,103248.3656533647,0.9998994362919372,0.96151054967692,0.19643355973279397,0.010028145793850468,"[64251.129937563375, 54285.176458970556, 36345.59963252395, 26237.3788862075, 20988.421679618394, 18489.124015946672, 13273.864412273595, 12687.119141498026]",35.13402910526448,6.708373517123523,0.9891235546931623,107.33397627397635,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[1.1608369734717936, 3.131915801405535, 15.041124556094895, 3.085378507910964, 0.9891235546931623, 1.4458174397102836, 1.3686110900897162, 1.6153141850258852, 3.1651283268356214, 1.4234289405577292, 18.509225995287405, 2.577837621127863, 35.13402910526448, 1.5374201360005, 15.597287186874011, 1.5514968536265086]"
2b,dx30,model_dx30.pt,3,30,8,4,causal,0.95,0.001,8,0.05,0,2.0,16.0,0.0,16.0,4.0012637799295594e-15,3.374455219827771,2.5836240777390016e-07,0.0,0.0,0.0,0.0,"[2.063351047566351e-07, 9.612789301453752e-08, 6.789497206167337e-08, 4.884932542381323e-08, 3.651656132514318e-08, 2.6800604580575585e-08, 2.1605974289510286e-08, 1.819439795701338e-08]",127.95116046539584,47.02216669135805,3.4421421728026655,752.354667061729,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[22.066666592439507, 58.42043654039599, 3.4421421728026655, 8.345547046172985, 72.88260549518348, 64.77359925606008, 83.1929267431662, 127.95116046539584, 41.15523170591286, 83.54803863310137, 20.323341635988974, 23.86407364135998, 84.77021221250367, 46.750095382345435, 5.20447841092181, 5.664111127978096]"
