Experiment 3: Galerkin-Leverage Surgery

checkpoint=/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt
episodes=8, n_causal=40, eps=0.001
layer_rule=sweep, k_remove_list=[1, 2, 4, 8, 16]

Final-layer or layer-sweep summary by control:
control                    k    state      drift        rho  task_damage   delta_task
high_variance_low_task     8      4.0    0.52390      1.848    180.02593    139.34413
high_variance_low_task     8      5.0    0.23760      1.538     65.44101     33.77438
high_variance_low_task     8      6.0    0.04010      1.248      9.95965      4.30220
high_variance_low_task     8      7.0    0.02192      1.060      7.88884      2.73255
high_variance_low_task     8      8.0    0.00000      1.000      0.00000      0.00000
low_task                   1      0.0    0.01555      1.013     18.63130     -0.82327
low_task                   1      1.0    0.01457      1.011     15.25881     -0.15107
low_task                   1      2.0    0.01886      0.987     12.57824      1.51965
low_task                   1      3.0    0.02118      0.984     13.92064      1.95618
low_task                   1      4.0    0.04654      0.959     18.18143     -4.29334
low_task                   1      5.0    0.01196      0.991     11.91066      1.65645
low_task                   1      6.0    0.00211      0.999      5.76189      0.57622
low_task                   1      7.0    0.00096      1.000      2.47369      0.31730
low_task                   1      8.0    0.00000      1.000      0.00000      0.00000
low_task                  16      0.0    0.70170      1.965    149.91806    100.94187
low_task                  16      1.0    0.69751      1.974    167.39812    112.80983
low_task                  16      2.0    0.69611      1.976    175.72700    119.96961
low_task                  16      3.0    0.69740      1.971    183.31573    126.41540
low_task                  16      4.0    0.49906      1.788    283.48386    242.86452
low_task                  16      5.0    0.18617      1.429     44.67952      7.17436
low_task                  16      6.0    0.04006      1.197     12.22290     -0.66508
low_task                  16      7.0    0.01939      1.041      9.15922      1.84255
low_task                  16      8.0    0.00000      1.000      0.00000      0.00000
low_task                   2      0.0    0.03703      1.028     25.06469      1.04968
low_task                   2      1.0    0.03956      1.029     25.28411      2.24574
low_task                   2      2.0    0.01409      1.009     13.02369      5.55382
low_task                   2      3.0    0.01209      1.008     12.83822      5.53796
low_task                   2      4.0    0.03735      0.974     18.63699      2.45823
low_task                   2      5.0    0.00548      1.001      7.93999      0.90744
low_task                   2      6.0    0.00411      0.998      8.01883      1.14722
