checkpoint,ell,n,candidate_rank_mean,candidate_rank_std,d_x_mean,d_x_std,ell_mean,ell_std,entropy_rank_mean,entropy_rank_std,gamma_mean,gamma_std,min_explainable_frac_mean,min_explainable_frac_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,participation_rank_mean,participation_rank_std,s_mean,s_std,val_capture_mean,val_capture_std,val_explainable_frac_mean,val_explainable_frac_std,val_full_resid_ratio_mean,val_full_resid_ratio_std,val_resid_ratio_mean,val_resid_ratio_std,val_total_norm_mean,val_total_norm_std
L12,12.0,4,42.0,0.0,5.0,0.0,12.0,0.0,3.2831467261966965,1.1097577692345655,0.95,0.0,0.001,0.0,4.0,0.0,12.0,0.0,1.7262123682248118,0.3741312160457981,26.0,4.898979485566356,0.952789330389711,0.001837326195793547,0.9999999999999961,1.7589240639276204e-15,9.974330458193038e-13,2.5203536953128234e-13,0.21724919943483262,0.0042355566669752655,17.003033414823705,3.7948364211466052
L12,2.0,4,13.0,16.87206764645835,5.0,0.0,2.0,0.0,4.011989091856295,2.3588598003590326,0.95,0.0,0.001,0.0,4.0,0.0,12.0,0.0,3.407264527116932,2.3357310381604113,9.5,10.016652800877813,0.9876109693965617,0.02477806120463616,0.9999999999991581,1.1081428160104685e-12,9.581269472227968e-11,6.238427727198863e-11,0.0556530112495325,0.11130602224771041,3.933335111487784,5.437289433972834
L12,3.0,4,5.0,6.733003292241386,5.0,0.0,3.0,0.0,1.9514453101637153,1.1366911602076653,0.95,0.0,0.001,0.0,4.0,0.0,12.0,0.0,1.6800640698533487,0.7877164762504266,4.75,6.238322424070967,0.9955008085929393,0.008998382808514524,0.999999999997873,1.8106852338008922e-12,1.8016508736716135e-10,9.96199014208881e-11,0.033538006241919056,0.06707601202865066,1.294036860464114,1.2870576328692818
L12,4.0,4,3.5,1.0,5.0,0.0,4.0,0.0,2.7149910254247667,0.6162128056554786,0.95,0.0,0.001,0.0,4.0,0.0,12.0,0.0,2.4343613426440625,0.45344797823316246,3.25,0.9574271077563381,0.9941092857826681,0.011781428432237248,0.9999999999990583,6.234008493371958e-13,5.383834440025252e-11,3.759126135823354e-11,0.03837549423400511,0.0767509883427001,1.3972381593717782,0.9444239454483679
L12,5.0,4,43.25,2.5,5.0,0.0,5.0,0.0,4.177064820596871,3.100511062661934,0.95,0.0,0.001,0.0,4.0,0.0,12.0,0.0,1.145549698835609,0.7752631297573763,10.25,7.274384280931732,0.7138132757093665,0.4758769890983646,0.7499999999999976,0.4999999999999984,1.2287266892463558e-12,8.248345773595163e-13,0.16473006522825162,0.10985281001125795,13.85032069968008,9.575481474457568
L12,6.0,4,42.0,0.0,5.0,0.0,6.0,0.0,2.2129557596568676,0.579424708881856,0.95,0.0,0.001,0.0,4.0,0.0,12.0,0.0,1.3808150786271356,0.19264352146389502,12.75,4.031128874149275,0.951786455861767,0.0005731844471827739,0.9999999999999966,1.687392909129966e-15,1.2249435325071506e-12,4.73824620099888e-13,0.21957291800942239,0.0013052790541834077,18.440842785578837,4.553936454614204
L12,7.0,4,42.0,0.0,5.0,0.0,7.0,0.0,2.1166695391260326,0.5513425535131695,0.95,0.0,0.001,0.0,4.0,0.0,12.0,0.0,1.342843475658166,0.17782129547495734,13.25,4.5,0.952704066792539,0.0018885844362818791,0.9999999999999969,1.5831224950381834e-15,1.0314661246206289e-12,3.8572541499373593e-13,0.21744413873430524,0.004317366103555836,19.297966615294534,4.926243374165963
L12,8.0,4,42.0,0.0,5.0,0.0,8.0,0.0,2.0510491365283654,0.5522272992623154,0.95,0.0,0.001,0.0,4.0,0.0,12.0,0.0,1.3187198763513281,0.1753188950337255,13.0,5.354126134736337,0.9522513753249591,0.0005567138786537882,0.9999999999999973,1.3777505409863063e-15,9.004185160449775e-13,3.0226349454835184e-13,0.21851181270804404,0.0012714202467145523,20.64257646384012,5.361276386130907
L12,9.0,4,42.0,0.0,5.0,0.0,9.0,0.0,2.2374003248295025,0.6303409060623355,0.95,0.0,0.001,0.0,4.0,0.0,12.0,0.0,1.3737626841045458,0.19855779452489203,17.25,5.315072906367325,0.952325257025133,0.0013661397460488509,0.9999999999999971,1.3955287025942437e-15,9.637689508490709e-13,3.240940535371005e-13,0.21832864673383107,0.0031294281134566742,19.845593021295528,4.916103839584886
L2,0.0,4,5.0,0.0,5.0,0.0,0.0,0.0,2.8413787867626032,0.39535891487281094,0.95,0.0,0.001,0.0,4.0,0.0,2.0,0.0,2.2691424963149163,0.3473663869246249,5.0,0.0,1.0,0.0,0.9999955702587964,2.615301960075788e-06,0.002030190868437383,0.000640901699458687,0.002030190868437383,0.000640901699458687,2018.923760985065,544.0320584124091
L2,1.0,4,42.0,0.0,5.0,0.0,1.0,0.0,9.360895469869044,1.3938045497794511,0.95,0.0,0.001,0.0,4.0,0.0,2.0,0.0,5.512751685188128,1.2081867483172897,21.0,1.632993161855452,0.9517353429265245,0.00040631949897379727,0.9999999999999976,1.7019396688362377e-15,1.2533204237180017e-12,5.295718892917376e-13,0.21969072616121887,0.0009251394339902669,24.82044032018174,13.04970666215995
L2,2.0,4,16.0,1.632993161855452,5.0,0.0,2.0,0.0,7.973197869584721,2.9024276935090807,0.95,0.0,0.001,0.0,4.0,0.0,2.0,0.0,5.702340091379138,2.557599111177703,11.5,2.3804761428476167,0.9581521315172787,0.00253986237274544,0.9999999999999993,4.965068306494546e-16,2.3081931835750287e-12,1.5909123000110836e-12,0.20449860461450203,0.0061307088706227374,89.59631052430478,108.34482978401567
L4,0.0,4,7.25,1.5,5.0,0.0,0.0,0.0,3.5228191071245205,0.4599940197377044,0.95,0.0,0.001,0.0,4.0,0.0,4.0,0.0,2.9430350042162865,0.5304541237561924,5.0,0.0,0.9999988448602798,8.178078192421624e-07,0.9999831967343602,1.2185401676658475e-05,0.003813333023912153,0.0017365701400888203,0.003937447364935652,0.0018091941592945074,1213.0993801395844,900.6148727037622
L4,1.0,4,42.0,0.0,5.0,0.0,1.0,0.0,5.4779916928834,1.2710474004676084,0.95,0.0,0.001,0.0,4.0,0.0,4.0,0.0,3.2247122068456444,0.8051147428768682,32.25,5.909032633745278,0.9548689717908037,0.004681744343971008,0.999999999999964,1.7436039936024563e-14,6.210319368340364e-12,8.739272202493988e-13,0.21221912449146887,0.011199488633249443,5.728274197227586,1.6786393345278474
L4,2.0,4,16.75,20.66196183005541,5.0,0.0,2.0,0.0,4.869929903429872,2.789651806582313,0.95,0.0,0.001,0.0,4.0,0.0,4.0,0.0,2.6004704337071134,2.556560940280217,5.0,5.597618541248888,0.7499999999970359,0.49999999999802397,0.7499999999970359,0.49999999999802397,2.0335712662919772e-11,1.660611667205011e-11,2.0335712662919772e-11,1.660611667205011e-11,0.6888847514415044,0.6606261894258035
L4,3.0,4,24.5,25.99358895317587,5.0,0.0,3.0,0.0,4.903534502402424,3.7232025546758245,0.95,0.0,0.001,0.0,4.0,0.0,4.0,0.0,0.8080623238753962,1.060043809353449,1.0,1.4142135623730951,0.49999999999922995,0.5773502691887366,0.49999999999922995,0.5773502691887366,8.696310241996004e-12,1.0092473598732933e-11,8.696310241996004e-12,1.0092473598732933e-11,0.5242641401021046,0.7002833547138753
L4,4.0,4,3.5,1.0,5.0,0.0,4.0,0.0,2.8507578419904576,0.7164404590031473,0.95,0.0,0.001,0.0,4.0,0.0,4.0,0.0,2.473238787962314,0.577902323364328,3.5,1.0,0.9999999999995286,8.422598517960244e-14,0.9999999999995286,8.422598517960244e-14,1.471160781344593e-11,1.3562050190255068e-11,1.471160781344593e-11,1.3562050190255068e-11,1.4686551889751205,0.12217648704032874
