exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,gamma,min_explainable_frac,ell,s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json
2a,L4,model_L4.pt,0,5,4,4,0.95,0.001,1.0,36.0,42.0,3.1582569803594898,5.417506890914224,4.6961717416967295,0.9999999999999547,0.9554867207727715,0.21098170353654658,7.394679225798839e-12,"[2.2552914103703454, 1.1817284806175221, 0.9419773666952694, 0.7357726432187623, 0.6754915733868622, 0.5698384822459598, 0.548607660221826, 0.422647357829764]"
2a,L4,model_L4.pt,0,5,4,4,0.95,0.001,2.0,1.0,1.0,0.999998259620482,1.0,0.3109823311694135,0.9999999999896597,0.9999999999896597,3.434001769638691e-11,3.434001769638691e-11,"[0.027532067152499406, 3.877611105405093e-12, 2.2012208139293267e-12, 1.9587470922388328e-12, 1.2003677640902333e-12, 7.975769207169075e-13, 6.910886744363357e-13, 5.608280273458946e-13]"
2a,L4,model_L4.pt,0,5,4,4,0.95,0.001,3.0,1.0,1.0,0.9999997593644802,1.0,0.617379363755354,0.9999999999973764,0.9999999999973764,1.6153503313748336e-11,1.6153503313748336e-11,"[0.04515023764765811, 3.108161025651255e-12, 1.928177738376443e-12, 1.8555156492392774e-12, 9.94955167749126e-13, 6.148726324007965e-13, 6.002059407720844e-13, 5.115453861210454e-13]"
2a,L4,model_L4.pt,0,5,4,4,0.95,0.001,4.0,4.0,4.0,2.612688134238033,3.136042669619628,1.5932970862957405,0.9999999999996061,0.9999999999996061,8.256464768616871e-12,8.256464768616871e-12,"[0.310834167904484, 0.20566280021672326, 0.1395094833423754, 0.13113025768799141, 3.6081924786256267e-12, 2.7759022109097154e-12, 1.7096564130256643e-12, 1.1785837844358223e-12]"
2a,L4,model_L4.pt,1,5,4,4,0.95,0.001,0.0,5.0,8.0,2.4948643124086516,3.106186722977739,705.2460826742982,0.9999682004613023,0.9999982838386404,0.005789269857608458,0.005639107970037423,"[334.7258171028514, 240.1644508211009, 121.96422447408642, 111.48881113491838, 66.96054631237158, 0.7628562880989641, 0.6584977636459383, 0.5325918694291146]"
2a,L4,model_L4.pt,1,5,4,4,0.95,0.001,1.0,38.0,42.0,3.4198202823338133,5.667257574704117,4.274086093323184,0.9999999999999454,0.9612399926618584,0.19687561387354943,6.310398556609193e-12,"[1.5136115698257593, 0.7452809088636768, 0.6948062575660121, 0.6342608544464742, 0.5616344767592867, 0.3928373214113211, 0.3451707116172351, 0.25246364514556097]"
2a,L4,model_L4.pt,1,5,4,4,0.95,0.001,2.0,0.0,47.0,1.3771082032964635e-34,6.718124105597094,5.579315875647429e-12,0.0,0.0,0.0,0.0,"[2.1524267057319263e-12, 1.9006524573052635e-12, 9.89043057928278e-13, 8.131435025585337e-13, 5.248417550654575e-13, 4.778176476460658e-13, 3.5597785765993636e-13, 2.8983282864430716e-13]"
2a,L4,model_L4.pt,1,5,4,4,0.95,0.001,3.0,0.0,47.0,9.535314727291953e-35,7.230522268540071,4.9194210547143675e-12,0.0,0.0,0.0,0.0,"[1.9785396865010772e-12, 1.668693352449421e-12, 8.568848738596262e-13, 7.618299486610581e-13, 5.48808500472368e-13, 4.1637224480716475e-13, 3.1714095842478717e-13, 3.071868655355852e-13]"
2a,L4,model_L4.pt,1,5,4,4,0.95,0.001,4.0,4.0,4.0,2.67237861702277,3.162155721225263,1.4930557427265365,0.9999999999995514,0.9999999999995514,9.900038837877677e-12,9.900038837877677e-12,"[0.1333077390333031, 0.08723685599214241, 0.07277886585086255, 0.048015427977499, 2.0105324846223167e-12, 1.5603374259353762e-12, 1.1848560430421277e-12, 9.553886044124446e-13]"
2a,L4,model_L4.pt,2,5,4,4,0.95,0.001,0.0,5.0,8.0,3.0052683820639796,3.6440637056230454,794.2576849169767,0.9999816171540185,0.9999982470956628,0.0044872840444228485,0.0042875221260580704,"[432.57621874394516, 320.63425400130507, 223.35275395959613, 169.6415238925006, 125.40731284948336, 0.7726490059526299, 0.6460508543283993, 0.5609924273275378]"
2a,L4,model_L4.pt,2,5,4,4,0.95,0.001,1.0,30.0,42.0,4.133491637729052,6.962618940807708,5.92672546598939,0.9999999999999715,0.9509484310632533,0.2214758879352741,5.731853336890611e-12,"[2.073274325181384, 1.1174374726027185, 1.067858907036609, 0.843847810038123, 0.6961108051015296, 0.6183761891377462, 0.5816292103489423, 0.5458210772298405]"
2a,L4,model_L4.pt,2,5,4,4,0.95,0.001,2.0,7.0,7.0,3.8465137211799885,4.674442765544421,0.9743962972069468,0.9999999999989467,0.9999999999989467,1.3561994902100366e-11,1.3561994902100366e-11,"[0.11668300945469512, 0.09772053226038634, 0.07100480308373298, 0.053981040508619835, 0.0478355083341119, 0.03634610592496697, 0.014735787477272598, 2.751417577818914e-12]"
2a,L4,model_L4.pt,2,5,4,4,0.95,0.001,3.0,0.0,47.0,2.7300089355485637e-34,8.829602343442478,5.246213455140511e-12,0.0,0.0,0.0,0.0,"[2.463461731898265e-12, 1.858630255854338e-12, 1.5244902769489309e-12, 1.1208425171362396e-12, 7.45892165880663e-13, 5.35814612058412e-13, 4.335383765495167e-13, 4.13060265686988e-13]"
2a,L4,model_L4.pt,2,5,4,4,0.95,0.001,4.0,4.0,4.0,2.9693347546032327,3.321665991479116,1.4877914945156452,0.9999999999995481,0.9999999999995481,5.793363422351018e-12,5.793363422351018e-12,"[0.5379322265503926, 0.47674033417251077, 0.30432153445250415, 0.22423542817938355, 4.570474771075789e-12, 2.4250175544124103e-12, 1.70640510258291e-12, 1.2698644414469714e-12]"
2a,L4,model_L4.pt,3,5,4,4,0.95,0.001,0.0,5.0,5.0,2.6045241391246754,3.2216958175439623,2562.6173749390828,0.999997836405089,1.0,0.0014709163507954004,0.0014709163507954004,"[1496.5411662482854, 1060.4911416194655, 626.5168200721752, 537.9637043213864, 275.7618281817797, 0.670637044769794, 0.5852572090798959, 0.5214436689250602]"
2a,L4,model_L4.pt,3,5,4,4,0.95,0.001,1.0,25.0,42.0,2.187279926960223,3.8645833651075496,8.01611348790104,0.9999999999999846,0.9518007426653317,0.2195432926205054,5.4043463540628135e-12,"[4.49546907278561, 1.9983924624067475, 1.306438779296823, 1.1485630495763812, 0.9016256740399329, 0.7542236502551154, 0.6697237943096817, 0.6178878782878487]"
2a,L4,model_L4.pt,3,5,4,4,0.95,0.001,2.0,12.0,12.0,5.555369754027984,7.087152742577975,1.4701603773840781,0.9999999999995373,0.9999999999995373,3.344083805319181e-11,3.344083805319181e-11,"[0.24315536610405306, 0.18978239956731835, 0.17096568534275602, 0.1690319168516256, 0.127650420960618, 0.08063663792997733, 0.07727372601336736, 0.05743245907766538]"
2a,L4,model_L4.pt,3,5,4,4,0.95,0.001,3.0,3.0,3.0,2.232249536137105,2.5540133976271484,1.4796771966428992,0.9999999999995433,0.9999999999995433,1.863173765423568e-11,1.863173765423568e-11,"[0.552330875256952, 0.3339321652836086, 0.29169096856780247, 1.4844889477070753e-11, 7.533920516392613e-12, 5.753457765978557e-12, 4.653423418799656e-12, 4.397101848192403e-12]"
2a,L4,model_L4.pt,3,5,4,4,0.95,0.001,4.0,2.0,2.0,1.6385536459852184,1.7831669856378243,1.3004764323625602,0.9999999999994087,0.9999999999994087,3.489656422493815e-11,3.489656422493815e-11,"[0.8942257218610771, 0.537169173021252, 2.718136271863737e-11, 1.0186799723203182e-11, 7.982548569451474e-12, 7.140995991660123e-12, 4.891495572260599e-12, 4.039068610997735e-12]"
2a,L6,model_L6.pt,0,5,6,4,0.95,0.001,0.0,5.0,5.0,3.0831415736641214,3.5931123949107833,3504.0290260828524,0.9999967267166814,1.0,0.0018092217439192948,0.0018092217439192948,"[1292.7541252835363, 979.468124524414, 785.7382474390132, 529.8715143945216, 244.67740177294093, 0.8839357675625097, 0.7940944103772, 0.5622361547188724]"
2a,L6,model_L6.pt,0,5,6,4,0.95,0.001,1.0,24.0,42.0,1.7596114336583355,3.044146168793641,10.819790729253903,0.9999999999999915,0.9555428564099081,0.21084862719515973,9.225003856243333e-12,"[4.5998402820262285, 1.4412120862805282, 1.2775678480803736, 0.9828157526524172, 0.7592971881125067, 0.7088337837609563, 0.5773859266823818, 0.48746791431422004]"
2a,L6,model_L6.pt,0,5,6,4,0.95,0.001,2.0,13.0,13.0,3.3278985543102895,5.0558190743227085,1.5367286859941995,0.9999999999995766,0.9999999999995766,3.766060898130846e-11,3.766060898130846e-11,"[0.19870432625226822, 0.14250711024829082, 0.08770359385015165, 0.05972773948778986, 0.053595675179591636, 0.04693967182339345, 0.0399940481762567, 0.03699455171694597]"
