episode,probe_kind,basis,rank,is_predeclared_rank,point_model_to_T,point_operator_to_T,point_model_to_operator,E_model_to_T,E_model_to_operator,E_operator_to_T,E_model_to_zero,E_zero_to_T,R_use,R_sub,X_use,X_sub,cos_res,rho_operator_to_T
0,isotropic,raw,10,0,0.008509888746080706,0.00015994130202784035,0.00843748749316843,0.3103609060308625,0.30411415335631187,0.030149583710599327,1.0710326869874085,0.9999999999999793,0.2839447918358473,0.030149583710569798,0.9193753551892974,0.9990910026020794,0.15975043301501435,0.0011005544281223743
0,isotropic,raw,11,0,0.008509888746080706,0.00012164340717846068,0.00846179911406192,0.3103609060308625,0.3061141137467274,0.029467694847793244,1.0710326869874085,0.9999999999999793,0.2858121114935126,0.029467694847764382,0.9183114369236199,0.999131654960359,0.0969846861185105,0.0009513881786279521
0,isotropic,raw,12,0,0.008509888746080706,7.566469438662624e-05,0.008480004381616255,0.3103609060308625,0.3076427859795877,0.026063740209550414,1.0710326869874085,0.9999999999999793,0.28723939961593087,0.026063740209524885,0.9174935273082796,0.9993206814462904,0.06238772381751158,0.0007093837466134613
0,isotropic,raw,13,0,0.008509888746080706,4.398818180582851e-05,0.00850195023806476,0.3103609060308625,0.3097065403960163,0.026133537551236107,1.0710326869874085,0.9999999999999793,0.28916628237263886,0.02613353755121051,0.9163828611387873,0.9993170382150595,-0.017125048786156283,0.0006543356950146468
0,isotropic,raw,14,0,0.008509888746080706,4.84158487128939e-05,0.008499227922621012,0.3103609060308625,0.31006989027500415,0.025513252591117638,1.0710326869874085,0.9999999999999793,0.2895055342772745,0.02551325259109265,0.9161865456228299,0.999349073942223,-0.029729324735691603,0.00061979630297694
0,isotropic,raw,15,0,0.008509888746080706,1.9970979132313273e-05,0.008502415538083953,0.3103609060308625,0.3086486609838854,0.02502227977078622,1.0710326869874085,0.9999999999999793,0.28817856330021213,0.025022279770761713,0.9169531156542257,0.9993738855150738,0.028083409847667936,0.000531998466872806
0,isotropic,raw,16,0,0.008509888746080706,1.8639499615181653e-05,0.008500361748300492,0.3103609060308625,0.3089538643947183,0.019225121259159705,1.0710326869874085,0.9999999999999793,0.2884635251081389,0.019225121259140877,0.9167887946821861,0.9996303947125713,0.042241060129300304,0.00040740789058919607
0,isotropic,raw,17,0,0.008509888746080706,2.3405736511093826e-05,0.008502892279796066,0.3103609060308625,0.30890259487226707,0.018942619386163654,1.0710326869874085,0.9999999999999793,0.2884156558665424,0.0189426193861451,0.9168164094510722,0.9996411771707916,0.046506287873648404,0.0003744885107825178
0,isotropic,raw,18,0,0.008509888746080706,1.88257459050899e-05,0.00850277668504956,0.3103609060308625,0.311717100640119,0.012994413220163625,1.0710326869874085,0.9999999999999793,0.2910434988838885,0.012994413220150897,0.915293681757424,0.999831145225064,-0.12498375674093207,0.00022702733771992606
0,isotropic,raw,19,0,0.008509888746080706,1.7638367530872015e-05,0.008502551564635353,0.3103609060308625,0.31172778120930017,0.012572187711240567,1.0710326869874085,0.9999999999999793,0.2910534710997797,0.012572187711228254,0.9152878769607697,0.9998419400961537,-0.12864910857767836,0.00021666645646438337
0,isotropic,raw,20,0,0.008509888746080706,9.684585299189785e-06,0.008506486236556282,0.3103609060308625,0.3117338130125837,0.012767306335370496,1.0710326869874085,0.9999999999999793,0.2910591028637368,0.01276730633535799,0.9152845986401567,0.9998369958889392,-0.1277741226930396,0.00018763139434216087
